#,,,,,,,
# VER. = 1.0,,,,,,,
#,,,,,,,
# DATE = 2017-04-12,,,,,,,
#,,,,,,,
# UPDATED,,,,,,,
#,,,,,,,
# EPOCH = 2017-01-01,,,,,,,
# CODE,PROC,AVRACT,NEWACT,ALPHA,P_T30,P_T50,NAME
G030001,POI,1000,-,0,2.96E-02,4.88E-02,Rausu-dake fault zone
G030002,POI,1500,-,0,1.98E-02,3.28E-02,Shari-dake-higashi fault zone
G030003,POI,4800,-,0,6.23E-03,1.04E-02,Abashiri-ko fault zone
G030004,POI,3200,-,0,9.33E-03,1.55E-02,Tokoro-gawa-togan fault
G030005,POI,12200,-,0,2.46E-03,4.09E-03,Toikanbetsu fault zone
G030008,POI,3500,-,0,8.53E-03,1.42E-02,Ponnitashibetsu fault
G030009,POI,3800,-,0,7.86E-03,1.31E-02,Mitsuishi-Urakawa fault zone
G030011,POI,7900,-,0,3.79E-03,6.31E-03,Nohoro-kyuryo fault zone
G030012,POI,7900,-,0,3.79E-03,6.31E-03,Shiribetsu-gawa fault zone
G030013,POI,800,-,0,3.68E-02,6.06E-02,Yakumo fault zone
G030014,POI,6400,-,0,4.68E-03,7.78E-03,Noheji fault zone
G030015,POI,49600,-,0,6.05E-04,1.01E-03,Tsugaru-sanchi-seien fault zone hokubu hoppou enchou
G030016,POI,3500,-,0,8.53E-03,1.42E-02,Iwaki-san-nanroku fault zone
G030018,POI,28700,-,0,1.04E-03,1.74E-03,Takizawaukai-nishi fault (kitakami zambu)
G030019,POI,2000,-,0,1.49E-02,2.47E-02,Tazawa-ko fault zone
G030020,POI,5100,-,0,5.87E-03,9.76E-03,Kitaguchi fault zone
G030021,POI,35500,-,0,8.45E-04,1.41E-03,Yokote-bonchi-senan fault zone
G030022,POI,7600,-,0,3.94E-03,6.56E-03,Toridame fault zone
G030023,POI,3500,-,0,8.53E-03,1.42E-02,Kamagadai fault zone
G030024,POI,800,-,0,3.68E-02,6.06E-02,Kisakata fault zone
