#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
     1,143.904, 46.798,143.900, 46.800,1.98723e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
     2,144.004, 46.798,144.000, 46.800,1.97099e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
     3,144.104, 46.798,144.100, 46.800,1.95935e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
     4,143.704, 46.698,143.700, 46.700,2.06511e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
     5,143.804, 46.698,143.800, 46.700,2.03961e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
     6,143.904, 46.698,143.900, 46.700,2.01275e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
     7,144.004, 46.698,144.000, 46.700,1.98965e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
     8,144.104, 46.698,144.100, 46.700,1.97244e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
     9,143.504, 46.598,143.500, 46.600,2.10602e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    10,143.604, 46.598,143.600, 46.600,2.10910e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    11,143.704, 46.598,143.700, 46.600,2.09397e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    12,143.804, 46.598,143.800, 46.600,2.06607e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    13,143.904, 46.598,143.900, 46.600,2.03410e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    14,144.004, 46.598,144.000, 46.600,2.00539e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    15,144.104, 46.598,144.100, 46.600,1.98350e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    16,141.104, 46.498,141.100, 46.500,2.24942e-04,  0.900, 5.0,  6,  3.0,  0.0, 90.0
    17,141.204, 46.498,141.200, 46.500,2.19962e-04,  0.900, 5.0,  6,  3.0,  0.0, 90.0
    18,141.304, 46.498,141.300, 46.500,2.16481e-04,  0.900, 5.0,  6,  3.0,  0.0, 90.0
    19,141.404, 46.498,141.400, 46.500,2.15158e-04,  0.900, 5.0,  6,  3.0,  0.0, 90.0
    20,141.504, 46.498,141.500, 46.500,2.16166e-04,  0.900, 5.0,  6,  3.0,  0.0, 90.0
    21,143.304, 46.498,143.300, 46.500,2.05142e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    22,143.404, 46.498,143.400, 46.500,2.08441e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    23,143.504, 46.498,143.500, 46.500,2.10853e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    24,143.604, 46.498,143.600, 46.500,2.11524e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    25,143.704, 46.498,143.700, 46.500,2.10194e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    26,143.804, 46.498,143.800, 46.500,2.07378e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    27,143.904, 46.498,143.900, 46.500,2.04027e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    28,144.004, 46.498,144.000, 46.500,2.00990e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    29,144.104, 46.498,144.100, 46.500,1.98691e-04,  0.900, 5.0,  4,  3.0,  0.0, 90.0
    30,141.104, 46.398,141.100, 46.400,2.24167e-04,  0.900, 5.0,  6,  3.0,  0.0, 90.0
    31,141.204, 46.398,141.200, 46.400,2.19988e-04,  0.900, 5.0,  6,  3.0,  0.0, 90.0
