#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
     1,139.303, 34.997,139.300, 35.000,7.75419e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     2,139.403, 34.997,139.400, 35.000,5.30315e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     3,139.303, 34.897,139.300, 34.900,7.76624e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     4,139.403, 34.897,139.400, 34.900,5.55524e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     5,139.503, 34.897,139.500, 34.900,3.68761e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     6,139.603, 34.897,139.600, 34.900,2.50352e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     7,139.303, 34.797,139.300, 34.800,6.63821e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     8,139.403, 34.797,139.400, 34.800,5.14497e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     9,139.503, 34.797,139.500, 34.800,3.68127e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    10,139.603, 34.797,139.600, 34.800,2.61238e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    11,139.703, 34.797,139.700, 34.800,1.98190e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    12,139.803, 34.797,139.800, 34.800,1.67109e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    13,139.903, 34.797,139.900, 34.800,1.54260e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    14,140.003, 34.797,140.000, 34.800,3.38205e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    15,140.103, 34.797,140.100, 34.800,3.27516e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    16,140.203, 34.797,140.200, 34.800,3.27270e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    17,140.303, 34.797,140.300, 34.800,3.29505e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    18,140.403, 34.797,140.400, 34.800,3.31921e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    19,140.503, 34.797,140.500, 34.800,3.34463e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    20,140.603, 34.797,140.600, 34.800,3.37346e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    21,140.703, 34.797,140.700, 34.800,3.40059e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    22,140.803, 34.797,140.800, 34.800,3.41749e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    23,140.903, 34.797,140.900, 34.800,3.42039e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    24,139.303, 34.697,139.300, 34.700,5.46258e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    25,139.403, 34.697,139.400, 34.700,4.58522e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    26,139.503, 34.697,139.500, 34.700,3.52380e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    27,139.603, 34.697,139.600, 34.700,2.62018e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    28,139.703, 34.697,139.700, 34.700,2.01928e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    29,139.803, 34.697,139.800, 34.700,1.69648e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    30,139.903, 34.697,139.900, 34.700,1.55562e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    31,140.003, 34.697,140.000, 34.700,3.43950e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    32,140.103, 34.697,140.100, 34.700,3.30953e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    33,140.203, 34.697,140.200, 34.700,3.29605e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    34,140.303, 34.697,140.300, 34.700,3.30751e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    35,140.403, 34.697,140.400, 34.700,3.31684e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    36,140.503, 34.697,140.500, 34.700,3.32528e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    37,140.603, 34.697,140.600, 34.700,3.33908e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    38,140.703, 34.697,140.700, 34.700,3.35529e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    39,140.803, 34.697,140.800, 34.700,3.36525e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    40,140.903, 34.697,140.900, 34.700,3.36499e-04,  0.900, 5.0,  2,  3.0,  0.0, 90.0
    41,139.203, 34.597,139.200, 34.600,5.16954e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    42,139.303, 34.597,139.300, 34.600,5.02398e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    43,139.403, 34.597,139.400, 34.600,4.33846e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    44,139.503, 34.597,139.500, 34.600,3.42196e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    45,139.603, 34.597,139.600, 34.600,2.59200e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    46,139.703, 34.597,139.700, 34.600,2.01649e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    47,139.803, 34.597,139.800, 34.600,1.70002e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    48,139.903, 34.597,139.900, 34.600,1.56095e-03,  0.900, 5.0,  1,  3.0,  0.0, 90.0
