#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
     1,140.704, 46.498,140.700, 46.500,4.02257e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     2,140.804, 46.498,140.800, 46.500,4.03987e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     3,140.904, 46.498,140.900, 46.500,4.03115e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     4,141.004, 46.498,141.000, 46.500,3.99600e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     5,140.604, 46.398,140.600, 46.400,3.95599e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     6,140.704, 46.398,140.700, 46.400,3.99007e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     7,140.804, 46.398,140.800, 46.400,4.01047e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     8,140.904, 46.398,140.900, 46.400,4.00841e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
     9,141.004, 46.398,141.000, 46.400,3.98213e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    10,140.504, 46.298,140.500, 46.300,3.89559e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    11,140.604, 46.298,140.600, 46.300,3.92911e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    12,140.704, 46.298,140.700, 46.300,3.96261e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    13,140.804, 46.298,140.800, 46.300,3.98683e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    14,140.904, 46.298,140.900, 46.300,3.99240e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    15,141.004, 46.298,141.000, 46.300,3.97539e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    16,140.404, 46.198,140.400, 46.200,3.85617e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    17,140.504, 46.198,140.500, 46.200,3.87740e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    18,140.604, 46.198,140.600, 46.200,3.90510e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    19,140.704, 46.198,140.700, 46.200,3.93540e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    20,140.804, 46.198,140.800, 46.200,3.96053e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    21,140.904, 46.198,140.900, 46.200,3.97132e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    22,141.004, 46.198,141.000, 46.200,3.96231e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    23,140.404, 46.098,140.400, 46.100,3.84823e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    24,140.504, 46.098,140.500, 46.100,3.86193e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    25,140.604, 46.098,140.600, 46.100,3.88096e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    26,140.704, 46.098,140.700, 46.100,3.90311e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    27,140.804, 46.098,140.800, 46.100,3.92295e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    28,140.904, 46.098,140.900, 46.100,3.93349e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    29,140.304, 45.998,140.300, 46.000,3.84074e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    30,140.404, 45.998,140.400, 46.000,3.84472e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    31,140.504, 45.998,140.500, 46.000,3.85146e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    32,140.604, 45.998,140.600, 46.000,3.86126e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    33,140.704, 45.998,140.700, 46.000,3.87310e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    34,140.804, 45.998,140.800, 46.000,3.88411e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    35,140.904, 45.998,140.900, 46.000,3.89072e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    36,140.204, 45.898,140.200, 45.900,3.84495e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    37,140.304, 45.898,140.300, 45.900,3.84526e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    38,140.404, 45.898,140.400, 45.900,3.84638e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    39,140.504, 45.898,140.500, 45.900,3.84863e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    40,140.604, 45.898,140.600, 45.900,3.85214e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    41,140.704, 45.898,140.700, 45.900,3.85652e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    42,140.804, 45.898,140.800, 45.900,3.86067e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    43,140.904, 45.898,140.900, 45.900,3.86374e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    44,140.104, 45.798,140.100, 45.800,3.85636e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    45,140.204, 45.798,140.200, 45.800,3.85451e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    46,140.304, 45.798,140.300, 45.800,3.85308e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    47,140.404, 45.798,140.400, 45.800,3.85228e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    48,140.504, 45.798,140.500, 45.800,3.85218e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    49,140.604, 45.798,140.600, 45.800,3.85273e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    50,140.704, 45.798,140.700, 45.800,3.85369e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    51,140.804, 45.798,140.800, 45.800,3.85470e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    52,140.904, 45.798,140.900, 45.800,3.85607e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    53,140.004, 45.698,140.000, 45.700,3.88066e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    54,140.104, 45.698,140.100, 45.700,3.87621e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    55,140.204, 45.698,140.200, 45.700,3.87091e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    56,140.304, 45.698,140.300, 45.700,3.86590e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    57,140.404, 45.698,140.400, 45.700,3.86206e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    58,140.504, 45.698,140.500, 45.700,3.85968e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    59,140.604, 45.698,140.600, 45.700,3.85853e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    60,140.704, 45.698,140.700, 45.700,3.85815e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    61,140.804, 45.698,140.800, 45.700,3.85813e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    62,140.904, 45.698,140.900, 45.700,3.85879e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    63,139.904, 45.598,139.900, 45.600,3.91653e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    64,140.004, 45.598,140.000, 45.600,3.91504e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    65,140.104, 45.598,140.100, 45.600,3.90811e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    66,140.204, 45.598,140.200, 45.600,3.89745e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    67,140.304, 45.598,140.300, 45.600,3.88600e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    68,140.404, 45.598,140.400, 45.600,3.87650e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    69,140.504, 45.598,140.500, 45.600,3.87024e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    70,140.604, 45.598,140.600, 45.600,3.86694e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    71,140.704, 45.598,140.700, 45.600,3.86550e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    72,140.804, 45.598,140.800, 45.600,3.86492e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    73,140.904, 45.598,140.900, 45.600,3.86499e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
    74,139.804, 45.498,139.800, 45.500,3.93842e-04,  0.900, 5.0,  1,  3.0,  0.0, 90.0
