#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
     1,122.301, 25.496,122.300, 25.500,7.53533e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
     2,122.401, 25.496,122.400, 25.500,7.53560e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
     3,122.501, 25.496,122.500, 25.500,7.53563e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
     4,122.601, 25.496,122.600, 25.500,7.53536e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
     5,122.702, 25.496,122.700, 25.500,7.53491e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
     6,122.802, 25.496,122.800, 25.500,7.53453e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
     7,122.902, 25.496,122.900, 25.500,7.53432e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
     8,123.002, 25.496,123.000, 25.500,7.53424e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
     9,122.301, 25.396,122.300, 25.400,7.55144e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    10,122.401, 25.396,122.400, 25.400,7.55233e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    11,122.501, 25.396,122.500, 25.400,7.55186e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    12,122.601, 25.396,122.600, 25.400,7.54950e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    13,122.701, 25.396,122.700, 25.400,7.54608e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    14,122.802, 25.396,122.800, 25.400,7.54316e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    15,122.902, 25.396,122.900, 25.400,7.54146e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    16,123.002, 25.396,123.000, 25.400,7.54072e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    17,122.301, 25.296,122.300, 25.300,7.61946e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    18,122.401, 25.296,122.400, 25.300,7.62146e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    19,122.501, 25.296,122.500, 25.300,7.61637e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    20,122.601, 25.296,122.600, 25.300,7.60155e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    21,122.701, 25.296,122.700, 25.300,7.58149e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    22,122.802, 25.296,122.800, 25.300,7.56441e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    23,122.902, 25.296,122.900, 25.300,7.55423e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    24,123.002, 25.296,123.000, 25.300,7.54953e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    25,122.301, 25.196,122.300, 25.200,7.91385e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    26,122.401, 25.196,122.400, 25.200,7.90688e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    27,122.501, 25.196,122.500, 25.200,7.87317e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    28,122.601, 25.196,122.600, 25.200,7.80347e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    29,122.701, 25.196,122.700, 25.200,7.71525e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    30,122.802, 25.196,122.800, 25.200,7.64039e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    31,122.902, 25.196,122.900, 25.200,7.59438e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    32,123.002, 25.196,123.000, 25.200,7.57171e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    33,122.301, 25.096,122.300, 25.100,8.90364e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    34,122.401, 25.096,122.400, 25.100,8.82352e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    35,122.501, 25.096,122.500, 25.100,8.66922e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    36,122.601, 25.096,122.600, 25.100,8.42189e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    37,122.701, 25.096,122.700, 25.100,8.13230e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    38,122.802, 25.096,122.800, 25.100,7.88838e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    39,122.902, 25.096,122.900, 25.100,7.73252e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    40,123.002, 25.096,123.000, 25.100,7.64896e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    41,122.301, 24.996,122.300, 25.000,1.12884e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    42,122.401, 24.996,122.400, 25.000,1.09611e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    43,122.501, 24.996,122.500, 25.000,1.04731e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    44,122.601, 24.996,122.600, 25.000,9.81718e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    45,122.701, 24.996,122.700, 25.000,9.11079e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    46,122.802, 24.996,122.800, 25.000,8.52348e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    47,122.902, 24.996,122.900, 25.000,8.12923e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    48,123.002, 24.996,123.000, 25.000,7.89375e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    49,122.301, 24.896,122.300, 24.900,1.52196e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    50,122.401, 24.896,122.400, 24.900,1.44394e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    51,122.501, 24.896,122.500, 24.900,1.33624e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    52,122.601, 24.896,122.600, 24.900,1.20654e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    53,122.701, 24.896,122.700, 24.900,1.07788e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    54,122.802, 24.896,122.800, 24.900,9.73004e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    55,122.902, 24.896,122.900, 24.900,8.98136e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    56,123.002, 24.896,123.000, 24.900,8.47316e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    57,122.301, 24.796,122.300, 24.800,1.92357e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    58,122.401, 24.796,122.400, 24.800,1.80261e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    59,122.501, 24.796,122.500, 24.800,1.63431e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    60,122.601, 24.796,122.600, 24.800,1.44408e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    61,122.701, 24.796,122.700, 24.800,1.26995e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    62,122.802, 24.796,122.800, 24.800,1.13192e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    63,122.902, 24.796,122.900, 24.800,1.02553e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    64,123.002, 24.796,123.000, 24.800,9.42115e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    65,122.301, 24.696,122.300, 24.700,2.09019e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    66,122.401, 24.696,122.400, 24.700,1.95960e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    67,122.501, 24.696,122.500, 24.700,1.76847e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    68,122.601, 24.696,122.600, 24.700,1.56093e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    69,122.701, 24.696,122.700, 24.700,1.38694e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    70,122.801, 24.696,122.800, 24.700,1.25513e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    71,122.902, 24.696,122.900, 24.700,1.14343e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    72,123.002, 24.696,123.000, 24.700,1.04077e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    73,122.301, 24.596,122.300, 24.600,1.97954e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    74,122.401, 24.596,122.400, 24.600,1.86839e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    75,122.501, 24.596,122.500, 24.600,1.69515e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    76,122.601, 24.596,122.600, 24.600,1.51206e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
