#,,,,,,,
# VER. = 1.0,,,,,,,
#,,,,,,,
# DATE = 2017-04-12,,,,,,,
#,,,,,,,
# UPDATED,,,,,,,
#,,,,,,,
# EPOCH = 2017-01-01,,,,,,,
# CODE,PROC,AVRACT,NEWACT,ALPHA,P_T30,P_T50,NAME
ANNKI,BPT,88.2,71,0.22,7.13E-01,9.27E-01,Nankai Trough earthquakes
ATHOP,BPT,600,5.8,0.24,0.00E+00,0.00E+00,Great East Japan Earthquake (2011 type)
ASNKT,BPT,97,48.6,0.18,1.39E-01,5.72E-01,Large interplate earthquakes in Northern Sanriku-Oki (Repeating earthquakes)
BTNMI,POI,103,-,0,2.53E-01,3.85E-01,Large interplate earthquakes close to the offshore trenches in the Sanriku-Oki to Boso-Oki regions (Tsunami earthquakes)
BNRML,POI,575,-,0,5.08E-02,8.33E-02,Large intraplate earthquakes close to the offshore trenches in the Sanriku-Oki to Boso-Oki regions (normal faults type)
ATKCH,BPT,72.2,13.3,0.28,4.21E-02,3.68E-01,Tokachi-Oki Earthquake
ANMRO,BPT,72.2,43.5,0.28,5.61E-01,8.52E-01,Nemuro-Oki Earthquake
ASKTN,BPT,72.2,47.4,0.28,6.20E-01,8.66E-01,Shikotanto-Oki Earthquake
AETRF,BPT,72.2,53.2,0.28,6.90E-01,9.00E-01,Etorofuto-Oki Earthquake
BHKNW,COM,3900,2100,0.21,4.06E-03,6.78E-03,Hokkaido-hokusei-Oki Earthquake
AHKDW,COM,2650,76.4,0.21,5.63E-03,9.35E-03,Hokkaido-seiho-Oki Earthquake
AHKSW,COM,950,23.5,0.21,1.55E-02,2.56E-02,Hokkaido-nansei-Oki Earthquake
AAOMW,COM,950,33.6,0.21,1.55E-02,2.56E-02,Aomori-ken-seiho-Oki Earthquake
BAKIT,POI,1000,-,0,2.96E-02,4.88E-02,Akita-ken-Oki Earthquake
AYMGA,COM,1000,183.1,0.21,1.48E-02,2.44E-02,Yamagata-ken-Oki Earthquake
ANIGT,COM,1000,52.5,0.21,1.48E-02,2.44E-02,Niigata-ken-hokubu-Oki Earthquake
BSDGN,POI,750,-,0,3.92E-02,6.45E-02,Sadogashima-hoppo-Oki Earthquake
BHGNL,POI,200,-,0,1.39E-01,2.21E-01,Interplate earthquakes in Hyuganada
BHGNS,POI,23,-,0,7.29E-01,8.86E-01,Relatively small interplate earthquakes in Hyuganada
BYNGN,POI,100,-,0,2.59E-01,3.93E-01,Earthquakes in the vicinity of Yonaguni-jima
ASGMI,BPT,302.7,94,0.38,5.40E-02,1.00E-01,Sagami Trough earthquakes (M8 class)
ATNI1,SIM,-,-,0,3.94E-03,5.23E-02,Tokachi-Oki Earthquake + Nemuro-Oki Earthquake
