#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
     1,150.905, 46.598,150.900, 46.600,0.00000e+00,  0.900, 5.0, 10,118.7,228.0, 49.0
     2,151.005, 46.598,151.000, 46.600,0.00000e+00,  0.900, 5.0, 10,113.1,228.0, 49.0
     3,151.105, 46.598,151.100, 46.600,0.00000e+00,  0.900, 5.0, 10,107.4,228.0, 49.0
     4,150.705, 46.498,150.700, 46.500,0.00000e+00,  0.900, 5.0, 10,121.0,229.0, 48.0
     5,150.805, 46.498,150.800, 46.500,0.00000e+00,  0.900, 5.0, 10,115.0,229.0, 49.0
     6,150.905, 46.498,150.900, 46.500,0.00000e+00,  0.900, 5.0, 10,109.1,229.0, 49.0
     7,151.005, 46.498,151.000, 46.500,0.00000e+00,  0.900, 5.0, 10,103.4,229.0, 49.0
     8,151.105, 46.498,151.100, 46.500,0.00000e+00,  0.900, 5.0, 10, 97.8,228.0, 49.0
     9,151.205, 46.498,151.200, 46.500,0.00000e+00,  0.900, 5.0, 10, 92.0,228.0, 48.0
    10,150.505, 46.398,150.500, 46.400,0.00000e+00,  0.900, 5.0, 10,122.9,229.0, 50.0
    11,150.605, 46.398,150.600, 46.400,0.00000e+00,  0.900, 5.0, 10,117.1,229.0, 50.0
    12,150.705, 46.398,150.700, 46.400,0.00000e+00,  0.900, 5.0, 10,111.3,229.0, 49.0
    13,150.805, 46.398,150.800, 46.400,0.00000e+00,  0.900, 5.0, 10,105.3,229.0, 49.0
    14,150.905, 46.398,150.900, 46.400,0.00000e+00,  0.900, 5.0, 10, 99.5,229.0, 48.0
    15,151.005, 46.398,151.000, 46.400,0.00000e+00,  0.900, 5.0, 10, 93.8,229.0, 48.0
    16,151.105, 46.398,151.100, 46.400,0.00000e+00,  0.900, 5.0, 10, 88.1,229.0, 48.0
    17,151.205, 46.398,151.200, 46.400,0.00000e+00,  0.900, 5.0, 10, 82.2,228.0, 47.0
    18,151.305, 46.398,151.300, 46.400,0.00000e+00,  0.900, 5.0, 10, 76.4,229.0, 46.0
    19,150.305, 46.298,150.300, 46.300,0.00000e+00,  0.900, 5.0, 10,125.1,227.0, 51.0
    20,150.405, 46.298,150.400, 46.300,0.00000e+00,  0.900, 5.0, 10,118.9,229.0, 51.0
    21,150.505, 46.298,150.500, 46.300,0.00000e+00,  0.900, 5.0, 10,113.1,230.0, 51.0
    22,150.605, 46.298,150.600, 46.300,0.00000e+00,  0.900, 5.0, 10,107.4,230.0, 50.0
    23,150.705, 46.298,150.700, 46.300,0.00000e+00,  0.900, 5.0, 10,101.6,230.0, 49.0
    24,150.805, 46.298,150.800, 46.300,0.00000e+00,  0.900, 5.0, 10, 95.8,230.0, 48.0
    25,150.905, 46.298,150.900, 46.300,0.00000e+00,  0.900, 5.0, 10, 90.1,229.0, 48.0
    26,151.005, 46.298,151.000, 46.300,0.00000e+00,  0.900, 5.0, 10, 84.4,229.0, 47.0
    27,151.105, 46.298,151.100, 46.300,0.00000e+00,  0.900, 5.0, 10, 78.6,228.0, 46.0
    28,151.205, 46.298,151.200, 46.300,0.00000e+00,  0.900, 5.0, 10, 72.8,228.0, 44.0
    29,151.305, 46.298,151.300, 46.300,0.00000e+00,  0.900, 5.0, 10, 67.5,229.0, 42.0
    30,151.405, 46.298,151.400, 46.300,0.00000e+00,  0.900, 5.0, 10, 62.6,231.0, 40.0
    31,151.505, 46.298,151.500, 46.300,8.98217e-03,  0.900, 5.0,  1, 58.1,229.0, 37.0
    32,150.105, 46.198,150.100, 46.200,0.00000e+00,  0.900, 5.0, 10,128.2,224.0, 55.0
    33,150.205, 46.198,150.200, 46.200,0.00000e+00,  0.900, 5.0, 10,121.0,227.0, 54.0
    34,150.305, 46.198,150.300, 46.200,0.00000e+00,  0.900, 5.0, 10,114.5,229.0, 53.0
    35,150.405, 46.198,150.400, 46.200,0.00000e+00,  0.900, 5.0, 10,108.6,231.0, 52.0
    36,150.505, 46.198,150.500, 46.200,0.00000e+00,  0.900, 5.0, 10,103.0,231.0, 51.0
    37,150.605, 46.198,150.600, 46.200,0.00000e+00,  0.900, 5.0, 10, 97.6,231.0, 49.0
    38,150.705, 46.198,150.700, 46.200,0.00000e+00,  0.900, 5.0, 10, 92.1,231.0, 48.0
    39,150.805, 46.198,150.800, 46.200,0.00000e+00,  0.900, 5.0, 10, 86.5,230.0, 47.0
    40,150.905, 46.198,150.900, 46.200,0.00000e+00,  0.900, 5.0, 10, 80.8,229.0, 46.0
    41,151.005, 46.198,151.000, 46.200,0.00000e+00,  0.900, 5.0, 10, 75.2,229.0, 45.0
    42,151.105, 46.198,151.100, 46.200,0.00000e+00,  0.900, 5.0, 10, 69.7,228.0, 43.0
    43,151.205, 46.198,151.200, 46.200,0.00000e+00,  0.900, 5.0, 10, 64.1,228.0, 41.0
    44,151.305, 46.198,151.300, 46.200,8.66472e-03,  0.900, 5.0,  1, 59.6,229.0, 38.0
    45,151.405, 46.198,151.400, 46.200,9.10290e-03,  0.900, 5.0,  1, 56.3,230.0, 37.0
    46,151.505, 46.198,151.500, 46.200,9.54291e-03,  0.900, 5.0,  1, 53.0,231.0, 34.0
    47,151.605, 46.198,151.600, 46.200,9.95406e-03,  0.900, 5.0,  1, 50.3,230.0, 32.0
    48,149.905, 46.098,149.900, 46.100,0.00000e+00,  0.900, 5.0, 10,136.7,220.0, 56.0
    49,150.005, 46.098,150.000, 46.100,0.00000e+00,  0.900, 5.0, 10,126.0,224.0, 58.0
    50,150.105, 46.098,150.100, 46.100,0.00000e+00,  0.900, 5.0, 10,117.1,227.0, 57.0
    51,150.205, 46.098,150.200, 46.100,0.00000e+00,  0.900, 5.0, 10,109.5,230.0, 55.0
    52,150.305, 46.098,150.300, 46.100,0.00000e+00,  0.900, 5.0, 10,103.5,232.0, 53.0
    53,150.405, 46.098,150.400, 46.100,0.00000e+00,  0.900, 5.0, 10, 98.1,233.0, 51.0
    54,150.505, 46.098,150.500, 46.100,0.00000e+00,  0.900, 5.0, 10, 92.9,232.0, 50.0
    55,150.605, 46.098,150.600, 46.100,0.00000e+00,  0.900, 5.0, 10, 87.8,232.0, 48.0
    56,150.705, 46.098,150.700, 46.100,0.00000e+00,  0.900, 5.0, 10, 82.7,231.0, 47.0
    57,150.805, 46.098,150.800, 46.100,0.00000e+00,  0.900, 5.0, 10, 77.4,230.0, 45.0
    58,150.905, 46.098,150.900, 46.100,0.00000e+00,  0.900, 5.0, 10, 71.9,229.0, 43.0
    59,151.005, 46.098,151.000, 46.100,0.00000e+00,  0.900, 5.0, 10, 66.5,229.0, 42.0
    60,151.105, 46.098,151.100, 46.100,8.56540e-03,  0.900, 5.0,  1, 61.9,228.0, 40.0
    61,151.205, 46.098,151.200, 46.100,8.94886e-03,  0.900, 5.0,  1, 57.6,229.0, 38.0
    62,151.305, 46.098,151.300, 46.100,9.42921e-03,  0.900, 5.0,  1, 53.9,230.0, 35.0
    63,151.405, 46.098,151.400, 46.100,9.95520e-03,  0.900, 5.0,  1, 51.0,231.0, 33.0
    64,151.505, 46.098,151.500, 46.100,1.04743e-02,  0.900, 5.0,  1, 48.2,231.0, 32.0
