#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
     1,150.905, 46.598,150.900, 46.600,9.71576e-04,  0.900, 5.0, 10,148.7,  0.0,  0.0
     2,151.005, 46.598,151.000, 46.600,1.04860e-03,  0.900, 5.0, 10,143.1,  0.0,  0.0
     3,151.105, 46.598,151.100, 46.600,1.17358e-03,  0.900, 5.0, 10,137.4,  0.0,  0.0
     4,150.705, 46.498,150.700, 46.500,9.36665e-04,  0.900, 5.0, 10,151.0,  0.0,  0.0
     5,150.805, 46.498,150.800, 46.500,9.72981e-04,  0.900, 5.0, 10,145.0,  0.0,  0.0
     6,150.905, 46.498,150.900, 46.500,1.03880e-03,  0.900, 5.0, 10,139.1,  0.0,  0.0
     7,151.005, 46.498,151.000, 46.500,1.15294e-03,  0.900, 5.0, 10,133.4,  0.0,  0.0
     8,151.105, 46.498,151.100, 46.500,1.33588e-03,  0.900, 5.0, 10,127.8,  0.0,  0.0
     9,151.205, 46.498,151.200, 46.500,1.60300e-03,  0.900, 5.0, 10,122.0,  0.0,  0.0
    10,150.505, 46.398,150.500, 46.400,9.51793e-04,  0.900, 5.0, 10,152.9,  0.0,  0.0
    11,150.605, 46.398,150.600, 46.400,9.80994e-04,  0.900, 5.0, 10,147.1,  0.0,  0.0
    12,150.705, 46.398,150.700, 46.400,1.01833e-03,  0.900, 5.0, 10,141.3,  0.0,  0.0
    13,150.805, 46.398,150.800, 46.400,1.07203e-03,  0.900, 5.0, 10,135.3,  0.0,  0.0
    14,150.905, 46.398,150.900, 46.400,1.15935e-03,  0.900, 5.0, 10,129.5,  0.0,  0.0
    15,151.005, 46.398,151.000, 46.400,1.30581e-03,  0.900, 5.0, 10,123.8,  0.0,  0.0
    16,151.105, 46.398,151.100, 46.400,1.53760e-03,  0.900, 5.0, 10,118.1,  0.0,  0.0
    17,151.205, 46.398,151.200, 46.400,1.86841e-03,  0.900, 5.0, 10,112.2,  0.0,  0.0
    18,151.305, 46.398,151.300, 46.400,2.28646e-03,  0.900, 5.0, 10,106.4,  0.0,  0.0
    19,150.305, 46.298,150.300, 46.300,9.68115e-04,  0.900, 5.0, 10,155.1,  0.0,  0.0
    20,150.405, 46.298,150.400, 46.300,1.01180e-03,  0.900, 5.0, 10,148.9,  0.0,  0.0
    21,150.505, 46.298,150.500, 46.300,1.06890e-03,  0.900, 5.0, 10,143.1,  0.0,  0.0
    22,150.605, 46.298,150.600, 46.300,1.13618e-03,  0.900, 5.0, 10,137.4,  0.0,  0.0
    23,150.705, 46.298,150.700, 46.300,1.20905e-03,  0.900, 5.0, 10,131.6,  0.0,  0.0
    24,150.805, 46.298,150.800, 46.300,1.29012e-03,  0.900, 5.0, 10,125.8,  0.0,  0.0
    25,150.905, 46.298,150.900, 46.300,1.39647e-03,  0.900, 5.0, 10,120.1,  0.0,  0.0
    26,151.005, 46.298,151.000, 46.300,1.56058e-03,  0.900, 5.0, 10,114.4,  0.0,  0.0
    27,151.105, 46.298,151.100, 46.300,1.81811e-03,  0.900, 5.0, 10,108.6,  0.0,  0.0
    28,151.205, 46.298,151.200, 46.300,2.18671e-03,  0.900, 5.0, 10,102.8,  0.0,  0.0
    29,151.305, 46.298,151.300, 46.300,2.64997e-03,  0.900, 5.0, 10, 97.5,  0.0,  0.0
    30,151.405, 46.298,151.400, 46.300,3.15933e-03,  0.900, 5.0, 10, 92.6,  0.0,  0.0
    31,151.505, 46.298,151.500, 46.300,2.99406e-03,  0.900, 5.0,  1, 88.1,  0.0,  0.0
    32,150.105, 46.198,150.100, 46.200,9.80360e-04,  0.900, 5.0, 10,158.2,  0.0,  0.0
    33,150.205, 46.198,150.200, 46.200,1.01942e-03,  0.900, 5.0, 10,151.0,  0.0,  0.0
    34,150.305, 46.198,150.300, 46.200,1.09049e-03,  0.900, 5.0, 10,144.5,  0.0,  0.0
    35,150.405, 46.198,150.400, 46.200,1.19210e-03,  0.900, 5.0, 10,138.6,  0.0,  0.0
    36,150.505, 46.198,150.500, 46.200,1.31846e-03,  0.900, 5.0, 10,133.0,  0.0,  0.0
    37,150.605, 46.198,150.600, 46.200,1.45617e-03,  0.900, 5.0, 10,127.6,  0.0,  0.0
    38,150.705, 46.198,150.700, 46.200,1.58795e-03,  0.900, 5.0, 10,122.1,  0.0,  0.0
    39,150.805, 46.198,150.800, 46.200,1.70735e-03,  0.900, 5.0, 10,116.5,  0.0,  0.0
    40,150.905, 46.198,150.900, 46.200,1.83257e-03,  0.900, 5.0, 10,110.8,  0.0,  0.0
    41,151.005, 46.198,151.000, 46.200,2.00869e-03,  0.900, 5.0, 10,105.2,  0.0,  0.0
    42,151.105, 46.198,151.100, 46.200,2.28757e-03,  0.900, 5.0, 10, 99.7,  0.0,  0.0
    43,151.205, 46.198,151.200, 46.200,2.69629e-03,  0.900, 5.0, 10, 94.1,  0.0,  0.0
    44,151.305, 46.198,151.300, 46.200,2.88824e-03,  0.900, 5.0,  1, 89.6,  0.0,  0.0
    45,151.405, 46.198,151.400, 46.200,3.03430e-03,  0.900, 5.0,  1, 86.3,  0.0,  0.0
    46,151.505, 46.198,151.500, 46.200,3.18097e-03,  0.900, 5.0,  1, 83.0,  0.0,  0.0
    47,151.605, 46.198,151.600, 46.200,3.31802e-03,  0.900, 5.0,  1, 80.3,  0.0,  0.0
    48,149.905, 46.098,149.900, 46.100,1.12144e-03,  0.900, 5.0, 10,166.7,  0.0,  0.0
    49,150.005, 46.098,150.000, 46.100,1.08737e-03,  0.900, 5.0, 10,156.0,  0.0,  0.0
    50,150.105, 46.098,150.100, 46.100,1.10407e-03,  0.900, 5.0, 10,147.1,  0.0,  0.0
    51,150.205, 46.098,150.200, 46.100,1.18195e-03,  0.900, 5.0, 10,139.5,  0.0,  0.0
    52,150.305, 46.098,150.300, 46.100,1.32606e-03,  0.900, 5.0, 10,133.5,  0.0,  0.0
    53,150.405, 46.098,150.400, 46.100,1.52976e-03,  0.900, 5.0, 10,128.1,  0.0,  0.0
    54,150.505, 46.098,150.500, 46.100,1.76978e-03,  0.900, 5.0, 10,122.9,  0.0,  0.0
    55,150.605, 46.098,150.600, 46.100,2.00804e-03,  0.900, 5.0, 10,117.8,  0.0,  0.0
    56,150.705, 46.098,150.700, 46.100,2.20817e-03,  0.900, 5.0, 10,112.7,  0.0,  0.0
    57,150.805, 46.098,150.800, 46.100,2.36260e-03,  0.900, 5.0, 10,107.4,  0.0,  0.0
    58,150.905, 46.098,150.900, 46.100,2.50909e-03,  0.900, 5.0, 10,101.9,  0.0,  0.0
    59,151.005, 46.098,151.000, 46.100,2.72170e-03,  0.900, 5.0, 10, 96.5,  0.0,  0.0
    60,151.105, 46.098,151.100, 46.100,2.85513e-03,  0.900, 5.0,  1, 91.9,  0.0,  0.0
    61,151.205, 46.098,151.200, 46.100,2.98295e-03,  0.900, 5.0,  1, 87.6,  0.0,  0.0
    62,151.305, 46.098,151.300, 46.100,3.14307e-03,  0.900, 5.0,  1, 83.9,  0.0,  0.0
    63,151.405, 46.098,151.400, 46.100,3.31840e-03,  0.900, 5.0,  1, 81.0,  0.0,  0.0
    64,151.505, 46.098,151.500, 46.100,3.49143e-03,  0.900, 5.0,  1, 78.2,  0.0,  0.0
    65,151.605, 46.098,151.600, 46.100,3.64958e-03,  0.900, 5.0,  1, 75.7,  0.0,  0.0
    66,151.705, 46.098,151.700, 46.100,3.78668e-03,  0.900, 5.0,  1, 73.2,  0.0,  0.0
    67,149.705, 45.998,149.700, 46.000,1.53723e-03,  0.900, 5.0, 10,175.7,  0.0,  0.0
    68,149.805, 45.998,149.800, 46.000,1.46157e-03,  0.900, 5.0, 10,166.4,  0.0,  0.0
    69,149.905, 45.998,149.900, 46.000,1.38875e-03,  0.900, 5.0, 10,153.7,  0.0,  0.0
    70,150.005, 45.998,150.000, 46.000,1.34565e-03,  0.900, 5.0, 10,143.7,  0.0,  0.0
    71,150.105, 45.998,150.100, 46.000,1.36483e-03,  0.900, 5.0, 10,135.3,  0.0,  0.0
    72,150.205, 45.998,150.200, 46.000,1.48017e-03,  0.900, 5.0, 10,127.7,  0.0,  0.0
    73,150.305, 45.998,150.300, 46.000,1.71171e-03,  0.900, 5.0, 10,122.6,  0.0,  0.0
    74,150.405, 45.998,150.400, 46.000,2.04631e-03,  0.900, 5.0, 10,117.7,  0.0,  0.0
    75,150.505, 45.998,150.500, 46.000,2.42896e-03,  0.900, 5.0, 10,112.8,  0.0,  0.0
    76,150.605, 45.998,150.600, 46.000,2.78010e-03,  0.900, 5.0, 10,108.1,  0.0,  0.0
    77,150.705, 45.998,150.700, 46.000,3.04039e-03,  0.900, 5.0, 10,103.6,  0.0,  0.0
    78,150.805, 45.998,150.800, 46.000,3.21712e-03,  0.900, 5.0, 10, 98.9,  0.0,  0.0
    79,150.905, 45.998,150.900, 46.000,2.93925e-03,  0.900, 5.0,  1, 93.7,  0.0,  0.0
    80,151.005, 45.998,151.000, 46.000,3.01253e-03,  0.900, 5.0,  1, 88.3,  0.0,  0.0
    81,151.105, 45.998,151.100, 46.000,3.13595e-03,  0.900, 5.0,  1, 85.1,  0.0,  0.0
    82,151.205, 45.998,151.200, 46.000,3.30893e-03,  0.900, 5.0,  1, 82.0,  0.0,  0.0
    83,151.305, 45.998,151.300, 46.000,3.51248e-03,  0.900, 5.0,  1, 79.0,  0.0,  0.0
    84,151.405, 45.998,151.400, 46.000,3.72106e-03,  0.900, 5.0,  1, 76.2,  0.0,  0.0
    85,151.505, 45.998,151.500, 46.000,3.91294e-03,  0.900, 5.0,  1, 73.6,  0.0,  0.0
    86,151.605, 45.998,151.600, 46.000,4.07332e-03,  0.900, 5.0,  1, 71.1,  0.0,  0.0
    87,151.705, 45.998,151.700, 46.000,4.19448e-03,  0.900, 5.0,  1, 68.7,  0.0,  0.0
    88,151.805, 45.998,151.800, 46.000,4.27592e-03,  0.900, 5.0,  1, 66.1,  0.0,  0.0
    89,149.505, 45.898,149.500, 45.900,1.78386e-03,  0.900, 5.0, 10,175.6,  0.0,  0.0
    90,149.605, 45.898,149.600, 45.900,1.88799e-03,  0.900, 5.0, 10,166.2,  0.0,  0.0
    91,149.705, 45.898,149.700, 45.900,1.95089e-03,  0.900, 5.0, 10,157.6,  0.0,  0.0
    92,149.805, 45.898,149.800, 45.900,1.96780e-03,  0.900, 5.0, 10,146.7,  0.0,  0.0
    93,149.905, 45.898,149.900, 45.900,1.94286e-03,  0.900, 5.0, 10,136.9,  0.0,  0.0
    94,150.005, 45.898,150.000, 45.900,1.90026e-03,  0.900, 5.0, 10,130.3,  0.0,  0.0
    95,150.105, 45.898,150.100, 45.900,1.89374e-03,  0.900, 5.0, 10,124.0,  0.0,  0.0
    96,150.205, 45.898,150.200, 45.900,1.99598e-03,  0.900, 5.0, 10,118.0,  0.0,  0.0
    97,150.305, 45.898,150.300, 45.900,2.26187e-03,  0.900, 5.0, 10,112.9,  0.0,  0.0
    98,150.405, 45.898,150.400, 45.900,2.68552e-03,  0.900, 5.0, 10,107.9,  0.0,  0.0
    99,150.505, 45.898,150.500, 45.900,3.18426e-03,  0.900, 5.0, 10,102.8,  0.0,  0.0
   100,150.605, 45.898,150.600, 45.900,3.63705e-03,  0.900, 5.0, 10, 98.5,  0.0,  0.0
   101,150.705, 45.898,150.700, 45.900,3.08539e-03,  0.900, 5.0,  1, 95.0,  0.0,  0.0
   102,150.805, 45.898,150.800, 45.900,3.14092e-03,  0.900, 5.0,  1, 91.2,  0.0,  0.0
   103,150.905, 45.898,150.900, 45.900,3.20100e-03,  0.900, 5.0,  1, 87.0,  0.0,  0.0
   104,151.005, 45.898,151.000, 45.900,3.30189e-03,  0.900, 5.0,  1, 82.9,  0.0,  0.0
   105,151.105, 45.898,151.100, 45.900,3.46208e-03,  0.900, 5.0,  1, 79.7,  0.0,  0.0
   106,151.205, 45.898,151.200, 45.900,3.67154e-03,  0.900, 5.0,  1, 76.9,  0.0,  0.0
   107,151.305, 45.898,151.300, 45.900,3.90187e-03,  0.900, 5.0,  1, 74.2,  0.0,  0.0
   108,151.405, 45.898,151.400, 45.900,4.12258e-03,  0.900, 5.0,  1, 71.5,  0.0,  0.0
   109,151.505, 45.898,151.500, 45.900,4.31047e-03,  0.900, 5.0,  1, 69.0,  0.0,  0.0
   110,151.605, 45.898,151.600, 45.900,4.44894e-03,  0.900, 5.0,  1, 66.6,  0.0,  0.0
