#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
     1,136.803, 35.597,136.800, 35.600,1.94965e-04,  0.900, 5.0,  1, 57.4,279.0, 29.0
     2,136.903, 35.597,136.900, 35.600,1.81071e-04,  0.900, 5.0,  1, 59.4,283.0, 31.0
     3,137.003, 35.597,137.000, 35.600,1.75284e-04,  0.900, 5.0,  1, 60.2,286.0, 30.0
     4,137.103, 35.597,137.100, 35.600,1.77370e-04,  0.900, 5.0,  1, 61.3,288.0, 29.0
     5,137.203, 35.597,137.200, 35.600,1.84698e-04,  0.900, 5.0,  1, 62.8,287.0, 26.0
     6,137.303, 35.597,137.300, 35.600,1.94438e-04,  0.900, 5.0,  1, 64.0,277.0, 22.0
     7,135.903, 35.497,135.900, 35.500,1.41723e-04,  0.900, 5.0,  1, 78.9,213.0, 33.0
     8,136.003, 35.497,136.000, 35.500,1.65855e-04,  0.900, 5.0,  1, 73.5,214.0, 33.0
     9,136.103, 35.497,136.100, 35.500,1.94171e-04,  0.900, 5.0,  1, 68.2,216.0, 32.0
    10,136.203, 35.497,136.200, 35.500,2.19160e-04,  0.900, 5.0,  1, 63.3,218.0, 30.0
    11,136.303, 35.497,136.300, 35.500,2.35250e-04,  0.900, 5.0,  1, 59.0,221.0, 28.0
    12,136.403, 35.497,136.400, 35.500,2.43568e-04,  0.900, 5.0,  1, 55.5,228.0, 26.0
    13,136.503, 35.497,136.500, 35.500,2.47885e-04,  0.900, 5.0,  1, 52.7,236.0, 24.0
    14,136.603, 35.497,136.600, 35.500,2.48307e-04,  0.900, 5.0,  1, 50.4,247.0, 24.0
    15,136.703, 35.497,136.700, 35.500,2.42963e-04,  0.900, 5.0,  1, 48.9,260.0, 25.0
    16,136.803, 35.497,136.800, 35.500,2.33315e-04,  0.900, 5.0,  1, 49.0,276.0, 27.0
    17,136.903, 35.497,136.900, 35.500,2.24134e-04,  0.900, 5.0,  1, 51.0,286.0, 31.0
    18,137.003, 35.497,137.000, 35.500,2.19563e-04,  0.900, 5.0,  1, 53.3,290.0, 32.0
    19,137.103, 35.497,137.100, 35.500,2.21007e-04,  0.900, 5.0,  1, 55.4,290.0, 30.0
    20,137.203, 35.497,137.200, 35.500,2.27840e-04,  0.900, 5.0,  1, 57.9,288.0, 28.0
