#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
     1,136.803, 35.597,136.800, 35.600,5.84894e-04,  0.900, 5.0,  1, 67.4,  0.0,  0.0
     2,136.903, 35.597,136.900, 35.600,5.43214e-04,  0.900, 5.0,  1, 69.4,  0.0,  0.0
     3,137.003, 35.597,137.000, 35.600,5.25852e-04,  0.900, 5.0,  1, 70.2,  0.0,  0.0
     4,137.103, 35.597,137.100, 35.600,5.32111e-04,  0.900, 5.0,  1, 71.3,  0.0,  0.0
     5,137.203, 35.597,137.200, 35.600,5.54094e-04,  0.900, 5.0,  1, 72.8,  0.0,  0.0
     6,137.303, 35.597,137.300, 35.600,5.83314e-04,  0.900, 5.0,  1, 74.0,  0.0,  0.0
     7,135.903, 35.497,135.900, 35.500,4.25170e-04,  0.900, 5.0,  1, 88.9,  0.0,  0.0
     8,136.003, 35.497,136.000, 35.500,4.97567e-04,  0.900, 5.0,  1, 83.5,  0.0,  0.0
     9,136.103, 35.497,136.100, 35.500,5.82513e-04,  0.900, 5.0,  1, 78.2,  0.0,  0.0
    10,136.203, 35.497,136.200, 35.500,6.57482e-04,  0.900, 5.0,  1, 73.3,  0.0,  0.0
    11,136.303, 35.497,136.300, 35.500,7.05750e-04,  0.900, 5.0,  1, 69.0,  0.0,  0.0
    12,136.403, 35.497,136.400, 35.500,7.30706e-04,  0.900, 5.0,  1, 65.5,  0.0,  0.0
    13,136.503, 35.497,136.500, 35.500,7.43655e-04,  0.900, 5.0,  1, 62.7,  0.0,  0.0
    14,136.603, 35.497,136.600, 35.500,7.44922e-04,  0.900, 5.0,  1, 60.4,  0.0,  0.0
    15,136.703, 35.497,136.700, 35.500,7.28889e-04,  0.900, 5.0,  1, 58.9,  0.0,  0.0
    16,136.803, 35.497,136.800, 35.500,6.99945e-04,  0.900, 5.0,  1, 59.0,  0.0,  0.0
    17,136.903, 35.497,136.900, 35.500,6.72402e-04,  0.900, 5.0,  1, 61.0,  0.0,  0.0
    18,137.003, 35.497,137.000, 35.500,6.58688e-04,  0.900, 5.0,  1, 63.3,  0.0,  0.0
    19,137.103, 35.497,137.100, 35.500,6.63021e-04,  0.900, 5.0,  1, 65.4,  0.0,  0.0
