#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
     1,142.304, 42.597,142.300, 42.600,1.14074e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
     2,142.404, 42.597,142.400, 42.600,1.21045e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
     3,142.504, 42.597,142.500, 42.600,1.29283e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
     4,142.604, 42.597,142.600, 42.600,1.37229e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
     5,142.704, 42.597,142.700, 42.600,1.42374e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
     6,142.804, 42.597,142.800, 42.600,1.42715e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
     7,142.904, 42.597,142.900, 42.600,1.38192e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
     8,143.004, 42.597,143.000, 42.600,1.30502e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
     9,142.304, 42.497,142.300, 42.500,1.26316e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    10,142.404, 42.497,142.400, 42.500,1.32781e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    11,142.504, 42.497,142.500, 42.500,1.38940e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    12,142.604, 42.497,142.600, 42.500,1.43116e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    13,142.704, 42.497,142.700, 42.500,1.43588e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    14,142.804, 42.497,142.800, 42.500,1.39747e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    15,142.904, 42.497,142.900, 42.500,1.32589e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    16,143.004, 42.497,143.000, 42.500,1.23980e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    17,142.304, 42.397,142.300, 42.400,1.48423e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    18,142.404, 42.397,142.400, 42.400,1.55090e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    19,142.504, 42.397,142.500, 42.400,1.59155e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    20,142.604, 42.397,142.600, 42.400,1.58621e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    21,142.704, 42.397,142.700, 42.400,1.52712e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    22,142.804, 42.397,142.800, 42.400,1.42678e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    23,142.904, 42.397,142.900, 42.400,1.31058e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    24,143.004, 42.397,143.000, 42.400,1.20133e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    25,142.304, 42.297,142.300, 42.300,1.78773e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    26,142.404, 42.297,142.400, 42.300,1.87353e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    27,142.504, 42.297,142.500, 42.300,1.90825e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    28,142.604, 42.297,142.600, 42.300,1.86420e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    29,142.704, 42.297,142.700, 42.300,1.73855e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    30,142.804, 42.297,142.800, 42.300,1.56162e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    31,142.904, 42.297,142.900, 42.300,1.37877e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    32,143.004, 42.297,143.000, 42.300,1.22353e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    33,142.304, 42.197,142.300, 42.200,2.05364e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    34,142.404, 42.197,142.400, 42.200,2.17557e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    35,142.504, 42.197,142.500, 42.200,2.23356e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    36,142.604, 42.197,142.600, 42.200,2.18829e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    37,142.704, 42.197,142.700, 42.200,2.02963e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    38,142.804, 42.197,142.800, 42.200,1.79253e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    39,142.904, 42.197,142.900, 42.200,1.53891e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    40,142.304, 42.097,142.300, 42.100,2.15196e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    41,142.404, 42.097,142.400, 42.100,2.31063e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    42,142.504, 42.097,142.500, 42.100,2.41474e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    43,142.604, 42.097,142.600, 42.100,2.41640e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    44,142.704, 42.097,142.700, 42.100,2.28760e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    45,142.304, 41.997,142.300, 42.000,2.06857e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    46,142.404, 41.997,142.400, 42.000,2.24498e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
    47,142.504, 41.997,142.500, 42.000,2.39146e-03,  0.900, 5.0,  1, 35.0,315.0, 45.0
