#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
141.5540,  46.4980, 141.5500,  46.5000
142.2210,  45.9979, 142.2170,  46.0000
142.1540,  45.2478, 142.1500,  45.2500
142.2869,  44.3307, 142.2830,  44.3330
142.3209,  43.7976, 142.3170,  43.8000
142.3868,  43.1646, 142.3830,  43.1670
141.7538,  43.1476, 141.7500,  43.1500
141.8208,  43.4646, 141.8170,  43.4670
141.8708,  43.6976, 141.8670,  43.7000
141.5368,  44.3977, 141.5330,  44.4000
141.6209,  44.8148, 141.6170,  44.8170
141.4539,  45.5309, 141.4500,  45.5330
141.5540,  46.4980, 141.5500,  46.5000
