#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
140.8032,  32.4964, 140.8000,  32.5000
140.0031,  32.4964, 140.0000,  32.5000
138.5030,  32.4964, 138.5000,  32.5000
139.0030,  30.4962, 139.0000,  30.5000
139.5029,  27.4959, 139.5000,  27.5000
140.0029,  24.9956, 140.0000,  25.0000
140.5029,  23.4955, 140.5000,  23.5000
142.6701,  23.4955, 142.6670,  23.5000
142.0030,  24.1625, 142.0000,  24.1670
141.7530,  24.8956, 141.7500,  24.9000
141.7531,  27.1958, 141.7500,  27.2000
141.5031,  29.3290, 141.5000,  29.3330
141.0862,  30.9962, 141.0830,  31.0000
140.8032,  32.4964, 140.8000,  32.5000
