#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
141.0709,  46.4980, 141.0670,  46.5000
140.6709,  46.4980, 140.6670,  46.5000
139.0366,  44.6648, 139.0330,  44.6670
139.1036,  44.0648, 139.1000,  44.0670
138.9205,  42.7146, 138.9170,  42.7170
138.4034,  41.2645, 138.4000,  41.2670
137.8533,  40.2473, 137.8500,  40.2500
138.1863,  39.8803, 138.1830,  39.8830
137.9202,  39.0142, 137.9170,  39.0170
138.0032,  37.9141, 138.0000,  37.9170
137.9031,  37.4140, 137.9000,  37.4170
137.8361,  37.0640, 137.8330,  37.0670
139.2033,  38.2471, 139.2000,  38.2500
139.7204,  38.9801, 139.7170,  38.9830
139.9034,  39.5302, 139.9000,  39.5330
139.7205,  40.5643, 139.7170,  40.5670
139.9035,  40.9974, 139.9000,  41.0000
139.8705,  41.4474, 139.8670,  41.4500
139.9865,  41.9305, 139.9830,  41.9330
139.7035,  42.2145, 139.7000,  42.2170
139.6206,  42.5476, 139.6170,  42.5500
139.8036,  42.9306, 139.8000,  42.9330
140.1536,  43.0806, 140.1500,  43.0830
140.0536,  43.3647, 140.0500,  43.3670
140.3537,  43.6307, 140.3500,  43.6330
140.8537,  43.5977, 140.8500,  43.6000
140.8208,  44.9978, 140.8170,  45.0000
141.0709,  46.4980, 141.0670,  46.5000
