#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
141.9533,  33.4965, 141.9500,  33.5000
141.9864,  34.1965, 141.9830,  34.2000
143.0034,  33.9965, 143.0000,  34.0000
143.2704,  32.2463, 143.2670,  32.2500
143.4033,  30.3291, 143.4000,  30.3330
144.3033,  27.9958, 144.3000,  28.0000
144.3033,  26.9957, 144.3000,  27.0000
144.0862,  25.5286, 144.0830,  25.5330
144.1702,  24.7785, 144.1670,  24.7830
144.7202,  23.9955, 144.7170,  24.0000
143.7202,  23.9955, 143.7170,  24.0000
143.1701,  24.7786, 143.1670,  24.7830
143.0862,  25.5286, 143.0830,  25.5330
143.3032,  26.9958, 143.3000,  27.0000
143.3032,  27.9959, 143.3000,  28.0000
142.4033,  30.3291, 142.4000,  30.3330
142.2703,  32.2463, 142.2670,  32.2500
141.9533,  33.4965, 141.9500,  33.5000
