#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
139.0201,  33.9966, 139.0170,  34.0000
138.7701,  34.7137, 138.7670,  34.7170
140.2362,  34.4966, 140.2330,  34.5000
140.2702,  32.9965, 140.2670,  33.0000
140.5701,  31.2633, 140.5670,  31.2670
141.0861,  28.9960, 141.0830,  29.0000
141.3031,  26.9958, 141.3000,  27.0000
141.3700,  25.1126, 141.3670,  25.1170
141.4860,  24.5286, 141.4830,  24.5330
141.9200,  23.9955, 141.9170,  24.0000
141.6700,  23.9955, 141.6670,  24.0000
141.0860,  24.7456, 141.0830,  24.7500
140.7200,  27.4959, 140.7170,  27.5000
140.2201,  29.4961, 140.2170,  29.5000
139.7031,  31.4963, 139.7000,  31.5000
139.4861,  32.4964, 139.4830,  32.5000
139.0201,  33.9966, 139.0170,  34.0000
