#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
131.8355,  33.2797, 131.8330,  33.2830
132.0855,  32.9296, 132.0830,  32.9330
132.2195,  33.0796, 132.2170,  33.0830
132.5695,  33.4637, 132.5670,  33.4670
132.8526,  33.7297, 132.8500,  33.7330
132.8526,  34.4298, 132.8500,  34.4330
132.5196,  34.2468, 132.5170,  34.2500
132.2195,  33.9467, 132.2170,  33.9500
131.8525,  34.0138, 131.8500,  34.0170
131.5854,  33.5967, 131.5830,  33.6000
131.8355,  33.2797, 131.8330,  33.2830
