#
# VER. = 1.0
# DATE = 2017-04-12
#
LND_A98F, 260
F000101,-7.1,   1,Shibetsu fault zone
   1,145.084, 43.958,145.080, 43.960,  3.0, 56.0, 18.0,216.0, 45.0
F000201,-7.5,   1,Tokachi-heiya fault zone (Main part)
   1,143.302, 42.541,143.298, 42.544,  4.0, 84.0, 24.0,  9.0, 45.0
F000202,-6.7,   1,Kochien fault
   1,143.358, 42.303,143.354, 42.306,  3.0, 28.0, 18.0,333.0, 45.0
F000301,-6.7,   1,Furano fault zone (Western part)
   1,142.425, 43.441,142.421, 43.443,  2.0, 28.0, 18.0,196.3, 45.0
F000302,-6.7,   1,Furano fault zone (Eastern part)
   1,142.420, 43.131,142.416, 43.133,  2.0, 28.0, 18.0, 14.0, 50.0
F000401,-7.2,   1,Mashike-sanchi-toen fault zone
   1,141.882, 43.889,141.878, 43.891,  3.0, 64.0, 18.0,197.5, 45.0
F000402,-6.9,   1,Numata-Sunagawa-area fault zone
   1,141.958, 43.489,141.954, 43.491,  3.0, 40.0, 18.0,  0.0, 45.0
F000501,-6.5,   1,Tobetsu fault
   1,141.543, 43.454,141.539, 43.456,  3.0, 22.0, 18.0,180.0, 40.0
F000601,-7.2,   2,Ishikari-teichi-toen fault zone (Main part)
   1,141.919, 42.967,141.915, 42.969,  9.0, 37.9, 18.0, 14.0, 30.0
   2,141.919, 42.967,141.915, 42.969,  9.0, 21.9, 18.0,164.0,150.0
F000602,-7.1,   1,Ishikari-teichi-toen fault zone (Southern part)
   1,142.032, 42.408,142.028, 42.411,  9.0, 56.0, 18.0,342.5, 30.0
F000701,-6.8,   1,Kuromatsunai-teichi fault zone
   1,140.244, 42.752,140.240, 42.754,  2.0, 34.0, 18.0,170.1, 45.0
F000801,-6.6,   1,Hakodate-heiya-seien fault zone
   1,140.634, 41.940,140.630, 41.943,  2.0, 26.0, 18.0,187.1, 45.0
F000901,-6.8,   1,Aomori-wan-seigan fault zone
   1,140.615, 40.987,140.611, 40.990,  3.0, 32.0, 18.0,166.7, 60.0
