#
# VER. = 1.0
# DATE = 2017-04-12
#
LND_AGR1, 151
G030001, 6.6,   1,Rausu-dake fault zone
   1,145.225, 44.149,145.221, 44.151,  3.0, 11.8, 12.0,219.6, 90.0
G030002, 6.7,   1,Shari-dake-higashi fault zone
   1,144.784, 43.857,144.780, 43.859,  3.0, 13.3, 13.0, 28.2, 90.0
G030003, 6.8,   1,Abashiri-ko fault zone
   1,144.231, 43.999,144.227, 44.001,  3.0, 15.4, 15.0,194.0, 90.0
G030004, 6.5,   1,Tokoro-gawa-togan fault
   1,144.083, 44.100,144.079, 44.102,  3.0, 10.4, 10.0,208.6, 90.0
G030005, 7.0,   1,Toikanbetsu fault zone
   1,142.096, 45.052,142.092, 45.054,  3.0, 20.4, 15.0,187.7, 90.0
G030008, 6.6,   1,Ponnitashibetsu fault
   1,142.127, 43.703,142.123, 43.705,  3.0, 11.2, 11.0,140.3, 90.0
G030009, 6.6,   1,Mitsuishi-Urakawa fault zone
   1,142.601, 42.238,142.597, 42.241,  3.0, 12.4, 12.0,120.2, 90.0
G030011, 7.0,   1,Nohoro-kyuryo fault zone
   1,141.523, 43.115,141.519, 43.117,  3.0, 20.4, 15.0,170.3, 90.0
G030012, 7.2,   2,Shiribetsu-gawa fault zone
   1,140.392, 42.851,140.388, 42.853,  3.0, 10.8, 15.0,147.3, 90.0
   2,140.464, 42.769,140.460, 42.771,  3.0, 13.7, 15.0,197.7, 90.0
G030013, 6.5,   1,Yakumo fault zone
   1,140.278, 42.352,140.274, 42.354,  3.0, 10.5, 10.0,197.8, 90.0
G030014, 7.0,   1,Noheji fault zone
   1,141.080, 40.864,141.076, 40.867,  3.0, 19.9, 15.0,172.5, 90.0
G030015, 6.8,   1,Tsugaru-sanchi-seien fault zone hokubu hoppou enchou
   1,140.493, 40.838,140.489, 40.841,  3.0, 14.6, 15.0,343.6, 90.0
G030016, 6.6,   2,Iwaki-san-nanroku fault zone
   1,140.267, 40.617,140.263, 40.620,  3.0,  5.4, 11.0,115.0, 90.0
   2,140.324, 40.597,140.320, 40.600,  3.0,  5.3, 11.0, 64.6, 90.0
G030018, 6.9,   2,Takizawaukai-nishi fault (kitakami zambu)
   1,141.085, 39.632,141.081, 39.635,  3.0,  6.9, 15.0,346.2, 90.0
   2,141.066, 39.692,141.062, 39.695,  3.0, 10.1, 15.0, 20.4, 90.0
G030019, 6.5,   2,Tazawa-ko fault zone
   1,140.726, 39.748,140.722, 39.751,  3.0,  6.2, 10.0,161.5, 90.0
   2,140.749, 39.695,140.745, 39.698,  3.0,  4.5, 10.0,212.5, 90.0
G030020, 6.8,   1,Kitaguchi fault zone
   1,140.238, 39.988,140.235, 39.991,  3.0, 15.7, 15.0,198.6, 90.0
G030021, 7.0,   1,Yokote-bonchi-senan fault zone
   1,140.373, 39.357,140.370, 39.360,  3.0, 20.6, 15.0,182.0, 90.0
G030022, 7.1,   1,Toridame fault zone
   1,140.214, 39.545,140.211, 39.548,  3.0, 24.0, 15.0,191.6, 90.0
G030023, 6.6,   2,Kamagadai fault zone
   1,140.023, 39.280,140.020, 39.283,  3.0,  5.4, 11.0,167.3, 90.0
   2,140.037, 39.233,140.034, 39.236,  3.0,  5.5, 11.0,184.7, 90.0
G030024, 6.5,   1,Kisakata fault zone
   1,139.944, 39.235,139.941, 39.238,  3.0, 10.1, 10.0,172.1, 90.0
G030025, 7.1,   2,Asahiyama flexure zone
   1,141.099, 38.599,141.096, 38.602,  3.0,  9.1, 15.0,116.3, 90.0
   2,141.193, 38.562,141.190, 38.565,  3.0, 13.5, 15.0,181.7, 90.0
G030026, 6.6,   1,Medeshima-suite fault
   1,140.851, 38.193,140.848, 38.196,  3.0, 11.1, 11.0,180.9, 90.0
G030027, 6.5,   1,Sakunami-Yashikidaira fault zone
   1,140.629, 38.287,140.626, 38.290,  3.0,  9.9, 10.0,192.6, 90.0
G030028, 6.6,   1,Togatta fault zone
   1,140.575, 38.148,140.572, 38.151,  3.0, 10.5, 11.0,183.2, 90.0
G030029, 6.7,   1,Obanazawa fault zone
   1,140.418, 38.611,140.415, 38.614,  3.0, 13.6, 14.0,183.7, 90.0
G030031, 6.5,   1,Kotaru-gawa fault zone
   1,140.074, 37.921,140.071, 37.924,  3.0,  9.5, 10.0,237.0, 90.0
G030032, 7.6,   1,Futaba fault nambu C-class zan
   1,140.903, 37.655,140.900, 37.658,  3.0, 47.9, 15.0,170.2, 90.0
G030033, 6.8,   1,Osaka-Ashizawa fault zone
   1,140.979, 37.262,140.976, 37.265,  3.0, 15.5, 15.0,195.1, 90.0
G030034, 6.5,   1,Futatsuya fault
   1,140.845, 37.172,140.842, 37.175,  3.0,  9.8, 10.0,123.8, 90.0
G030035, 6.9,   1,Sangunmori fault zone
   1,140.864, 37.461,140.861, 37.464,  3.0, 18.2, 15.0,177.5, 90.0
G030036, 6.6,   1,Yunotake fault
   1,140.693, 37.059,140.690, 37.062,  3.0, 11.8, 12.0,123.8, 90.0
G030037, 7.0,   1,Idosawa fault
   1,140.717, 37.037,140.714, 37.040,  3.0, 18.9, 15.0,176.2, 90.0
G030038, 6.9,   1,Takahagi-fukin suite
   1,140.703, 36.827,140.700, 36.830,  3.0, 16.9, 15.0,189.1, 90.0
G030039, 7.0,   1,Tanagura fracture zone seien fault
   1,140.453, 36.887,140.450, 36.890,  3.0, 19.6, 15.0,164.2, 90.0
G030040, 6.8,   1,Adatara-yama-toroku fault zone
   1,140.359, 37.655,140.356, 37.658,  3.0, 15.0, 15.0,188.4, 90.0
G030041, 6.8,   1,Kawageta-yama fault zone
   1,140.144, 37.596,140.141, 37.599,  3.0, 14.5, 15.0,178.3, 90.0
G030042, 6.9,   1,Shirakawa-seho fault zone
   1,140.153, 37.280,140.150, 37.283,  3.0, 18.5, 15.0,197.8, 90.0
G030043, 6.8,   1,Hinoemata-nishi fault
   1,139.423, 37.137,139.420, 37.140,  3.0, 14.9, 15.0,203.8, 90.0
G030044, 6.6,   1,Kokuzoyama-toho fault
