#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_AETRF,   1
AETRF,-8.1, 25.0, 484,Etorofuto-Oki Earthquake
   1,148.931, 44.247,148.927, 44.250, 26.6
   2,148.872, 44.305,148.868, 44.308, 29.8
   3,148.813, 44.363,148.809, 44.366, 33.1
   4,149.013, 44.290,149.008, 44.293, 26.8
   5,148.954, 44.348,148.949, 44.351, 29.9
   6,148.894, 44.406,148.889, 44.409, 33.2
   7,148.835, 44.464,148.830, 44.467, 36.7
   8,149.094, 44.333,149.089, 44.336, 26.9
   9,149.034, 44.391,149.029, 44.394, 30.0
  10,148.975, 44.449,148.970, 44.452, 33.2
  11,148.915, 44.507,148.910, 44.510, 36.7
  12,148.856, 44.565,148.851, 44.568, 40.5
  13,149.174, 44.375,149.169, 44.378, 27.0
  14,149.115, 44.433,149.110, 44.436, 30.1
  15,149.055, 44.491,149.050, 44.494, 33.3
  16,148.996, 44.549,148.991, 44.552, 36.6
  17,148.936, 44.607,148.931, 44.610, 40.3
  18,149.255, 44.418,149.250, 44.421, 27.0
  19,149.195, 44.476,149.190, 44.479, 30.2
  20,149.136, 44.534,149.131, 44.537, 33.4
  21,149.076, 44.592,149.071, 44.595, 36.7
  22,149.017, 44.650,149.012, 44.653, 40.1
  23,148.957, 44.709,148.952, 44.711, 44.6
  24,149.335, 44.461,149.330, 44.464, 27.0
  25,149.276, 44.519,149.271, 44.522, 30.3
  26,149.216, 44.577,149.211, 44.580, 33.6
  27,149.157, 44.635,149.152, 44.638, 37.1
  28,149.097, 44.693,149.092, 44.696, 40.8
  29,149.038, 44.752,149.033, 44.754, 44.9
  30,149.416, 44.503,149.411, 44.506, 27.1
  31,149.356, 44.561,149.351, 44.564, 30.4
  32,149.297, 44.619,149.292, 44.622, 33.8
  33,149.237, 44.677,149.232, 44.680, 37.4
  34,149.178, 44.735,149.173, 44.738, 41.2
  35,149.118, 44.794,149.113, 44.796, 45.4
  36,149.058, 44.852,149.053, 44.854, 49.9
  37,149.497, 44.546,149.492, 44.549, 27.3
  38,149.437, 44.604,149.432, 44.607, 30.4
  39,149.377, 44.662,149.372, 44.665, 33.8
  40,149.318, 44.720,149.313, 44.723, 37.4
  41,149.258, 44.778,149.253, 44.781, 41.4
  42,149.198, 44.837,149.193, 44.839, 45.7
  43,149.139, 44.895,149.134, 44.897, 50.3
  44,149.577, 44.589,149.572, 44.592, 27.3
  45,149.517, 44.647,149.512, 44.650, 30.4
  46,149.458, 44.705,149.453, 44.708, 33.7
  47,149.398, 44.763,149.393, 44.766, 37.2
  48,149.338, 44.821,149.333, 44.824, 41.3
  49,149.279, 44.880,149.274, 44.882, 45.8
  50,149.219, 44.938,149.214, 44.940, 50.7
  51,149.658, 44.631,149.653, 44.634, 27.2
  52,149.598, 44.689,149.593, 44.692, 30.4
  53,149.538, 44.747,149.533, 44.750, 33.7
  54,149.479, 44.805,149.474, 44.808, 37.0
  55,149.419, 44.864,149.414, 44.866, 41.0
  56,149.359, 44.922,149.354, 44.924, 45.8
  57,149.299, 44.980,149.294, 44.982, 50.7
  58,149.240, 45.038,149.235, 45.040, 56.1
  59,149.738, 44.674,149.733, 44.677, 27.1
  60,149.679, 44.732,149.674, 44.735, 30.5
  61,149.619, 44.790,149.614, 44.793, 33.9
  62,149.559, 44.848,149.554, 44.851, 37.4
  63,149.499, 44.907,149.494, 44.909, 41.3
  64,149.440, 44.965,149.435, 44.967, 45.8
  65,149.380, 45.023,149.375, 45.025, 50.7
  66,149.320, 45.081,149.315, 45.083, 55.9
  67,149.819, 44.717,149.814, 44.720, 27.1
  68,149.759, 44.775,149.754, 44.778, 30.5
  69,149.699, 44.833,149.694, 44.836, 34.1
  70,149.640, 44.891,149.635, 44.894, 37.8
  71,149.580, 44.950,149.575, 44.952, 41.8
  72,149.520, 45.008,149.515, 45.010, 46.1
  73,149.460, 45.066,149.455, 45.068, 50.9
  74,149.400, 45.124,149.395, 45.126, 55.8
  75,149.900, 44.759,149.895, 44.762, 27.2
  76,149.840, 44.817,149.835, 44.820, 30.6
  77,149.780, 44.875,149.775, 44.878, 34.1
  78,149.720, 44.933,149.715, 44.936, 37.9
