#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_ASKTN,   1
ASKTN,-7.8, 25.0, 262,Shikotanto-Oki Earthquake
   1,147.091, 43.131,147.087, 43.134, 20.6
   2,147.026, 43.185,147.022, 43.188, 23.0
   3,146.961, 43.239,146.957, 43.242, 25.7
   4,147.165, 43.179,147.161, 43.182, 21.2
   5,147.100, 43.233,147.096, 43.236, 23.5
   6,147.034, 43.287,147.030, 43.290, 26.1
   7,146.969, 43.340,146.965, 43.343, 28.9
   8,147.238, 43.227,147.234, 43.230, 21.6
   9,147.173, 43.281,147.169, 43.284, 23.9
  10,147.108, 43.334,147.104, 43.337, 26.5
  11,147.042, 43.388,147.038, 43.391, 29.3
  12,146.977, 43.442,146.973, 43.445, 32.2
  13,147.312, 43.275,147.308, 43.278, 21.7
  14,147.246, 43.328,147.242, 43.331, 24.2
  15,147.181, 43.382,147.177, 43.385, 26.9
  16,147.115, 43.436,147.111, 43.439, 29.7
  17,147.050, 43.490,147.046, 43.493, 32.6
  18,147.385, 43.322,147.381, 43.325, 21.6
  19,147.320, 43.376,147.316, 43.379, 24.3
  20,147.254, 43.430,147.250, 43.433, 27.1
  21,147.189, 43.484,147.185, 43.487, 30.0
  22,147.123, 43.538,147.119, 43.541, 33.0
  23,147.459, 43.370,147.455, 43.373, 21.8
  24,147.393, 43.424,147.389, 43.427, 24.6
  25,147.328, 43.478,147.324, 43.481, 27.4
  26,147.262, 43.532,147.258, 43.535, 30.3
  27,147.196, 43.586,147.192, 43.589, 33.3
  28,147.131, 43.639,147.127, 43.642, 36.4
  29,147.532, 43.418,147.528, 43.421, 22.4
  30,147.466, 43.472,147.462, 43.475, 25.0
  31,147.401, 43.526,147.397, 43.529, 27.8
  32,147.335, 43.580,147.331, 43.583, 30.7
  33,147.270, 43.633,147.266, 43.636, 33.6
  34,147.204, 43.687,147.200, 43.690, 36.7
  35,147.605, 43.466,147.601, 43.469, 22.8
  36,147.540, 43.520,147.536, 43.523, 25.4
  37,147.474, 43.574,147.470, 43.577, 28.2
  38,147.409, 43.627,147.405, 43.630, 31.1
  39,147.343, 43.681,147.339, 43.684, 34.1
  40,147.277, 43.735,147.273, 43.738, 37.1
  41,147.679, 43.514,147.675, 43.517, 23.0
  42,147.613, 43.568,147.609, 43.571, 25.7
  43,147.547, 43.621,147.543, 43.624, 28.6
  44,147.482, 43.675,147.478, 43.678, 31.5
  45,147.416, 43.729,147.412, 43.732, 34.6
  46,147.350, 43.783,147.346, 43.786, 37.8
  47,147.752, 43.562,147.748, 43.565, 23.1
  48,147.687, 43.615,147.683, 43.618, 26.0
  49,147.621, 43.669,147.617, 43.672, 28.9
  50,147.555, 43.723,147.551, 43.726, 31.9
  51,147.489, 43.777,147.485, 43.780, 35.0
  52,147.424, 43.831,147.420, 43.834, 38.3
  53,147.826, 43.609,147.822, 43.612, 23.4
  54,147.760, 43.663,147.756, 43.666, 26.3
  55,147.694, 43.717,147.690, 43.720, 29.3
  56,147.628, 43.771,147.624, 43.774, 32.3
  57,147.563, 43.825,147.559, 43.828, 35.3
  58,147.497, 43.879,147.493, 43.882, 38.7
  59,147.431, 43.932,147.427, 43.935, 42.5
  60,147.899, 43.657,147.895, 43.660, 23.9
  61,147.833, 43.711,147.829, 43.714, 26.7
  62,147.767, 43.765,147.763, 43.768, 29.7
  63,147.702, 43.819,147.698, 43.822, 32.7
  64,147.636, 43.873,147.632, 43.876, 35.8
  65,147.570, 43.926,147.566, 43.929, 38.9
  66,147.504, 43.980,147.500, 43.983, 42.9
  67,147.973, 43.705,147.969, 43.708, 24.4
  68,147.907, 43.759,147.903, 43.762, 27.2
  69,147.841, 43.813,147.837, 43.816, 30.1
  70,147.775, 43.867,147.771, 43.870, 33.2
  71,147.709, 43.920,147.705, 43.923, 36.4
  72,147.643, 43.974,147.639, 43.977, 39.8
  73,147.577, 44.028,147.573, 44.031, 43.7
  74,148.046, 43.753,148.042, 43.756, 24.6
  75,147.980, 43.807,147.976, 43.810, 27.5
  76,147.914, 43.861,147.910, 43.864, 30.5
  77,147.848, 43.914,147.844, 43.917, 33.7
  78,147.782, 43.968,147.778, 43.971, 37.0
  79,147.716, 44.022,147.712, 44.025, 40.6
  80,148.119, 43.801,148.115, 43.804, 24.7
  81,148.053, 43.855,148.049, 43.858, 27.8
