#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_ATHOP,   1
ATHOP,-9.0, 28.9, 907,Great East Japan Earthquake (2011 type)
   1,142.000, 39.700,141.996, 39.703, 49.9
   2,142.100, 39.700,142.096, 39.703, 46.7
   3,142.200, 39.700,142.196, 39.703, 43.9
   4,142.300, 39.700,142.296, 39.703, 41.2
   5,142.400, 39.700,142.396, 39.703, 38.5
   6,142.500, 39.700,142.496, 39.703, 35.9
   7,142.600, 39.700,142.596, 39.703, 33.2
   8,142.700, 39.700,142.696, 39.703, 30.7
   9,142.800, 39.700,142.796, 39.703, 28.5
  10,142.900, 39.700,142.896, 39.703, 26.4
  11,143.000, 39.700,142.996, 39.703, 24.4
  12,143.100, 39.700,143.096, 39.703, 22.4
  13,143.200, 39.700,143.196, 39.703, 20.6
  14,143.300, 39.700,143.296, 39.703, 19.0
  15,143.400, 39.700,143.396, 39.703, 17.6
  16,143.500, 39.700,143.496, 39.703, 16.2
  17,143.600, 39.700,143.596, 39.703, 14.8
  18,143.700, 39.700,143.696, 39.703, 13.5
  19,143.800, 39.700,143.796, 39.703, 12.2
  20,143.900, 39.700,143.896, 39.703, 11.0
  21,144.000, 39.700,143.996, 39.703,  9.9
  22,144.100, 39.700,144.096, 39.703,  9.0
  23,144.200, 39.700,144.196, 39.703,  8.2
  24,142.000, 39.600,141.996, 39.603, 49.5
  25,142.100, 39.600,142.096, 39.603, 46.3
  26,142.200, 39.600,142.196, 39.603, 43.5
  27,142.300, 39.600,142.296, 39.603, 40.9
  28,142.400, 39.600,142.396, 39.603, 38.1
  29,142.500, 39.600,142.496, 39.603, 35.4
  30,142.600, 39.600,142.596, 39.603, 32.8
  31,142.700, 39.600,142.696, 39.603, 30.3
  32,142.800, 39.600,142.796, 39.603, 28.0
  33,142.900, 39.600,142.896, 39.603, 26.0
  34,143.000, 39.600,142.996, 39.603, 24.0
  35,143.100, 39.600,143.096, 39.603, 22.1
  36,143.200, 39.600,143.196, 39.603, 20.3
  37,143.300, 39.600,143.296, 39.603, 18.7
  38,143.400, 39.600,143.396, 39.603, 17.3
  39,143.500, 39.600,143.496, 39.603, 16.0
  40,143.600, 39.600,143.596, 39.603, 14.6
  41,143.700, 39.600,143.696, 39.603, 13.4
  42,143.800, 39.600,143.796, 39.603, 12.1
  43,143.900, 39.600,143.896, 39.603, 10.9
  44,144.000, 39.600,143.996, 39.603,  9.8
  45,144.100, 39.600,144.096, 39.603,  9.0
  46,144.200, 39.600,144.196, 39.603,  8.2
  47,142.000, 39.500,141.996, 39.503, 49.0
  48,142.100, 39.500,142.096, 39.503, 45.9
  49,142.200, 39.500,142.196, 39.503, 43.2
  50,142.300, 39.500,142.296, 39.503, 40.5
  51,142.400, 39.500,142.396, 39.503, 37.7
  52,142.500, 39.500,142.496, 39.503, 35.0
  53,142.600, 39.500,142.596, 39.503, 32.3
  54,142.700, 39.500,142.696, 39.503, 29.8
  55,142.800, 39.500,142.796, 39.503, 27.6
  56,142.900, 39.500,142.896, 39.503, 25.6
  57,143.000, 39.500,142.996, 39.503, 23.6
  58,143.100, 39.500,143.096, 39.503, 21.8
  59,143.200, 39.500,143.196, 39.503, 20.0
  60,143.300, 39.500,143.296, 39.503, 18.5
  61,143.400, 39.500,143.396, 39.503, 17.1
  62,143.500, 39.500,143.496, 39.503, 15.7
  63,143.600, 39.500,143.596, 39.503, 14.4
  64,143.700, 39.500,143.696, 39.503, 13.2
  65,143.800, 39.500,143.796, 39.503, 12.0
  66,143.900, 39.500,143.896, 39.503, 10.8
  67,144.000, 39.500,143.996, 39.503,  9.8
  68,144.100, 39.500,144.096, 39.503,  9.0
  69,144.200, 39.500,144.196, 39.503,  8.2
  70,142.100, 39.400,142.096, 39.403, 45.6
  71,142.200, 39.400,142.196, 39.403, 42.8
  72,142.300, 39.400,142.296, 39.403, 40.1
  73,142.400, 39.400,142.396, 39.403, 37.3
  74,142.500, 39.400,142.496, 39.403, 34.5
  75,142.600, 39.400,142.596, 39.403, 31.8
  76,142.700, 39.400,142.696, 39.403, 29.4
  77,142.800, 39.400,142.796, 39.403, 27.2
  78,142.900, 39.400,142.896, 39.403, 25.2
  79,143.000, 39.400,142.996, 39.403, 23.2
  80,143.100, 39.400,143.096, 39.403, 21.4
  81,143.200, 39.400,143.196, 39.403, 19.7
  82,143.300, 39.400,143.296, 39.403, 18.2
  83,143.400, 39.400,143.396, 39.403, 16.8
  84,143.500, 39.400,143.496, 39.403, 15.5
  85,143.600, 39.400,143.596, 39.403, 14.2
  86,143.700, 39.400,143.696, 39.403, 13.0
  87,143.800, 39.400,143.796, 39.403, 11.8
  88,143.900, 39.400,143.896, 39.403, 10.7
  89,144.000, 39.400,143.996, 39.403,  9.7
  90,144.100, 39.400,144.096, 39.403,  8.9
  91,142.000, 39.300,141.996, 39.303, 48.1
  92,142.100, 39.300,142.096, 39.303, 45.2
  93,142.200, 39.300,142.196, 39.303, 42.4
  94,142.300, 39.300,142.296, 39.303, 39.6
  95,142.400, 39.300,142.396, 39.303, 36.8
  96,142.500, 39.300,142.496, 39.303, 33.9
  97,142.600, 39.300,142.596, 39.303, 31.3
  98,142.700, 39.300,142.696, 39.303, 28.9
  99,142.800, 39.300,142.796, 39.303, 26.7
 100,142.900, 39.300,142.896, 39.303, 24.7
 101,143.000, 39.300,142.996, 39.303, 22.8
 102,143.100, 39.300,143.096, 39.303, 21.0
 103,143.200, 39.300,143.196, 39.303, 19.4
 104,143.300, 39.300,143.296, 39.303, 17.9
 105,143.400, 39.300,143.396, 39.303, 16.5
 106,143.500, 39.300,143.496, 39.303, 15.2
 107,143.600, 39.300,143.596, 39.303, 13.9
 108,143.700, 39.300,143.696, 39.303, 12.7
 109,143.800, 39.300,143.796, 39.303, 11.5
 110,143.900, 39.300,143.896, 39.303, 10.5
 111,144.000, 39.300,143.996, 39.303,  9.6
 112,144.100, 39.300,144.096, 39.303,  8.8
 113,142.000, 39.200,141.996, 39.203, 47.7
 114,142.100, 39.200,142.096, 39.203, 44.8
 115,142.200, 39.200,142.196, 39.203, 41.9
 116,142.300, 39.200,142.296, 39.203, 39.1
 117,142.400, 39.200,142.396, 39.203, 36.1
 118,142.500, 39.200,142.496, 39.203, 33.3
 119,142.600, 39.200,142.596, 39.203, 30.6
 120,142.700, 39.200,142.696, 39.203, 28.3
 121,142.800, 39.200,142.796, 39.203, 26.2
 122,142.900, 39.200,142.896, 39.203, 24.2
 123,143.000, 39.200,142.996, 39.203, 22.3
 124,143.100, 39.200,143.096, 39.203, 20.5
 125,143.200, 39.200,143.196, 39.203, 19.0
 126,143.300, 39.200,143.296, 39.203, 17.6
 127,143.400, 39.200,143.396, 39.203, 16.3
 128,143.500, 39.200,143.496, 39.203, 15.0
 129,143.600, 39.200,143.596, 39.203, 13.7
 130,143.700, 39.200,143.696, 39.203, 12.4
 131,143.800, 39.200,143.796, 39.203, 11.3
 132,143.900, 39.200,143.896, 39.203, 10.2
 133,144.000, 39.200,143.996, 39.203,  9.4
 134,144.100, 39.200,144.096, 39.203,  8.7
 135,142.000, 39.100,141.996, 39.103, 47.4
 136,142.100, 39.100,142.096, 39.103, 44.3
 137,142.200, 39.100,142.196, 39.103, 41.5
 138,142.300, 39.100,142.296, 39.103, 38.5
 139,142.400, 39.100,142.396, 39.103, 35.5
 140,142.500, 39.100,142.496, 39.103, 32.5
 141,142.600, 39.100,142.596, 39.103, 29.7
 142,142.700, 39.100,142.696, 39.103, 27.6
 143,142.800, 39.100,142.796, 39.103, 25.6
 144,142.900, 39.100,142.896, 39.103, 23.7
 145,143.000, 39.100,142.996, 39.103, 21.9
 146,143.100, 39.100,143.096, 39.103, 20.1
 147,143.200, 39.100,143.196, 39.103, 18.6
 148,143.300, 39.100,143.296, 39.103, 17.3
 149,143.400, 39.100,143.396, 39.103, 16.0
 150,143.500, 39.100,143.496, 39.103, 14.7
 151,143.600, 39.100,143.596, 39.103, 13.4
 152,143.700, 39.100,143.696, 39.103, 12.2
 153,143.800, 39.100,143.796, 39.103, 11.0
 154,143.900, 39.100,143.896, 39.103, 10.0
 155,144.000, 39.100,143.996, 39.103,  9.2
 156,144.100, 39.100,144.096, 39.103,  8.5
 157,142.000, 39.000,141.996, 39.003, 47.0
 158,142.100, 39.000,142.096, 39.003, 43.9
 159,142.200, 39.000,142.196, 39.003, 41.0
 160,142.300, 39.000,142.296, 39.003, 37.9
 161,142.400, 39.000,142.396, 39.003, 34.8
 162,142.500, 39.000,142.496, 39.003, 31.8
 163,142.600, 39.000,142.596, 39.003, 29.2
 164,142.700, 39.000,142.696, 39.003, 27.1
 165,142.800, 39.000,142.796, 39.003, 25.1
 166,142.900, 39.000,142.896, 39.003, 23.2
 167,143.000, 39.000,142.996, 39.003, 21.4
 168,143.100, 39.000,143.096, 39.003, 19.8
 169,143.200, 39.000,143.196, 39.003, 18.3
 170,143.300, 39.000,143.296, 39.003, 17.0
 171,143.400, 39.000,143.396, 39.003, 15.7
 172,143.500, 39.000,143.496, 39.003, 14.4
 173,143.600, 39.000,143.596, 39.003, 13.1
 174,143.700, 39.000,143.696, 39.003, 11.9
 175,143.800, 39.000,143.796, 39.003, 10.8
 176,143.900, 39.000,143.896, 39.003,  9.8
 177,144.000, 39.000,143.996, 39.003,  9.1
 178,144.100, 39.000,144.096, 39.003,  8.4
 179,142.000, 38.900,141.996, 38.903, 46.5
 180,142.100, 38.900,142.096, 38.903, 43.4
 181,142.200, 38.900,142.196, 38.903, 40.4
 182,142.300, 38.900,142.296, 38.903, 37.2
 183,142.400, 38.900,142.396, 38.903, 34.0
 184,142.500, 38.900,142.496, 38.903, 31.0
 185,142.600, 38.900,142.596, 38.903, 28.6
 186,142.700, 38.900,142.696, 38.903, 26.5
 187,142.800, 38.900,142.796, 38.903, 24.6
 188,142.900, 38.900,142.896, 38.903, 22.7
 189,143.000, 38.900,142.996, 38.903, 20.9
 190,143.100, 38.900,143.096, 38.903, 19.3
 191,143.200, 38.900,143.196, 38.903, 17.9
 192,143.300, 38.900,143.296, 38.903, 16.6
 193,143.400, 38.900,143.396, 38.903, 15.3
 194,143.500, 38.900,143.496, 38.903, 14.1
 195,143.600, 38.900,143.596, 38.903, 12.8
 196,143.700, 38.900,143.696, 38.903, 11.6
 197,143.800, 38.900,143.796, 38.903, 10.5
 198,143.900, 38.900,143.896, 38.903,  9.6
 199,144.000, 38.900,143.996, 38.903,  8.9
 200,144.100, 38.900,144.096, 38.903,  8.2
 201,141.900, 38.800,141.896, 38.803, 49.4
 202,142.000, 38.800,141.996, 38.803, 46.0
 203,142.100, 38.800,142.096, 38.803, 42.9
 204,142.200, 38.800,142.196, 38.803, 39.7
 205,142.300, 38.800,142.296, 38.803, 36.4
 206,142.400, 38.800,142.396, 38.803, 33.1
 207,142.500, 38.800,142.496, 38.803, 30.1
 208,142.600, 38.800,142.596, 38.803, 27.9
 209,142.700, 38.800,142.696, 38.803, 25.9
 210,142.800, 38.800,142.796, 38.803, 24.0
 211,142.900, 38.800,142.896, 38.803, 22.2
