#
# VER. = 1.0
# DATE = 2014-12-08
#
# UPDATED
#
# CODE, JCODE, AVS, ARV
3741029211, 0,  0.0,   0.0000
3741029212, 0,  0.0,   0.0000
3741029213, 0,  0.0,   0.0000
3741029214, 0,  0.0,   0.0000
3741029221, 0,  0.0,   0.0000
3741029222, 0,  0.0,   0.0000
3741029223, 0,  0.0,   0.0000
3741029224,21,429.1,   0.9419
3741029231, 0,  0.0,   0.0000
3741029232, 0,  0.0,   0.0000
3741029233, 0,  0.0,   0.0000
3741029234, 0,  0.0,   0.0000
3741029241, 0,  0.0,   0.0000
3741029242, 8,419.8,   0.9597
3741029243, 0,  0.0,   0.0000
3741029244, 8,419.8,   0.9597
3741029311, 0,  0.0,   0.0000
3741029312, 0,  0.0,   0.0000
3741029313,21,429.1,   0.9419
3741029314, 0,  0.0,   0.0000
3741029321, 0,  0.0,   0.0000
3741029322, 0,  0.0,   0.0000
3741029323, 0,  0.0,   0.0000
3741029324, 0,  0.0,   0.0000
3741029331, 8,419.8,   0.9597
3741029332, 0,  0.0,   0.0000
3741029333, 8,419.8,   0.9597
3741029334, 8,419.8,   0.9597
3741029341, 0,  0.0,   0.0000
3741029342, 0,  0.0,   0.0000
3741029343, 0,  0.0,   0.0000
3741029344, 0,  0.0,   0.0000
3741120211, 0,  0.0,   0.0000
3741120212, 0,  0.0,   0.0000
3741120213, 0,  0.0,   0.0000
3741120214, 0,  0.0,   0.0000
3741120221,21,429.1,   0.9419
3741120222, 4,510.4,   0.8125
3741120223, 0,  0.0,   0.0000
3741120224, 8,419.8,   0.9597
3741120231, 0,  0.0,   0.0000
3741120232, 0,  0.0,   0.0000
3741120233, 0,  0.0,   0.0000
3741120234, 0,  0.0,   0.0000
3741120241, 0,  0.0,   0.0000
3741120242, 8,419.8,   0.9597
3741120243, 0,  0.0,   0.0000
3741120244,16,260.2,   1.4425
3741120311, 8,419.8,   0.9597
3741120312, 8,419.8,   0.9597
3741120313, 8,419.8,   0.9597
3741120314, 8,419.8,   0.9597
3741120321, 0,  0.0,   0.0000
3741120322, 0,  0.0,   0.0000
3741120323,16,260.2,   1.4425
3741120324, 0,  0.0,   0.0000
3741120331, 8,419.8,   0.9597
3741120332, 8,419.8,   0.9597
3741120333,16,260.2,   1.4425
3741120334, 8,419.8,   0.9597
3741120341,16,260.2,   1.4425
3741120342,16,260.2,   1.4425
3741120343, 8,419.8,   0.9597
3741120344, 8,419.8,   0.9597
