pref_id,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,bldg_count_quality
1,5.76623888059e+12,140527009.893,53489247.0964,69821103.2899,43278960.3865,28105401.9786,438798.0
2,9.27451557492e+11,22602600.5675,6909709.646,10994093.7399,8256005.35029,4520520.11351,979734.0
3,1.16801392211e+12,28465262.6063,9303215.01924,13929544.8709,9937711.69146,5693052.52127,848064.0
4,4.57484474522e+12,111491956.21,41184392.3545,55220321.6122,35295034.0802,22298391.2419,432210.0
5,1.18077805783e+12,28776332.9357,9500374.38547,14095077.5723,9973296.16916,5755266.58714,481782.0
6,6.54581235089e+11,15952572.4834,5205381.39668,7805266.09345,5575700.78665,3190514.49667,350400.0
7,4.04154298311e+12,98495043.742,35701012.2127,48688029.8439,31702376.6399,19699008.7484,415572.0
8,1.63634391359e+12,39878770.5635,11666691.7837,19324274.9943,14967412.1357,7975754.11269,1113120.0
9,1.7139501028e+12,41770084.112,14796600.8289,20599881.1835,13707160.4394,8354016.8224,845514.0
10,1.66970146648e+12,40691715.9275,14423372.9094,20069281.6972,13346578.5132,8138343.1855,512724.0
11,2.3039397021e+12,56148516.2191,19622657.0937,27653674.3696,18629966.8915,11229703.2438,690186.0
12,4.5042561558e+12,109771666.154,36428454.86,53793982.4282,37901016.6393,21954333.2309,6974970.0
13,4.5100151871e+12,109912017.511,39836584.4016,54331289.8577,35379182.7671,21982403.5022,686286.0
14,2.4074538438e+12,58671223.5012,19642800.939,28776058.9833,20125701.3016,11734244.7002,495900.0
15,9.38999018046e+11,22884019.7278,7562638.28946,11209991.6352,7925340.43175,4576803.94555,358560.0
16,1.09036552998e+12,26572920.5451,7609414.17438,12853644.6416,10099277.7118,5314584.10902,1283898.0
17,7.94220779099e+11,19355679.4286,6867746.37025,9547262.00191,6343140.24284,3871135.88573,149028.0
18,1.3885931246e+12,33840921.9249,10593560.657,16495107.6891,12171188.8999,6768184.38499,747240.0
19,6.88170876501e+12,167711739.962,63735587.4401,83313799.3379,51728487.7265,33542347.9924,209682.0
20,6.42917887999e+11,15668329.0925,5164303.09106,7673393.5052,5436844.1289,3133665.81851,556488.0
21,1.48412018076e+12,36168978.7125,12080131.3731,17735494.632,12429073.2742,7233795.74251,600738.0
22,2.1549773373e+12,52518206.0385,18387175.8991,25870344.0732,17400027.8876,10503641.2077,375366.0
23,1.46489992711e+12,35700568.5703,12215037.5841,17546417.3098,12045337.8092,7140113.71405,477414.0
24,1.85879400217e+12,45300024.5986,14772789.6457,22163149.316,15839850.1908,9060004.91971,616674.0
25,9.12826690146e+11,22246182.9926,6944738.04655,10840797.8912,8015723.04025,4449236.59852,595794.0
26,1.7553151174e+12,42778176.5509,13776369.7558,20905074.271,15091105.5854,8555635.31018,1093788.0
27,1.19732605637e+12,29179618.4745,9639568.55069,14293456.2707,10108439.8883,5835923.69491,390996.0
28,1.13611713136e+12,27687916.9704,9936961.35635,13672889.5586,8987499.0333,5537583.39409,287742.0
29,1.9757633466e+12,48150643.9645,16445472.4881,23661389.4327,16268452.7199,9630128.79291,1059150.0
30,9.58028677245e+11,23347784.9588,7506849.05158,11408034.7411,8245799.52189,4669556.99175,505218.0
31,1.58873328325e+12,38718468.3873,13148992.1759,19015933.7218,13138986.2041,7743693.67747,591822.0
32,1.07223556812e+12,26131081.5262,9736655.42768,12954047.9805,8208089.86123,5226216.30524,209046.0
33,7.21317663225e+12,175789828.509,66925550.7722,87343465.3274,54128281.7674,35157965.7018,165336.0
34,7.16218263962e+11,17454707.1583,5820704.78667,8557675.93622,6005014.94562,3490941.43166,200220.0
35,5.86061129355e+12,142826927.272,54206718.2337,70941806.1262,44108053.7837,28565385.4543,318348.0
36,1.07881503051e+12,26291427.3247,9196489.12679,12949921.9183,8717158.36855,5258285.46494,279558.0
37,6.40717697881e+11,15614709.0215,4775027.80142,7595340.37455,5702370.60902,3122941.80429,542658.0
38,3.01336132486e+12,73437584.7895,25212644.7628,36105682.9582,24712171.7453,14687516.9579,674406.0
39,1.59527959442e+12,38878006.2687,12671674.7547,19020208.8803,13599515.5743,7775601.25374,519762.0
40,6.53792090363e+11,15933340.5107,5470508.56166,7833683.93866,5361460.41406,3186668.10214,329454.0
41,1.0029475864e+13,244424881.305,93110651.7983,121453324.893,75220115.7106,48884976.261,154698.0
42,4.32390272979e+11,10537633.5297,3261063.27679,5131121.36519,3818731.56927,2107526.70594,278214.0
43,8.98703367836e+11,21901988.398,7751998.25696,10800559.0063,7192302.59525,4380397.6796,351060.0
44,8.41905752311e+11,20517793.3891,7208510.95364,10110503.1605,6778708.99896,4103558.67781,377736.0
45,9.85034921402e+11,24005944.7781,7548521.63326,11705934.1963,8608182.92026,4801188.95562,773916.0
46,1.21141684694e+12,29523020.2493,9685115.79434,14452206.2114,10279316.2234,5904604.04986,516528.0
47,7.04867381394e+11,17178078.732,5498693.75216,8390026.92318,6085525.07937,3435615.7464,356244.0
