Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Info,Name,Lat,Lon,Dep,Mag,MMI,Num Deaths,De Deaths,Num Injuries,De Injuries,Damage $Mill,Damage De,Houses Destroyed Num,Houses Destroyed De,Houses Damaged Num,Houses Damaged De
1901,8,9,18,33,45,Tsu,,*,JAPAN: OFF NORTHEAST COAST HONSHU,40.6,142.3,33,8.2,,18,1,,,,2,8,1,,
1905,6,2,5,39,42,,,*,JAPAN: AKI,34,132,100,7.8,,11,1,,,,1,59,2,59,2
1905,7,6,16,21,,Tsu,,*,JAPAN: OFF FUKUSHIMA,37.4,142.6,33,7,,,,,,,,,,,
1909,8,14,6,30,,Tsu,,*,JAPAN: OOMI,35.4,136.3,33,6.9,,41,1,,,,3,976,3,,
1911,6,15,14,26,,Tsu,,*,JAPAN: RYUKYU ISLANDS,28,130,160,8,,12,1,,,,3,422,3,,
1914,1,12,,,,Tsu,Vol,*,JAPAN: SAKURIJIMA,31.58,130.67,,7.1,,29,1,,,,1,120,3,,
1914,3,15,20,0,6,,,*,JAPAN: SENHOKU,39.2,139.8,33,7.2,,94,2,,,,3,640,3,,
1923,9,1,2,58,37,Tsu,,*,"JAPAN: TOKYO, YOKOHAMA",35.1,139.5,35,7.9,,142807,4,47000,4,600,4,,,,
1925,5,23,2,9,45,,,*,JAPAN: HONSHU: TAJIMA,35.75,134.75,,6.8,,395,3,,,,4,3333,4,,
1927,3,7,9,27,,Tsu,,*,JAPAN: HONSHU: SW,35.6,135.1,10,7.3,,3022,4,3295,4,40,4,15594,4,9821,4
1930,11,25,19,2,47,,,*,JAPAN: HONSHU: IDU,35,139,19,7.1,,259,3,1285,4,,4,8099,4,,
1931,11,2,10,2,,Tsu,,*,JAPAN: KYUSHU,32,131.5,60,7.5,,1,1,,,,,14,1,,
1933,3,2,17,31,0.9,Tsu,,*,JAPAN: SANRIKU,39.224,144.622,35,8.4,,,,,,,,,3,,
1938,5,28,16,42,,Tsu,,*,"E. HOKKAIDO ISLAND, JAPAN",43.6,144.3,,6.1,,,,,,,,,,,
1938,11,5,8,43,21,Tsu,,*,JAPAN: NEAR E COAST HONSHU,37.1,141.7,30,7.7,,1,1,,,,1,20,1,,
1939,3,20,3,22,,Tsu,,*,"SEIKAIDO, JAPAN",32.3,132,20,6.6,,,,,,,,,,,
1939,5,1,5,58,,Tsu,,*,JAPAN: HONSHU: NW,40.1,139.5,,7,,27,1,52,2,,2,479,3,,
1940,8,1,15,8,24,Tsu,,*,JAPAN: W. HOKKAIDO ISLAND,44.2,139.5,10,7.5,9,,,,,,1,,,,
1941,11,18,16,46,,Tsu,,*,JAPAN: SHIKOKU,32,132.1,10,7.4,,,,,,,1,,,,
1943,9,10,8,37,,,,*,JAPAN: HONSHU: S,35.3,133.9,10,7.4,,1400,4,,,,4,7739,4,,
1944,12,7,4,35,,Tsu,,*,JAPAN: OFF SOUTHEAST COAST KII PENINSULA,34,137.1,30,8.1,,1223,4,2135,4,,3,26146,4,,
1945,1,12,18,38,,Tsu,,*,JAPAN: HONSHU: S,34.7,137.2,,7.1,,2306,4,896,3,,4,7221,4,,
1946,12,20,19,19,5,Tsu,,*,JAPAN: HONSHU: S COAST,33,135.6,20,8.1,,1362,4,,,,4,14259,4,,
1948,6,28,7,13,,,,*,JAPAN: FUKUI,36.5,136,20,7.3,,5131,4,11000,4,1000,4,63000,4,18543,4
1952,3,4,1,22,41,Tsu,,*,JAPAN: HOKKAIDO,42.15,143.85,45,8.1,9,33,1,,3,,3,,3,,
1953,11,25,17,48,,Tsu,,*,JAPAN: KASHIMA,34,141.7,60,7.4,,1,1,,,,1,,,,
1961,2,26,18,10,48.7,Tsu,,*,JAPAN: MIYAZAKI,31.6,131.8,74,7.3,,2,1,7,1,,2,170,3,170,3
1962,4,30,2,26,30,,,*,JAPAN: HONSHU: SENDAI,38.8,140.9,104,6.8,,1,1,,3,,2,,,,
1964,6,16,4,1,44.3,Tsu,,*,JAPAN: HONSHU: W COAST,38.65,139.2,40,7.5,5,26,1,450,3,80,4,2250,4,2250,4
1965,4,19,23,41,58.8,Tsu,,*,"JAPAN: AICHI, SHIZOUKA PREFECTURES",34.9,138,36,6,,1,1,4,1,,1,,,,
1968,2,21,1,45,,,,*,JAPAN: KYUSHU,32,130.6,3,6.3,,3,1,,,,2,,,,
1968,4,1,0,42,4.2,Tsu,,*,"JAPAN: KYUSHU, SHIKOKU",32.3,132.5,30,7.5,7,1,1,22,1,,2,,2,,
