Source,Unnamed: 1,Year,Month,Day,Time,Latitude,Longitude,Depth,M,Tidal waves,Dead,Injured,Damage,Remark,Make map,INFOR at IISEE
,J d,1900,5,12,0223L,38.7,141.1,vs,7.0,,some,some,D3,North side of Miyagi Prefecture(17 causalities) 6.7S,,
,J c,1901,8,9,1823L,40.5,142.5,s,7.2,T,some,some,D3,East side of Aomori Prefecture offshore (18 casualites include the quake as on following date) 7.3S,,
,J d,1902,1,30,2301L,40.5,141.3,s,7.0,,1,2,D3,East side of Aomori Prefecture,,
,J j,1905,6,2,1439L,34.1,132.5,s,7.2,,11,177,D3,Aki nada[Geiyo earthquake] 7.0B,,
,J i,1909,8,14,1531L,35.4,136.3,vs,6.8,,41,784,D4,East side of Shiga Prefecture[Anegawa/Gonou earthquake] 6.7S,,
,J m,1909,8,29,1927L,26.0,128.0,s,6.2,,2,13,D3,around Okinawa Island,,
,J l,1909,11,10,1513L,32.3,131.1,150,7.6,,2,sev,D3,Miyazaki?Prefecture offshore?(quite deep-focused earthquake) 7.5B,,
,J m,1911,6,15,2326L,28.0,130.0,100,8.0,T,12,26,D3,around Amami-Oshima Island[Kikai-jima earthquake] 8.1B,,
,J l,1914,1,12,1828L,31.6,130.6,vs,7.1,T,35,112,D4,Middle part of Kagoshima Prefecture[Sakurajima Island earthquake](During Sakura-jima eruption) 6.8S,,
,J d,1914,3,15,0459L,39.5,140.4,vs,7.1,,94,324,D4,South side of Akita Prefecture [Senboku earthquake] 7.0S,,
,J a,1915,3,18,0345L,42.1,143.6,s,7.0,,2,0,D3,Tokachi offshore? 7.2B,,
,J i,1916,11,26,1408L,34.6,135.0,vs,6.1,,1,5,D3,South coast of Hyogo Prefecture,,
,J g,1917,5,18,0407L,35.0,138.1,vs,6.3,,2,6,D3,Middle part of Shizuoka Prefecture(Shida discovered Initial shock distribution by Four-blade-drive style ),,
,J e,1922,4,26,1011L,35.2,139.8,s,6.8,,2,23,D3,"West coast of Chiba Prefecture [Uraga-suido earthquake] 35.17,139.68,71km(Ishibashi)",,
,J l,1922,12,8,0150L,32.7,130.1,vs,6.9,,26,39,D4,Chijiwa bay [Shimabara earthquake/Chijiwa bay earthquake](1st time) 7.1S,,
,J l,1922,12,8,1102L,32.7,130.1,vs,6.5,,few,few,D3,Chijiwa bay Shimabara earthquake/Chijiwa bay earthquake](2nd time),,
,J e,1923,9,1,1158L,35.33,139.14,23,7.9,T,142807,103733,D7,South East side of Kanto area [Kanto earthquake] fire fault 8.2S 7.9W,,
,J e,1924,1,15,0550L,35.34,139.06,0,7.3,,19,638,D4,West side of Kanagawa Prefecture [Tabzawa earthquake] 7.3S 6.9W,,
,J i,1925,5,23,1109L,35.56,134.84,0,6.8,,428,834,D5,North side of Hyogo Prefecture[ (Kita) Tajima earthquake]firefaultD=465 H=1016 6.6S,,
,J i,1927,3,7,1827L,35.63,134.93,18,7.3,t,2925,7806,D6,North side of Kyoto Prefecture [ (Kita) Tango earthquake](fire)fault 7.6S 7.1W,,
,J g,1930,10,17,0636L,36.3,136.28,0,6.3,,1,0,D2,South side of Ishikawa Prefecture (Daishoji),,
,J e,1930,11,26,0402L,35.04,138.98,1,7.3,,272,572,D5,East side of Shizuoka Prefecture[North Izu earthquake] fault 7.0W 7.2S,,
,J e,1931,9,21,1119L,36.16,139.28,0,6.9,,16,146,D3,South side of Saitama Prefecture[Nishi Saitama earthquake] 6.7S,,
,J k,1931,11,2,1903L,32.25,132.63,40,7.1,T,1,29,D3,Miyazaki?Prefecture offshore? 7.6S,,
,J c,1933,3,3,0230L,39.23,144.52,10,8.1,T,3064,1092,D6,Iwate Prefecture offshore [Sanriku-oki earthquake] 8.5S 8.4W,,
,J g,1933,9,21,1214L,37.12,136.83,30,6.0,,3,57,D3,West side of Noto-hanto peninsula[Noto earthquake],,
,J g,1935,7,11,1724L,35.01,138.4,9,6.4,,9,299,D3,middle part of Shizuoka Prefecture[Shizuoka earthquake],,
,J i,1936,2,21,1007L,34.49,135.72,18,6.4,,9,59,D3,Northwest side of Nara Prefecture[Kawachi-Yamato earthquake],,
,J e,1936,12,27,0914L,34.42,139.03,0,6.3,,3,70,D3,East side of Niijima Island offshore,,
,J b,1938,5,29,0142L,43.55,144.45,0,6.1,t,1,0,D3,North side of Kushiro [Kussharo-ko lake earthquake],,
,J c,1938,11,5,1743L,37.33,142.18,30,7.5,T,1,9,D3,Fukushima Prefecture offshore[East side of Fukushima Prefecture/Shioyazaki earthquake] 7.7S 7.8W,,
,J k,1939,3,20,1222L,32.28,131.97,20,6.5,T,1,1,D2,Miyazaki?Prefecture offshore? 6.5S,,
