Code,Year,Time,Mag,Deaths,Collapse,EQCode,Lat,Lon,Dep,Type
Akinada,2001,day,6.8,2,,F010701,34.12,132.71,51,1
Chuetsu1,2004,transit,6.6,68,,F010335,37.226,138.779,16,1
Chuetsu2,2007,day,6.6,15,342,,37.535,138.446,12,1
Fukuoka,2005,day,6.6,1,,F010801,33.74,130.18,9,1
Hamadori,2011,transit,6.7,4,,G030039,36.95,140.67,6,2
Hokkaido,2003,night,8.3,1,141,,41.815,143.91,27,2
Iwate,2008,transit,6.9,23,,F001301,39.03,140.881,7.8,1
Kobe,1995,night,6.9,5062,104906,F007901,34.583,135.018,21.9,1
Kouzu,2000,day,6.1,1,,,34.19,139.2,16,1
Kumamoto,2016,night,7,41,90,F013001,32.791,130.754,10,1
Kushiro,1993,night,7.6,2,,,42.92,144.36,101,2
MiddleNagano,2011,transit,5,1,,F016222,36.19,137.95,4,1
Miyagi,2011,night,7.1,4,,,38.28,141.59,42,2
Nagano,2011,night,6.3,3,,F010202,36.99,138.6,8,2
Noto,2007,transit,6.7,1,649,G030179,37.336,136.588,8,1
Kanto,1923,day,7.9,11086,,AKNTO,35.413,139.298,23,2
