lon,lat,PGA (g),deg_lat,deg_lon,mnt_lat,mnt_lon,sec_lat,sec_lon,fcode
130.04,36.17,0.0112,36.0,130.0,10.0,2.0,12.0,24.0,5430
130.065,36.17,0.0114,36.0,130.0,10.0,3.0,12.0,54.0,5430
130.09,36.17,0.0115,36.0,130.0,10.0,5.0,12.0,24.0,5430
130.115,36.17,0.0117,36.0,130.0,10.0,6.0,12.0,54.0000000001,5430
130.14,36.17,0.0118,36.0,130.0,10.0,8.0,12.0,23.9999999999,5430
130.165,36.17,0.012,36.0,130.0,10.0,9.0,12.0,54.0,5430
130.19,36.17,0.0122,36.0,130.0,10.0,11.0,12.0,24.0,5430
130.215,36.17,0.0123,36.0,130.0,10.0,12.0,12.0,54.0,5430
130.24,36.17,0.0125,36.0,130.0,10.0,14.0,12.0,24.0000000001,5430
130.265,36.17,0.0127,36.0,130.0,10.0,15.0,12.0,53.9999999999,5430
130.29,36.17,0.0128,36.0,130.0,10.0,17.0,12.0,24.0,5430
130.315,36.17,0.013,36.0,130.0,10.0,18.0,12.0,54.0,5430
130.34,36.17,0.0132,36.0,130.0,10.0,20.0,12.0,24.0,5430
130.365,36.17,0.0134,36.0,130.0,10.0,21.0,12.0,54.0000000001,5430
130.39,36.17,0.0135,36.0,130.0,10.0,23.0,12.0,23.9999999999,5430
130.415,36.17,0.0137,36.0,130.0,10.0,24.0,12.0,54.0,5430
130.44,36.17,0.0139,36.0,130.0,10.0,26.0,12.0,24.0,5430
130.465,36.17,0.0141,36.0,130.0,10.0,27.0,12.0,54.0,5430
130.49,36.17,0.0143,36.0,130.0,10.0,29.0,12.0,24.0000000001,5430
130.515,36.17,0.0144,36.0,130.0,10.0,30.0,12.0,53.9999999999,5430
130.54,36.17,0.0146,36.0,130.0,10.0,32.0,12.0,24.0,5430
130.565,36.17,0.0148,36.0,130.0,10.0,33.0,12.0,54.0,5430
130.59,36.17,0.015,36.0,130.0,10.0,35.0,12.0,24.0,5430
130.615,36.17,0.0152,36.0,130.0,10.0,36.0,12.0,54.0000000001,5430
130.64,36.17,0.0154,36.0,130.0,10.0,38.0,12.0,23.9999999999,5430
130.665,36.17,0.0156,36.0,130.0,10.0,39.0,12.0,54.0,5430
130.69,36.17,0.0158,36.0,130.0,10.0,41.0,12.0,24.0,5430
130.715,36.17,0.016,36.0,130.0,10.0,42.0,12.0,54.0,5430
130.74,36.17,0.0162,36.0,130.0,10.0,44.0,12.0,24.0000000001,5430
130.765,36.17,0.0164,36.0,130.0,10.0,45.0,12.0,53.9999999999,5430
130.79,36.17,0.0165,36.0,130.0,10.0,47.0,12.0,24.0,5430
130.815,36.17,0.0167,36.0,130.0,10.0,48.0,12.0,54.0,5430
130.84,36.17,0.0169,36.0,130.0,10.0,50.0,12.0,24.0,5430
130.865,36.17,0.0171,36.0,130.0,10.0,51.0,12.0,54.0000000001,5430
130.89,36.17,0.0173,36.0,130.0,10.0,53.0,12.0,23.9999999999,5430
130.915,36.17,0.0175,36.0,130.0,10.0,54.0,12.0,54.0,5430
130.94,36.17,0.0177,36.0,130.0,10.0,56.0,12.0,24.0,5430
130.965,36.17,0.0179,36.0,130.0,10.0,57.0,12.0,54.0,5430
130.99,36.17,0.0181,36.0,130.0,10.0,59.0,12.0,24.0000000001,5430
131.015,36.17,0.0184,36.0,131.0,10.0,0.0,12.0,53.9999999999,5431
131.04,36.17,0.0186,36.0,131.0,10.0,2.0,12.0,24.0,5431
131.065,36.17,0.0188,36.0,131.0,10.0,3.0,12.0,54.0,5431
131.09,36.17,0.019,36.0,131.0,10.0,5.0,12.0,24.0,5431
131.115,36.17,0.0192,36.0,131.0,10.0,6.0,12.0,54.0000000001,5431
131.14,36.17,0.0194,36.0,131.0,10.0,8.0,12.0,23.9999999999,5431
131.165,36.17,0.0196,36.0,131.0,10.0,9.0,12.0,54.0,5431
131.19,36.17,0.0198,36.0,131.0,10.0,11.0,12.0,24.0,5431
131.215,36.17,0.02,36.0,131.0,10.0,12.0,12.0,54.0,5431
131.24,36.17,0.0202,36.0,131.0,10.0,14.0,12.0,24.0000000001,5431
131.265,36.17,0.0204,36.0,131.0,10.0,15.0,12.0,53.9999999999,5431
131.29,36.17,0.0206,36.0,131.0,10.0,17.0,12.0,24.0,5431
131.315,36.17,0.0208,36.0,131.0,10.0,18.0,12.0,54.0,5431
131.34,36.17,0.021,36.0,131.0,10.0,20.0,12.0,24.0,5431
131.365,36.17,0.0212,36.0,131.0,10.0,21.0,12.0,54.0000000001,5431
131.39,36.17,0.0214,36.0,131.0,10.0,23.0,12.0,23.9999999999,5431
131.415,36.17,0.0216,36.0,131.0,10.0,24.0,12.0,54.0,5431
131.44,36.17,0.0218,36.0,131.0,10.0,26.0,12.0,24.0,5431
131.465,36.17,0.022,36.0,131.0,10.0,27.0,12.0,54.0,5431
131.49,36.17,0.0222,36.0,131.0,10.0,29.0,12.0,24.0000000001,5431
131.515,36.17,0.0224,36.0,131.0,10.0,30.0,12.0,53.9999999999,5431
131.54,36.17,0.0226,36.0,131.0,10.0,32.0,12.0,24.0,5431
131.565,36.17,0.0229,36.0,131.0,10.0,33.0,12.0,54.0,5431
131.59,36.17,0.0231,36.0,131.0,10.0,35.0,12.0,24.0,5431
131.615,36.17,0.0233,36.0,131.0,10.0,36.0,12.0,54.0000000001,5431
131.64,36.17,0.0235,36.0,131.0,10.0,38.0,12.0,23.9999999999,5431
131.665,36.17,0.0237,36.0,131.0,10.0,39.0,12.0,54.0,5431
131.69,36.17,0.0239,36.0,131.0,10.0,41.0,12.0,24.0,5431
