lon,lat,PGA (g),deg_lat,deg_lon,mnt_lat,mnt_lon,sec_lat,sec_lon,fcode
138.2433,38.0364,0.1029,38.0,138.0,2.0,14.0,11.04,35.88,5738
138.4017,38.0364,0.1004,38.0,138.0,2.0,24.0,11.04,6.12,5738
138.235,38.0281,0.101,38.0,138.0,1.0,14.0,41.16,6.00000000006,5738
138.2433,38.0281,0.1064,38.0,138.0,1.0,14.0,41.16,35.88,5738
138.2517,38.0281,0.1033,38.0,138.0,1.0,15.0,41.16,6.12,5738
138.285,38.0281,0.1036,38.0,138.0,1.0,17.0,41.16,6.0,5738
138.2933,38.0281,0.1046,38.0,138.0,1.0,17.0,41.16,35.8799999999,5738
138.31,38.0281,0.1023,38.0,138.0,1.0,18.0,41.16,36.0,5738
138.3183,38.0281,0.1004,38.0,138.0,1.0,19.0,41.16,5.88,5738
138.385,38.0281,0.1001,38.0,138.0,1.0,23.0,41.16,5.99999999994,5738
138.3933,38.0281,0.104,38.0,138.0,1.0,23.0,41.16,35.8800000001,5738
138.4017,38.0281,0.1085,38.0,138.0,1.0,24.0,41.16,6.12,5738
138.41,38.0281,0.1065,38.0,138.0,1.0,24.0,41.16,36.0,5738
138.2267,38.0198,0.1033,38.0,138.0,1.0,13.0,11.28,36.12,5738
138.235,38.0198,0.1082,38.0,138.0,1.0,14.0,11.28,6.00000000006,5738
138.2433,38.0198,0.1086,38.0,138.0,1.0,14.0,11.28,35.88,5738
138.2517,38.0198,0.1082,38.0,138.0,1.0,15.0,11.28,6.12,5738
138.26,38.0198,0.1035,38.0,138.0,1.0,15.0,11.28,35.9999999999,5738
138.2767,38.0198,0.1082,38.0,138.0,1.0,16.0,11.28,36.12,5738
138.285,38.0198,0.1133,38.0,138.0,1.0,17.0,11.28,6.0,5738
138.2933,38.0198,0.1158,38.0,138.0,1.0,17.0,11.28,35.8799999999,5738
138.3017,38.0198,0.1082,38.0,138.0,1.0,18.0,11.28,6.12000000005,5738
138.31,38.0198,0.1128,38.0,138.0,1.0,18.0,11.28,36.0,5738
138.3183,38.0198,0.1138,38.0,138.0,1.0,19.0,11.28,5.88,5738
138.3267,38.0198,0.1055,38.0,138.0,1.0,19.0,11.28,36.1199999999,5738
138.335,38.0198,0.1035,38.0,138.0,1.0,20.0,11.28,6.0,5738
138.3433,38.0198,0.1024,38.0,138.0,1.0,20.0,11.28,35.88,5738
138.36,38.0198,0.1005,38.0,138.0,1.0,21.0,11.28,36.0000000001,5738
138.3683,38.0198,0.1043,38.0,138.0,1.0,22.0,11.28,5.88,5738
138.3767,38.0198,0.108,38.0,138.0,1.0,22.0,11.28,36.12,5738
138.385,38.0198,0.1179,38.0,138.0,1.0,23.0,11.28,5.99999999994,5738
138.3933,38.0198,0.1174,38.0,138.0,1.0,23.0,11.28,35.8800000001,5738
138.4017,38.0198,0.1114,38.0,138.0,1.0,24.0,11.28,6.12,5738
138.41,38.0198,0.1109,38.0,138.0,1.0,24.0,11.28,36.0,5738
138.4183,38.0198,0.1059,38.0,138.0,1.0,25.0,11.28,5.87999999995,5738
138.2267,38.0115,0.1087,38.0,138.0,0.0,13.0,41.4,36.12,5738
138.235,38.0115,0.1103,38.0,138.0,0.0,14.0,41.4,6.00000000006,5738
138.2433,38.0115,0.1105,38.0,138.0,0.0,14.0,41.4,35.88,5738
138.2517,38.0115,0.1118,38.0,138.0,0.0,15.0,41.4,6.12,5738
138.26,38.0115,0.1118,38.0,138.0,0.0,15.0,41.4,35.9999999999,5738
138.2683,38.0115,0.1102,38.0,138.0,0.0,16.0,41.4,5.88000000006,5738
138.2767,38.0115,0.1194,38.0,138.0,0.0,16.0,41.4,36.12,5738
138.285,38.0115,0.1208,38.0,138.0,0.0,17.0,41.4,6.0,5738
138.2933,38.0115,0.121,38.0,138.0,0.0,17.0,41.4,35.8799999999,5738
138.3017,38.0115,0.1168,38.0,138.0,0.0,18.0,41.4,6.12000000005,5738
138.31,38.0115,0.1174,38.0,138.0,0.0,18.0,41.4,36.0,5738
138.3183,38.0115,0.1221,38.0,138.0,0.0,19.0,41.4,5.88,5738
138.3267,38.0115,0.1222,38.0,138.0,0.0,19.0,41.4,36.1199999999,5738
138.335,38.0115,0.1138,38.0,138.0,0.0,20.0,41.4,6.0,5738
138.3433,38.0115,0.1131,38.0,138.0,0.0,20.0,41.4,35.88,5738
138.3517,38.0115,0.1187,38.0,138.0,0.0,21.0,41.4,6.12,5738
138.36,38.0115,0.1192,38.0,138.0,0.0,21.0,41.4,36.0000000001,5738
138.3683,38.0115,0.1224,38.0,138.0,0.0,22.0,41.4,5.88,5738
138.3767,38.0115,0.1244,38.0,138.0,0.0,22.0,41.4,36.12,5738
138.385,38.0115,0.1281,38.0,138.0,0.0,23.0,41.4,5.99999999994,5738
138.3933,38.0115,0.1185,38.0,138.0,0.0,23.0,41.4,35.8800000001,5738
138.4017,38.0115,0.114,38.0,138.0,0.0,24.0,41.4,6.12,5738
138.41,38.0115,0.1147,38.0,138.0,0.0,24.0,41.4,36.0,5738
138.4183,38.0115,0.113,38.0,138.0,0.0,25.0,41.4,5.87999999995,5738
138.4267,38.0115,0.109,38.0,138.0,0.0,25.0,41.4,36.1200000001,5738
138.435,38.0115,0.1079,38.0,138.0,0.0,26.0,41.4,6.0,5738
138.2267,38.0031,0.1039,38.0,138.0,0.0,13.0,11.16,36.12,5738
138.235,38.0031,0.1117,38.0,138.0,0.0,14.0,11.16,6.00000000006,5738
138.2433,38.0031,0.111,38.0,138.0,0.0,14.0,11.16,35.88,5738
138.2517,38.0031,0.1129,38.0,138.0,0.0,15.0,11.16,6.12,5738
138.26,38.0031,0.1149,38.0,138.0,0.0,15.0,11.16,35.9999999999,5738
138.2683,38.0031,0.1199,38.0,138.0,0.0,16.0,11.16,5.88000000006,5738
138.2767,38.0031,0.1249,38.0,138.0,0.0,16.0,11.16,36.12,5738
138.285,38.0031,0.1416,38.0,138.0,0.0,17.0,11.16,6.0,5738
138.2933,38.0031,0.1415,38.0,138.0,0.0,17.0,11.16,35.8799999999,5738
138.3017,38.0031,0.1401,38.0,138.0,0.0,18.0,11.16,6.12000000005,5738
138.31,38.0031,0.1415,38.0,138.0,0.0,18.0,11.16,36.0,5738
138.3183,38.0031,0.1465,38.0,138.0,0.0,19.0,11.16,5.88,5738
138.3267,38.0031,0.1517,38.0,138.0,0.0,19.0,11.16,36.1199999999,5738
138.335,38.0031,0.1409,38.0,138.0,0.0,20.0,11.16,6.0,5738
138.3433,38.0031,0.1379,38.0,138.0,0.0,20.0,11.16,35.88,5738
138.3517,38.0031,0.1423,38.0,138.0,0.0,21.0,11.16,6.12,5738
138.36,38.0031,0.1412,38.0,138.0,0.0,21.0,11.16,36.0000000001,5738
138.3683,38.0031,0.1362,38.0,138.0,0.0,22.0,11.16,5.88,5738
138.3767,38.0031,0.134,38.0,138.0,0.0,22.0,11.16,36.12,5738
138.385,38.0031,0.1305,38.0,138.0,0.0,23.0,11.16,5.99999999994,5738
138.3933,38.0031,0.1193,38.0,138.0,0.0,23.0,11.16,35.8800000001,5738
138.4017,38.0031,0.1184,38.0,138.0,0.0,24.0,11.16,6.12,5738
138.41,38.0031,0.1172,38.0,138.0,0.0,24.0,11.16,36.0,5738
138.4183,38.0031,0.1093,38.0,138.0,0.0,25.0,11.16,5.87999999995,5738
138.4267,38.0031,0.1093,38.0,138.0,0.0,25.0,11.16,36.1200000001,5738
138.435,38.0031,0.1077,38.0,138.0,0.0,26.0,11.16,6.0,5738
138.5433,38.0031,0.1016,38.0,138.0,0.0,32.0,11.16,35.8799999999,5738
138.5517,38.0031,0.1054,38.0,138.0,0.0,33.0,11.16,6.12000000005,5738
138.56,38.0031,0.1068,38.0,138.0,0.0,33.0,11.16,36.0,5738
138.5683,38.0031,0.1073,38.0,138.0,0.0,34.0,11.16,5.88,5738
138.5767,38.0031,0.1066,38.0,138.0,0.0,34.0,11.16,36.1199999999,5738
138.585,38.0031,0.104,38.0,138.0,0.0,35.0,11.16,6.0,5738
138.2267,37.9948,0.102,37.0,138.0,59.0,13.0,41.28,36.12,5638
138.235,37.9948,0.1125,37.0,138.0,59.0,14.0,41.28,6.00000000006,5638
138.2433,37.9948,0.1111,37.0,138.0,59.0,14.0,41.28,35.88,5638
138.2517,37.9948,0.1068,37.0,138.0,59.0,15.0,41.28,6.12,5638
