lon,lat,PGA (g),deg_lat,deg_lon,mnt_lat,mnt_lon,sec_lat,sec_lon,fcode
137.17,35.874,0.0007,35.0,137.0,52.0,10.0,26.4,11.9999999999,5337
137.195,35.874,0.0007,35.0,137.0,52.0,11.0,26.4,42.0,5337
137.22,35.874,0.0008,35.0,137.0,52.0,13.0,26.4,12.0,5337
137.245,35.874,0.0007,35.0,137.0,52.0,14.0,26.4,42.0,5337
137.27,35.874,0.0007,35.0,137.0,52.0,16.0,26.4,12.0000000001,5337
137.295,35.874,0.0007,35.0,137.0,52.0,17.0,26.4,41.9999999999,5337
137.32,35.874,0.0007,35.0,137.0,52.0,19.0,26.4,12.0,5337
137.345,35.874,0.0008,35.0,137.0,52.0,20.0,26.4,42.0,5337
137.37,35.874,0.0008,35.0,137.0,52.0,22.0,26.4,12.0,5337
137.395,35.874,0.0008,35.0,137.0,52.0,23.0,26.4,42.0000000001,5337
137.42,35.874,0.0009,35.0,137.0,52.0,25.0,26.4,11.9999999999,5337
137.445,35.874,0.0009,35.0,137.0,52.0,26.0,26.4,42.0,5337
137.47,35.874,0.0009,35.0,137.0,52.0,28.0,26.4,12.0,5337
137.495,35.874,0.001,35.0,137.0,52.0,29.0,26.4,42.0,5337
137.52,35.874,0.001,35.0,137.0,52.0,31.0,26.4,12.0000000001,5337
137.545,35.874,0.001,35.0,137.0,52.0,32.0,26.4,41.9999999999,5337
137.57,35.874,0.001,35.0,137.0,52.0,34.0,26.4,12.0,5337
137.595,35.874,0.0009,35.0,137.0,52.0,35.0,26.4,42.0,5337
137.62,35.874,0.0009,35.0,137.0,52.0,37.0,26.4,12.0,5337
137.645,35.874,0.0009,35.0,137.0,52.0,38.0,26.4,42.0000000001,5337
137.67,35.874,0.0011,35.0,137.0,52.0,40.0,26.4,11.9999999999,5337
137.695,35.874,0.0013,35.0,137.0,52.0,41.0,26.4,42.0,5337
137.72,35.874,0.0014,35.0,137.0,52.0,43.0,26.4,12.0,5337
137.745,35.874,0.0016,35.0,137.0,52.0,44.0,26.4,42.0,5337
137.77,35.874,0.0015,35.0,137.0,52.0,46.0,26.4,12.0000000001,5337
137.795,35.874,0.0015,35.0,137.0,52.0,47.0,26.4,41.9999999999,5337
137.82,35.874,0.0015,35.0,137.0,52.0,49.0,26.4,12.0,5337
137.845,35.874,0.0013,35.0,137.0,52.0,50.0,26.4,42.0,5337
137.87,35.874,0.0011,35.0,137.0,52.0,52.0,26.4,12.0,5337
137.895,35.874,0.001,35.0,137.0,52.0,53.0,26.4,42.0000000001,5337
137.92,35.874,0.0013,35.0,137.0,52.0,55.0,26.4,11.9999999999,5337
137.945,35.874,0.0014,35.0,137.0,52.0,56.0,26.4,42.0,5337
137.97,35.874,0.0014,35.0,137.0,52.0,58.0,26.4,12.0,5337
137.995,35.874,0.0013,35.0,137.0,52.0,59.0,26.4,42.0,5337
138.02,35.874,0.0011,35.0,138.0,52.0,1.0,26.4,12.0000000001,5338
138.045,35.874,0.0011,35.0,138.0,52.0,2.0,26.4,41.9999999999,5338
138.07,35.874,0.0011,35.0,138.0,52.0,4.0,26.4,12.0,5338
138.095,35.874,0.0011,35.0,138.0,52.0,5.0,26.4,42.0,5338
138.12,35.874,0.0011,35.0,138.0,52.0,7.0,26.4,12.0,5338
138.145,35.874,0.0012,35.0,138.0,52.0,8.0,26.4,42.0000000001,5338
138.17,35.874,0.0013,35.0,138.0,52.0,10.0,26.4,11.9999999999,5338
138.195,35.874,0.0016,35.0,138.0,52.0,11.0,26.4,42.0,5338
138.22,35.874,0.0017,35.0,138.0,52.0,13.0,26.4,12.0,5338
138.245,35.874,0.0018,35.0,138.0,52.0,14.0,26.4,42.0,5338
138.27,35.874,0.0023,35.0,138.0,52.0,16.0,26.4,12.0000000001,5338
138.295,35.874,0.0024,35.0,138.0,52.0,17.0,26.4,41.9999999999,5338
138.32,35.874,0.0025,35.0,138.0,52.0,19.0,26.4,12.0,5338
138.345,35.874,0.0025,35.0,138.0,52.0,20.0,26.4,42.0,5338
138.37,35.874,0.0025,35.0,138.0,52.0,22.0,26.4,12.0,5338
138.395,35.874,0.0025,35.0,138.0,52.0,23.0,26.4,42.0000000001,5338
138.42,35.874,0.0023,35.0,138.0,52.0,25.0,26.4,11.9999999999,5338
138.445,35.874,0.0019,35.0,138.0,52.0,26.0,26.4,42.0,5338
138.47,35.874,0.0016,35.0,138.0,52.0,28.0,26.4,12.0,5338
138.495,35.874,0.0014,35.0,138.0,52.0,29.0,26.4,42.0,5338
138.52,35.874,0.0014,35.0,138.0,52.0,31.0,26.4,12.0000000001,5338
138.545,35.874,0.0014,35.0,138.0,52.0,32.0,26.4,41.9999999999,5338
138.57,35.874,0.0015,35.0,138.0,52.0,34.0,26.4,12.0,5338
138.595,35.874,0.0015,35.0,138.0,52.0,35.0,26.4,42.0,5338
138.62,35.874,0.0015,35.0,138.0,52.0,37.0,26.4,12.0,5338
138.645,35.874,0.0015,35.0,138.0,52.0,38.0,26.4,42.0000000001,5338
138.67,35.874,0.0015,35.0,138.0,52.0,40.0,26.4,11.9999999999,5338
138.695,35.874,0.0015,35.0,138.0,52.0,41.0,26.4,42.0,5338
138.72,35.874,0.0015,35.0,138.0,52.0,43.0,26.4,12.0,5338
138.745,35.874,0.0015,35.0,138.0,52.0,44.0,26.4,42.0,5338
138.77,35.874,0.0015,35.0,138.0,52.0,46.0,26.4,12.0000000001,5338
138.795,35.874,0.0015,35.0,138.0,52.0,47.0,26.4,41.9999999999,5338
138.82,35.874,0.0015,35.0,138.0,52.0,49.0,26.4,12.0,5338
138.845,35.874,0.0015,35.0,138.0,52.0,50.0,26.4,42.0,5338
138.87,35.874,0.0015,35.0,138.0,52.0,52.0,26.4,12.0,5338
138.895,35.874,0.0015,35.0,138.0,52.0,53.0,26.4,42.0000000001,5338
138.92,35.874,0.0015,35.0,138.0,52.0,55.0,26.4,11.9999999999,5338
138.945,35.874,0.0015,35.0,138.0,52.0,56.0,26.4,42.0,5338
138.97,35.874,0.0015,35.0,138.0,52.0,58.0,26.4,12.0,5338
138.995,35.874,0.0015,35.0,138.0,52.0,59.0,26.4,42.0,5338
139.02,35.874,0.0015,35.0,139.0,52.0,1.0,26.4,12.0000000001,5339
139.045,35.874,0.0015,35.0,139.0,52.0,2.0,26.4,41.9999999999,5339
139.07,35.874,0.0015,35.0,139.0,52.0,4.0,26.4,12.0,5339
139.095,35.874,0.0015,35.0,139.0,52.0,5.0,26.4,42.0,5339
139.12,35.874,0.0015,35.0,139.0,52.0,7.0,26.4,12.0,5339
139.145,35.874,0.0015,35.0,139.0,52.0,8.0,26.4,42.0000000001,5339
139.17,35.874,0.0019,35.0,139.0,52.0,10.0,26.4,11.9999999999,5339
139.195,35.874,0.003,35.0,139.0,52.0,11.0,26.4,42.0,5339
139.22,35.874,0.0039,35.0,139.0,52.0,13.0,26.4,12.0,5339
