lon,lat,PGA (g),deg_lat,deg_lon,mnt_lat,mnt_lon,sec_lat,sec_lon,fcode
141.154,45.224,0.0262,45.0,141.0,13.0,9.0,26.4,14.4,6741
141.179,45.224,0.0264,45.0,141.0,13.0,10.0,26.4,44.4,6741
141.204,45.224,0.0264,45.0,141.0,13.0,12.0,26.4,14.4,6741
141.229,45.224,0.0255,45.0,141.0,13.0,13.0,26.4,44.4,6741
141.254,45.224,0.0269,45.0,141.0,13.0,15.0,26.4,14.4,6741
141.279,45.224,0.0252,45.0,141.0,13.0,16.0,26.4,44.4,6741
141.304,45.224,0.0222,45.0,141.0,13.0,18.0,26.4,14.4,6741
141.329,45.224,0.0225,45.0,141.0,13.0,19.0,26.4,44.4,6741
141.354,45.224,0.0228,45.0,141.0,13.0,21.0,26.4,14.4,6741
141.379,45.224,0.0231,45.0,141.0,13.0,22.0,26.4,44.4,6741
141.404,45.224,0.0234,45.0,141.0,13.0,24.0,26.4,14.4,6741
141.429,45.224,0.0237,45.0,141.0,13.0,25.0,26.4,44.4,6741
141.454,45.224,0.024,45.0,141.0,13.0,27.0,26.4,14.4,6741
141.479,45.224,0.0243,45.0,141.0,13.0,28.0,26.4,44.4,6741
141.504,45.224,0.0246,45.0,141.0,13.0,30.0,26.4,14.4,6741
141.529,45.224,0.025,45.0,141.0,13.0,31.0,26.4,44.4,6741
141.554,45.224,0.0253,45.0,141.0,13.0,33.0,26.4,14.4,6741
141.579,45.224,0.0327,45.0,141.0,13.0,34.0,26.4,44.4,6741
141.604,45.224,0.031,45.0,141.0,13.0,36.0,26.4,14.4,6741
141.629,45.224,0.0307,45.0,141.0,13.0,37.0,26.4,44.4,6741
141.654,45.224,0.031,45.0,141.0,13.0,39.0,26.4,14.4,6741
141.679,45.224,0.0358,45.0,141.0,13.0,40.0,26.4,44.4,6741
141.704,45.224,0.0329,45.0,141.0,13.0,42.0,26.4,14.4,6741
141.729,45.224,0.0431,45.0,141.0,13.0,43.0,26.4,44.4,6741
141.754,45.224,0.0359,45.0,141.0,13.0,45.0,26.4,14.4,6741
141.779,45.224,0.0326,45.0,141.0,13.0,46.0,26.4,44.4,6741
141.804,45.224,0.0326,45.0,141.0,13.0,48.0,26.4,14.4,6741
141.829,45.224,0.0327,45.0,141.0,13.0,49.0,26.4,44.4,6741
141.854,45.224,0.0332,45.0,141.0,13.0,51.0,26.4,14.4,6741
141.879,45.224,0.0354,45.0,141.0,13.0,52.0,26.4,44.4,6741
141.904,45.224,0.033,45.0,141.0,13.0,54.0,26.4,14.4,6741
141.929,45.224,0.0355,45.0,141.0,13.0,55.0,26.4,44.4,6741
141.954,45.224,0.0352,45.0,141.0,13.0,57.0,26.4,14.4,6741
141.979,45.224,0.0357,45.0,141.0,13.0,58.0,26.4,44.4,6741
142.004,45.224,0.0345,45.0,142.0,13.0,0.0,26.4,14.4,6742
142.029,45.224,0.0354,45.0,142.0,13.0,1.0,26.4,44.4,6742
142.054,45.224,0.0368,45.0,142.0,13.0,3.0,26.4,14.4,6742
142.079,45.224,0.0373,45.0,142.0,13.0,4.0,26.4,44.4,6742
142.104,45.224,0.043,45.0,142.0,13.0,6.0,26.4,14.4,6742
142.129,45.224,0.0399,45.0,142.0,13.0,7.0,26.4,44.4,6742
142.154,45.224,0.0423,45.0,142.0,13.0,9.0,26.4,14.4,6742
142.179,45.224,0.0418,45.0,142.0,13.0,10.0,26.4,44.4,6742
142.204,45.224,0.0428,45.0,142.0,13.0,12.0,26.4,14.4,6742
142.229,45.224,0.0563,45.0,142.0,13.0,13.0,26.4,44.4,6742
142.254,45.224,0.0574,45.0,142.0,13.0,15.0,26.4,14.4,6742
