lon,lat,PGA (g),deg_lat,deg_lon,mnt_lat,mnt_lon,sec_lat,sec_lon,fcode
136.179,37.47,0.0003,37.0,136.0,28.0,10.0,12.0,44.4,5636
136.204,37.47,0.0003,37.0,136.0,28.0,12.0,12.0,14.4,5636
136.229,37.47,0.0004,37.0,136.0,28.0,13.0,12.0,44.4,5636
136.254,37.47,0.0004,37.0,136.0,28.0,15.0,12.0,14.4,5636
136.279,37.47,0.0004,37.0,136.0,28.0,16.0,12.0,44.4,5636
136.304,37.47,0.0004,37.0,136.0,28.0,18.0,12.0,14.4,5636
136.329,37.47,0.0004,37.0,136.0,28.0,19.0,12.0,44.4,5636
136.354,37.47,0.0004,37.0,136.0,28.0,21.0,12.0,14.4,5636
136.379,37.47,0.0004,37.0,136.0,28.0,22.0,12.0,44.4,5636
136.404,37.47,0.0004,37.0,136.0,28.0,24.0,12.0,14.4,5636
136.429,37.47,0.0004,37.0,136.0,28.0,25.0,12.0,44.4,5636
136.454,37.47,0.0004,37.0,136.0,28.0,27.0,12.0,14.4,5636
136.479,37.47,0.0004,37.0,136.0,28.0,28.0,12.0,44.4,5636
136.504,37.47,0.0004,37.0,136.0,28.0,30.0,12.0,14.4,5636
136.529,37.47,0.0005,37.0,136.0,28.0,31.0,12.0,44.4,5636
136.554,37.47,0.0005,37.0,136.0,28.0,33.0,12.0,14.4,5636
136.579,37.47,0.0005,37.0,136.0,28.0,34.0,12.0,44.4,5636
136.604,37.47,0.0005,37.0,136.0,28.0,36.0,12.0,14.4,5636
136.629,37.47,0.0005,37.0,136.0,28.0,37.0,12.0,44.4,5636
136.654,37.47,0.0005,37.0,136.0,28.0,39.0,12.0,14.4,5636
136.679,37.47,0.0005,37.0,136.0,28.0,40.0,12.0,44.4,5636
136.704,37.47,0.0005,37.0,136.0,28.0,42.0,12.0,14.4,5636
136.729,37.47,0.0005,37.0,136.0,28.0,43.0,12.0,44.4,5636
136.754,37.47,0.0005,37.0,136.0,28.0,45.0,12.0,14.4,5636
136.779,37.47,0.0006,37.0,136.0,28.0,46.0,12.0,44.4,5636
136.804,37.47,0.0006,37.0,136.0,28.0,48.0,12.0,14.4,5636
136.829,37.47,0.0006,37.0,136.0,28.0,49.0,12.0,44.4,5636
136.854,37.47,0.0006,37.0,136.0,28.0,51.0,12.0,14.4,5636
136.879,37.47,0.0006,37.0,136.0,28.0,52.0,12.0,44.4,5636
136.904,37.47,0.0006,37.0,136.0,28.0,54.0,12.0,14.4,5636
136.929,37.47,0.0006,37.0,136.0,28.0,55.0,12.0,44.4,5636
136.954,37.47,0.0006,37.0,136.0,28.0,57.0,12.0,14.4,5636
136.979,37.47,0.0006,37.0,136.0,28.0,58.0,12.0,44.4,5636
137.004,37.47,0.0006,37.0,137.0,28.0,0.0,12.0,14.4,5637
137.029,37.47,0.0006,37.0,137.0,28.0,1.0,12.0,44.4,5637
137.054,37.47,0.0007,37.0,137.0,28.0,3.0,12.0,14.4,5637
137.079,37.47,0.0007,37.0,137.0,28.0,4.0,12.0,44.4,5637
137.104,37.47,0.0006,37.0,137.0,28.0,6.0,12.0,14.4,5637
137.129,37.47,0.0007,37.0,137.0,28.0,7.0,12.0,44.4,5637
137.154,37.47,0.0007,37.0,137.0,28.0,9.0,12.0,14.4,5637
137.179,37.47,0.0007,37.0,137.0,28.0,10.0,12.0,44.4,5637
137.204,37.47,0.0007,37.0,137.0,28.0,12.0,12.0,14.4,5637
137.229,37.47,0.0007,37.0,137.0,28.0,13.0,12.0,44.4,5637
137.254,37.47,0.0008,37.0,137.0,28.0,15.0,12.0,14.4,5637
137.279,37.47,0.0008,37.0,137.0,28.0,16.0,12.0,44.4,5637
137.304,37.47,0.0008,37.0,137.0,28.0,18.0,12.0,14.4,5637
137.329,37.47,0.0008,37.0,137.0,28.0,19.0,12.0,44.4,5637
137.354,37.47,0.0008,37.0,137.0,28.0,21.0,12.0,14.4,5637
137.379,37.47,0.0007,37.0,137.0,28.0,22.0,12.0,44.4,5637
137.404,37.47,0.0007,37.0,137.0,28.0,24.0,12.0,14.4,5637
137.429,37.47,0.0008,37.0,137.0,28.0,25.0,12.0,44.4,5637
137.454,37.47,0.0008,37.0,137.0,28.0,27.0,12.0,14.4,5637
137.479,37.47,0.0008,37.0,137.0,28.0,28.0,12.0,44.4,5637
137.504,37.47,0.0008,37.0,137.0,28.0,30.0,12.0,14.4,5637
137.529,37.47,0.0008,37.0,137.0,28.0,31.0,12.0,44.4,5637
137.554,37.47,0.0008,37.0,137.0,28.0,33.0,12.0,14.4,5637
137.579,37.47,0.0008,37.0,137.0,28.0,34.0,12.0,44.4,5637
137.604,37.47,0.0008,37.0,137.0,28.0,36.0,12.0,14.4,5637
137.629,37.47,0.0008,37.0,137.0,28.0,37.0,12.0,44.4,5637
137.654,37.47,0.0008,37.0,137.0,28.0,39.0,12.0,14.4,5637
137.679,37.47,0.0008,37.0,137.0,28.0,40.0,12.0,44.4,5637
137.704,37.47,0.0008,37.0,137.0,28.0,42.0,12.0,14.4,5637
137.729,37.47,0.0008,37.0,137.0,28.0,43.0,12.0,44.4,5637
137.754,37.47,0.0008,37.0,137.0,28.0,45.0,12.0,14.4,5637
137.779,37.47,0.0008,37.0,137.0,28.0,46.0,12.0,44.4,5637
137.804,37.47,0.0008,37.0,137.0,28.0,48.0,12.0,14.4,5637
137.829,37.47,0.0008,37.0,137.0,28.0,49.0,12.0,44.4,5637
137.854,37.47,0.0008,37.0,137.0,28.0,51.0,12.0,14.4,5637
137.879,37.47,0.0008,37.0,137.0,28.0,52.0,12.0,44.4,5637
137.904,37.47,0.0008,37.0,137.0,28.0,54.0,12.0,14.4,5637
137.929,37.47,0.0008,37.0,137.0,28.0,55.0,12.0,44.4,5637
137.954,37.47,0.0008,37.0,137.0,28.0,57.0,12.0,14.4,5637
137.979,37.47,0.0007,37.0,137.0,28.0,58.0,12.0,44.4,5637
138.004,37.47,0.0007,37.0,138.0,28.0,0.0,12.0,14.4,5638
138.029,37.47,0.0007,37.0,138.0,28.0,1.0,12.0,44.4,5638
138.054,37.47,0.0007,37.0,138.0,28.0,3.0,12.0,14.4,5638
138.079,37.47,0.0007,37.0,138.0,28.0,4.0,12.0,44.4,5638
138.104,37.47,0.0007,37.0,138.0,28.0,6.0,12.0,14.4,5638
138.129,37.47,0.0007,37.0,138.0,28.0,7.0,12.0,44.4,5638
138.154,37.47,0.0007,37.0,138.0,28.0,9.0,12.0,14.4,5638
138.179,37.47,0.0007,37.0,138.0,28.0,10.0,12.0,44.4,5638
138.204,37.47,0.0007,37.0,138.0,28.0,12.0,12.0,14.4,5638
138.229,37.47,0.0007,37.0,138.0,28.0,13.0,12.0,44.4,5638
138.254,37.47,0.0007,37.0,138.0,28.0,15.0,12.0,14.4,5638
138.279,37.47,0.0007,37.0,138.0,28.0,16.0,12.0,44.4,5638
138.304,37.47,0.0007,37.0,138.0,28.0,18.0,12.0,14.4,5638
138.329,37.47,0.0006,37.0,138.0,28.0,19.0,12.0,44.4,5638
138.354,37.47,0.0006,37.0,138.0,28.0,21.0,12.0,14.4,5638
138.379,37.47,0.0006,37.0,138.0,28.0,22.0,12.0,44.4,5638
138.404,37.47,0.0006,37.0,138.0,28.0,24.0,12.0,14.4,5638
138.429,37.47,0.0006,37.0,138.0,28.0,25.0,12.0,44.4,5638
138.454,37.47,0.0006,37.0,138.0,28.0,27.0,12.0,14.4,5638
138.479,37.47,0.0006,37.0,138.0,28.0,28.0,12.0,44.4,5638
138.504,37.47,0.0006,37.0,138.0,28.0,30.0,12.0,14.4,5638
138.529,37.47,0.0006,37.0,138.0,28.0,31.0,12.0,44.4,5638
138.554,37.47,0.0006,37.0,138.0,28.0,33.0,12.0,14.4,5638
138.579,37.47,0.0006,37.0,138.0,28.0,34.0,12.0,44.4,5638
138.604,37.47,0.0005,37.0,138.0,28.0,36.0,12.0,14.4,5638
138.629,37.47,0.0006,37.0,138.0,28.0,37.0,12.0,44.4,5638
138.654,37.47,0.0006,37.0,138.0,28.0,39.0,12.0,14.4,5638
138.679,37.47,0.0006,37.0,138.0,28.0,40.0,12.0,44.4,5638
138.704,37.47,0.0005,37.0,138.0,28.0,42.0,12.0,14.4,5638
138.729,37.47,0.0005,37.0,138.0,28.0,43.0,12.0,44.4,5638
138.754,37.47,0.0005,37.0,138.0,28.0,45.0,12.0,14.4,5638
138.779,37.47,0.0005,37.0,138.0,28.0,46.0,12.0,44.4,5638
138.804,37.47,0.0005,37.0,138.0,28.0,48.0,12.0,14.4,5638
138.829,37.47,0.0005,37.0,138.0,28.0,49.0,12.0,44.4,5638
138.854,37.47,0.0005,37.0,138.0,28.0,51.0,12.0,14.4,5638
138.879,37.47,0.0005,37.0,138.0,28.0,52.0,12.0,44.4,5638
138.904,37.47,0.0005,37.0,138.0,28.0,54.0,12.0,14.4,5638
138.929,37.47,0.0003,37.0,138.0,28.0,55.0,12.0,44.4,5638
138.954,37.47,0.0003,37.0,138.0,28.0,57.0,12.0,14.4,5638
138.979,37.47,0.0003,37.0,138.0,28.0,58.0,12.0,44.4,5638
139.004,37.47,0.0004,37.0,139.0,28.0,0.0,12.0,14.4,5639
139.029,37.47,0.0004,37.0,139.0,28.0,1.0,12.0,44.4,5639
139.054,37.47,0.0004,37.0,139.0,28.0,3.0,12.0,14.4,5639
139.079,37.47,0.0004,37.0,139.0,28.0,4.0,12.0,44.4,5639
139.104,37.47,0.0004,37.0,139.0,28.0,6.0,12.0,14.4,5639
139.129,37.47,0.0003,37.0,139.0,28.0,7.0,12.0,44.4,5639
139.154,37.47,0.0003,37.0,139.0,28.0,9.0,12.0,14.4,5639
139.179,37.47,0.0003,37.0,139.0,28.0,10.0,12.0,44.4,5639
136.179,37.4451,0.0003,37.0,136.0,26.0,10.0,42.36,44.4,5636
136.204,37.4451,0.0004,37.0,136.0,26.0,12.0,42.36,14.4,5636
136.229,37.4451,0.0004,37.0,136.0,26.0,13.0,42.36,44.4,5636
136.254,37.4451,0.0004,37.0,136.0,26.0,15.0,42.36,14.4,5636
136.279,37.4451,0.0004,37.0,136.0,26.0,16.0,42.36,44.4,5636
136.304,37.4451,0.0004,37.0,136.0,26.0,18.0,42.36,14.4,5636
136.329,37.4451,0.0004,37.0,136.0,26.0,19.0,42.36,44.4,5636
136.354,37.4451,0.0004,37.0,136.0,26.0,21.0,42.36,14.4,5636
136.379,37.4451,0.0004,37.0,136.0,26.0,22.0,42.36,44.4,5636
136.404,37.4451,0.0004,37.0,136.0,26.0,24.0,42.36,14.4,5636
136.429,37.4451,0.0004,37.0,136.0,26.0,25.0,42.36,44.4,5636
136.454,37.4451,0.0004,37.0,136.0,26.0,27.0,42.36,14.4,5636
136.479,37.4451,0.0005,37.0,136.0,26.0,28.0,42.36,44.4,5636
136.504,37.4451,0.0005,37.0,136.0,26.0,30.0,42.36,14.4,5636
136.529,37.4451,0.0005,37.0,136.0,26.0,31.0,42.36,44.4,5636
136.554,37.4451,0.0005,37.0,136.0,26.0,33.0,42.36,14.4,5636
136.579,37.4451,0.0005,37.0,136.0,26.0,34.0,42.36,44.4,5636
136.604,37.4451,0.0005,37.0,136.0,26.0,36.0,42.36,14.4,5636
136.629,37.4451,0.0005,37.0,136.0,26.0,37.0,42.36,44.4,5636
136.654,37.4451,0.0005,37.0,136.0,26.0,39.0,42.36,14.4,5636
136.679,37.4451,0.0005,37.0,136.0,26.0,40.0,42.36,44.4,5636
136.704,37.4451,0.0005,37.0,136.0,26.0,42.0,42.36,14.4,5636
136.729,37.4451,0.0006,37.0,136.0,26.0,43.0,42.36,44.4,5636
136.754,37.4451,0.0006,37.0,136.0,26.0,45.0,42.36,14.4,5636
136.779,37.4451,0.0006,37.0,136.0,26.0,46.0,42.36,44.4,5636
136.804,37.4451,0.0006,37.0,136.0,26.0,48.0,42.36,14.4,5636
136.829,37.4451,0.0006,37.0,136.0,26.0,49.0,42.36,44.4,5636
136.854,37.4451,0.0006,37.0,136.0,26.0,51.0,42.36,14.4,5636
136.879,37.4451,0.0006,37.0,136.0,26.0,52.0,42.36,44.4,5636
136.904,37.4451,0.0006,37.0,136.0,26.0,54.0,42.36,14.4,5636
136.929,37.4451,0.0006,37.0,136.0,26.0,55.0,42.36,44.4,5636
136.954,37.4451,0.0006,37.0,136.0,26.0,57.0,42.36,14.4,5636
136.979,37.4451,0.0007,37.0,136.0,26.0,58.0,42.36,44.4,5636
137.004,37.4451,0.0007,37.0,137.0,26.0,0.0,42.36,14.4,5637
137.029,37.4451,0.0007,37.0,137.0,26.0,1.0,42.36,44.4,5637
137.054,37.4451,0.0007,37.0,137.0,26.0,3.0,42.36,14.4,5637
137.079,37.4451,0.0007,37.0,137.0,26.0,4.0,42.36,44.4,5637
137.104,37.4451,0.0007,37.0,137.0,26.0,6.0,42.36,14.4,5637
137.129,37.4451,0.0007,37.0,137.0,26.0,7.0,42.36,44.4,5637
137.154,37.4451,0.0007,37.0,137.0,26.0,9.0,42.36,14.4,5637
137.179,37.4451,0.0007,37.0,137.0,26.0,10.0,42.36,44.4,5637
137.204,37.4451,0.0007,37.0,137.0,26.0,12.0,42.36,14.4,5637
137.229,37.4451,0.0007,37.0,137.0,26.0,13.0,42.36,44.4,5637
137.254,37.4451,0.0009,37.0,137.0,26.0,15.0,42.36,14.4,5637
137.279,37.4451,0.001,37.0,137.0,26.0,16.0,42.36,44.4,5637
137.304,37.4451,0.0009,37.0,137.0,26.0,18.0,42.36,14.4,5637
137.329,37.4451,0.0009,37.0,137.0,26.0,19.0,42.36,44.4,5637
137.354,37.4451,0.001,37.0,137.0,26.0,21.0,42.36,14.4,5637
137.379,37.4451,0.0008,37.0,137.0,26.0,22.0,42.36,44.4,5637
137.404,37.4451,0.0008,37.0,137.0,26.0,24.0,42.36,14.4,5637
137.429,37.4451,0.0008,37.0,137.0,26.0,25.0,42.36,44.4,5637
137.454,37.4451,0.0008,37.0,137.0,26.0,27.0,42.36,14.4,5637
137.479,37.4451,0.0008,37.0,137.0,26.0,28.0,42.36,44.4,5637
137.504,37.4451,0.0008,37.0,137.0,26.0,30.0,42.36,14.4,5637
137.529,37.4451,0.0008,37.0,137.0,26.0,31.0,42.36,44.4,5637
137.554,37.4451,0.0008,37.0,137.0,26.0,33.0,42.36,14.4,5637
137.579,37.4451,0.0008,37.0,137.0,26.0,34.0,42.36,44.4,5637
137.604,37.4451,0.0008,37.0,137.0,26.0,36.0,42.36,14.4,5637
137.629,37.4451,0.0008,37.0,137.0,26.0,37.0,42.36,44.4,5637
137.654,37.4451,0.0008,37.0,137.0,26.0,39.0,42.36,14.4,5637
137.679,37.4451,0.0008,37.0,137.0,26.0,40.0,42.36,44.4,5637
137.704,37.4451,0.0008,37.0,137.0,26.0,42.0,42.36,14.4,5637
137.729,37.4451,0.0008,37.0,137.0,26.0,43.0,42.36,44.4,5637
137.754,37.4451,0.0008,37.0,137.0,26.0,45.0,42.36,14.4,5637
137.779,37.4451,0.0008,37.0,137.0,26.0,46.0,42.36,44.4,5637
137.804,37.4451,0.0008,37.0,137.0,26.0,48.0,42.36,14.4,5637
137.829,37.4451,0.0008,37.0,137.0,26.0,49.0,42.36,44.4,5637
137.854,37.4451,0.0008,37.0,137.0,26.0,51.0,42.36,14.4,5637
137.879,37.4451,0.0008,37.0,137.0,26.0,52.0,42.36,44.4,5637
137.904,37.4451,0.0008,37.0,137.0,26.0,54.0,42.36,14.4,5637
137.929,37.4451,0.0008,37.0,137.0,26.0,55.0,42.36,44.4,5637
137.954,37.4451,0.0008,37.0,137.0,26.0,57.0,42.36,14.4,5637
137.979,37.4451,0.0008,37.0,137.0,26.0,58.0,42.36,44.4,5637
138.004,37.4451,0.0008,37.0,138.0,26.0,0.0,42.36,14.4,5638
138.029,37.4451,0.0008,37.0,138.0,26.0,1.0,42.36,44.4,5638
138.054,37.4451,0.0008,37.0,138.0,26.0,3.0,42.36,14.4,5638
138.079,37.4451,0.0008,37.0,138.0,26.0,4.0,42.36,44.4,5638
138.104,37.4451,0.0007,37.0,138.0,26.0,6.0,42.36,14.4,5638
138.129,37.4451,0.0007,37.0,138.0,26.0,7.0,42.36,44.4,5638
138.154,37.4451,0.0007,37.0,138.0,26.0,9.0,42.36,14.4,5638
138.179,37.4451,0.0007,37.0,138.0,26.0,10.0,42.36,44.4,5638
138.204,37.4451,0.0007,37.0,138.0,26.0,12.0,42.36,14.4,5638
138.229,37.4451,0.0007,37.0,138.0,26.0,13.0,42.36,44.4,5638
138.254,37.4451,0.0007,37.0,138.0,26.0,15.0,42.36,14.4,5638
138.279,37.4451,0.0007,37.0,138.0,26.0,16.0,42.36,44.4,5638
138.304,37.4451,0.0007,37.0,138.0,26.0,18.0,42.36,14.4,5638
138.329,37.4451,0.0007,37.0,138.0,26.0,19.0,42.36,44.4,5638
138.354,37.4451,0.0007,37.0,138.0,26.0,21.0,42.36,14.4,5638
138.379,37.4451,0.0007,37.0,138.0,26.0,22.0,42.36,44.4,5638
138.404,37.4451,0.0006,37.0,138.0,26.0,24.0,42.36,14.4,5638
138.429,37.4451,0.0006,37.0,138.0,26.0,25.0,42.36,44.4,5638
138.454,37.4451,0.0006,37.0,138.0,26.0,27.0,42.36,14.4,5638
138.479,37.4451,0.0006,37.0,138.0,26.0,28.0,42.36,44.4,5638
138.504,37.4451,0.0006,37.0,138.0,26.0,30.0,42.36,14.4,5638
138.529,37.4451,0.0006,37.0,138.0,26.0,31.0,42.36,44.4,5638
138.554,37.4451,0.0006,37.0,138.0,26.0,33.0,42.36,14.4,5638
138.579,37.4451,0.0006,37.0,138.0,26.0,34.0,42.36,44.4,5638
138.604,37.4451,0.0006,37.0,138.0,26.0,36.0,42.36,14.4,5638
138.629,37.4451,0.0006,37.0,138.0,26.0,37.0,42.36,44.4,5638
138.654,37.4451,0.0007,37.0,138.0,26.0,39.0,42.36,14.4,5638
138.679,37.4451,0.0005,37.0,138.0,26.0,40.0,42.36,44.4,5638
138.704,37.4451,0.0005,37.0,138.0,26.0,42.0,42.36,14.4,5638
138.729,37.4451,0.0006,37.0,138.0,26.0,43.0,42.36,44.4,5638
138.754,37.4451,0.0005,37.0,138.0,26.0,45.0,42.36,14.4,5638
138.779,37.4451,0.0004,37.0,138.0,26.0,46.0,42.36,44.4,5638
138.804,37.4451,0.0005,37.0,138.0,26.0,48.0,42.36,14.4,5638
138.829,37.4451,0.0005,37.0,138.0,26.0,49.0,42.36,44.4,5638
138.854,37.4451,0.0005,37.0,138.0,26.0,51.0,42.36,14.4,5638
138.879,37.4451,0.0005,37.0,138.0,26.0,52.0,42.36,44.4,5638
138.904,37.4451,0.0003,37.0,138.0,26.0,54.0,42.36,14.4,5638
138.929,37.4451,0.0003,37.0,138.0,26.0,55.0,42.36,44.4,5638
138.954,37.4451,0.0003,37.0,138.0,26.0,57.0,42.36,14.4,5638
138.979,37.4451,0.0003,37.0,138.0,26.0,58.0,42.36,44.4,5638
139.004,37.4451,0.0004,37.0,139.0,26.0,0.0,42.36,14.4,5639
139.029,37.4451,0.0004,37.0,139.0,26.0,1.0,42.36,44.4,5639
139.054,37.4451,0.0004,37.0,139.0,26.0,3.0,42.36,14.4,5639
139.079,37.4451,0.0004,37.0,139.0,26.0,4.0,42.36,44.4,5639
139.104,37.4451,0.0004,37.0,139.0,26.0,6.0,42.36,14.4,5639
139.129,37.4451,0.0004,37.0,139.0,26.0,7.0,42.36,44.4,5639
139.154,37.4451,0.0004,37.0,139.0,26.0,9.0,42.36,14.4,5639
139.179,37.4451,0.0003,37.0,139.0,26.0,10.0,42.36,44.4,5639
