lon,lat,PGA (g),deg_lat,deg_lon,mnt_lat,mnt_lon,sec_lat,sec_lon,fcode
137.588,40.631,0.0018,40.0,137.0,37.0,35.0,51.6,16.8,6037
137.613,40.631,0.0018,40.0,137.0,37.0,36.0,51.6,46.8,6037
137.638,40.631,0.0018,40.0,137.0,37.0,38.0,51.6,16.8,6037
137.663,40.631,0.0018,40.0,137.0,37.0,39.0,51.6,46.7999999999,6037
137.688,40.631,0.0019,40.0,137.0,37.0,41.0,51.6,16.7999999999,6037
137.713,40.631,0.0019,40.0,137.0,37.0,42.0,51.6,46.8,6037
137.738,40.631,0.0019,40.0,137.0,37.0,44.0,51.6,16.8,6037
137.763,40.631,0.002,40.0,137.0,37.0,45.0,51.6,46.8,6037
137.788,40.631,0.002,40.0,137.0,37.0,47.0,51.6,16.7999999999,6037
137.813,40.631,0.002,40.0,137.0,37.0,48.0,51.6,46.7999999999,6037
137.838,40.631,0.0021,40.0,137.0,37.0,50.0,51.6,16.8,6037
137.863,40.631,0.0021,40.0,137.0,37.0,51.0,51.6,46.8,6037
137.888,40.631,0.0021,40.0,137.0,37.0,53.0,51.6,16.8,6037
137.913,40.631,0.0022,40.0,137.0,37.0,54.0,51.6,46.7999999999,6037
137.938,40.631,0.0022,40.0,137.0,37.0,56.0,51.6,16.7999999999,6037
137.963,40.631,0.0022,40.0,137.0,37.0,57.0,51.6,46.8,6037
137.988,40.631,0.0023,40.0,137.0,37.0,59.0,51.6,16.8,6037
138.013,40.631,0.0023,40.0,138.0,37.0,0.0,51.6,46.8,6038
138.038,40.631,0.0023,40.0,138.0,37.0,2.0,51.6,16.7999999999,6038
138.063,40.631,0.0024,40.0,138.0,37.0,3.0,51.6,46.7999999999,6038
138.088,40.631,0.0024,40.0,138.0,37.0,5.0,51.6,16.8,6038
138.113,40.631,0.0024,40.0,138.0,37.0,6.0,51.6,46.8,6038
138.138,40.631,0.0025,40.0,138.0,37.0,8.0,51.6,16.8,6038
138.163,40.631,0.0025,40.0,138.0,37.0,9.0,51.6,46.7999999999,6038
138.188,40.631,0.0026,40.0,138.0,37.0,11.0,51.6,16.7999999999,6038
138.213,40.631,0.0026,40.0,138.0,37.0,12.0,51.6,46.8,6038
138.238,40.631,0.0026,40.0,138.0,37.0,14.0,51.6,16.8,6038
138.263,40.631,0.0027,40.0,138.0,37.0,15.0,51.6,46.8,6038
138.288,40.631,0.0027,40.0,138.0,37.0,17.0,51.6,16.7999999999,6038
138.313,40.631,0.0028,40.0,138.0,37.0,18.0,51.6,46.7999999999,6038
138.338,40.631,0.0028,40.0,138.0,37.0,20.0,51.6,16.8,6038
138.363,40.631,0.0028,40.0,138.0,37.0,21.0,51.6,46.8,6038
138.388,40.631,0.0029,40.0,138.0,37.0,23.0,51.6,16.8,6038
138.413,40.631,0.0029,40.0,138.0,37.0,24.0,51.6,46.7999999999,6038
138.438,40.631,0.003,40.0,138.0,37.0,26.0,51.6,16.7999999999,6038
138.463,40.631,0.003,40.0,138.0,37.0,27.0,51.6,46.8,6038
138.488,40.631,0.0031,40.0,138.0,37.0,29.0,51.6,16.8,6038
138.513,40.631,0.0031,40.0,138.0,37.0,30.0,51.6,46.8,6038
138.538,40.631,0.0032,40.0,138.0,37.0,32.0,51.6,16.7999999999,6038
138.563,40.631,0.0032,40.0,138.0,37.0,33.0,51.6,46.7999999999,6038
138.588,40.631,0.0033,40.0,138.0,37.0,35.0,51.6,16.8,6038
138.613,40.631,0.0033,40.0,138.0,37.0,36.0,51.6,46.8,6038
138.638,40.631,0.0034,40.0,138.0,37.0,38.0,51.6,16.8,6038
138.663,40.631,0.0034,40.0,138.0,37.0,39.0,51.6,46.7999999999,6038
138.688,40.631,0.0035,40.0,138.0,37.0,41.0,51.6,16.7999999999,6038
138.713,40.631,0.0035,40.0,138.0,37.0,42.0,51.6,46.8,6038
138.738,40.631,0.0036,40.0,138.0,37.0,44.0,51.6,16.8,6038
138.763,40.631,0.0036,40.0,138.0,37.0,45.0,51.6,46.8,6038
138.788,40.631,0.0037,40.0,138.0,37.0,47.0,51.6,16.7999999999,6038
138.813,40.631,0.0037,40.0,138.0,37.0,48.0,51.6,46.7999999999,6038
138.838,40.631,0.0038,40.0,138.0,37.0,50.0,51.6,16.8,6038
138.863,40.631,0.0038,40.0,138.0,37.0,51.0,51.6,46.8,6038
138.888,40.631,0.0039,40.0,138.0,37.0,53.0,51.6,16.8,6038
138.913,40.631,0.0039,40.0,138.0,37.0,54.0,51.6,46.7999999999,6038
138.938,40.631,0.004,40.0,138.0,37.0,56.0,51.6,16.7999999999,6038
138.963,40.631,0.004,40.0,138.0,37.0,57.0,51.6,46.8,6038
138.988,40.631,0.0041,40.0,138.0,37.0,59.0,51.6,16.8,6038
139.013,40.631,0.0042,40.0,139.0,37.0,0.0,51.6,46.8,6039
139.038,40.631,0.0042,40.0,139.0,37.0,2.0,51.6,16.7999999999,6039
139.063,40.631,0.0043,40.0,139.0,37.0,3.0,51.6,46.7999999999,6039
139.088,40.631,0.0043,40.0,139.0,37.0,5.0,51.6,16.8,6039
139.113,40.631,0.0044,40.0,139.0,37.0,6.0,51.6,46.8,6039
139.138,40.631,0.0045,40.0,139.0,37.0,8.0,51.6,16.8,6039
139.163,40.631,0.0045,40.0,139.0,37.0,9.0,51.6,46.7999999999,6039
139.188,40.631,0.0046,40.0,139.0,37.0,11.0,51.6,16.7999999999,6039
139.213,40.631,0.0046,40.0,139.0,37.0,12.0,51.6,46.8,6039
139.238,40.631,0.0047,40.0,139.0,37.0,14.0,51.6,16.8,6039
139.263,40.631,0.0048,40.0,139.0,37.0,15.0,51.6,46.8,6039
139.288,40.631,0.0048,40.0,139.0,37.0,17.0,51.6,16.7999999999,6039
139.313,40.631,0.0049,40.0,139.0,37.0,18.0,51.6,46.7999999999,6039
139.338,40.631,0.005,40.0,139.0,37.0,20.0,51.6,16.8,6039
139.363,40.631,0.005,40.0,139.0,37.0,21.0,51.6,46.8,6039
139.388,40.631,0.0051,40.0,139.0,37.0,23.0,51.6,16.8,6039
139.413,40.631,0.0052,40.0,139.0,37.0,24.0,51.6,46.7999999999,6039
139.438,40.631,0.0052,40.0,139.0,37.0,26.0,51.6,16.7999999999,6039
139.463,40.631,0.0053,40.0,139.0,37.0,27.0,51.6,46.8,6039
139.488,40.631,0.0054,40.0,139.0,37.0,29.0,51.6,16.8,6039
139.513,40.631,0.0054,40.0,139.0,37.0,30.0,51.6,46.8,6039
139.538,40.631,0.0055,40.0,139.0,37.0,32.0,51.6,16.7999999999,6039
139.563,40.631,0.0056,40.0,139.0,37.0,33.0,51.6,46.7999999999,6039
139.588,40.631,0.0057,40.0,139.0,37.0,35.0,51.6,16.8,6039
139.613,40.631,0.0057,40.0,139.0,37.0,36.0,51.6,46.8,6039
139.638,40.631,0.0058,40.0,139.0,37.0,38.0,51.6,16.8,6039
139.663,40.631,0.0059,40.0,139.0,37.0,39.0,51.6,46.7999999999,6039
139.688,40.631,0.0059,40.0,139.0,37.0,41.0,51.6,16.7999999999,6039
139.713,40.631,0.006,40.0,139.0,37.0,42.0,51.6,46.8,6039
139.738,40.631,0.0061,40.0,139.0,37.0,44.0,51.6,16.8,6039
139.763,40.631,0.006,40.0,139.0,37.0,45.0,51.6,46.8,6039
139.788,40.631,0.0056,40.0,139.0,37.0,47.0,51.6,16.7999999999,6039
139.813,40.631,0.0053,40.0,139.0,37.0,48.0,51.6,46.7999999999,6039
139.838,40.631,0.0053,40.0,139.0,37.0,50.0,51.6,16.8,6039
139.863,40.631,0.0053,40.0,139.0,37.0,51.0,51.6,46.8,6039
139.888,40.631,0.0056,40.0,139.0,37.0,53.0,51.6,16.8,6039
139.913,40.631,0.006,40.0,139.0,37.0,54.0,51.6,46.7999999999,6039
139.938,40.631,0.0058,40.0,139.0,37.0,56.0,51.6,16.7999999999,6039
139.963,40.631,0.0058,40.0,139.0,37.0,57.0,51.6,46.8,6039
139.988,40.631,0.0056,40.0,139.0,37.0,59.0,51.6,16.8,6039
140.013,40.631,0.0057,40.0,140.0,37.0,0.0,51.6,46.8,6040
140.038,40.631,0.0058,40.0,140.0,37.0,2.0,51.6,16.7999999999,6040
140.063,40.631,0.0061,40.0,140.0,37.0,3.0,51.6,46.7999999999,6040
140.088,40.631,0.0067,40.0,140.0,37.0,5.0,51.6,16.8,6040
140.113,40.631,0.007,40.0,140.0,37.0,6.0,51.6,46.8,6040
140.138,40.631,0.0068,40.0,140.0,37.0,8.0,51.6,16.8,6040
140.163,40.631,0.0082,40.0,140.0,37.0,9.0,51.6,46.7999999999,6040
140.188,40.631,0.0081,40.0,140.0,37.0,11.0,51.6,16.7999999999,6040
140.213,40.631,0.0107,40.0,140.0,37.0,12.0,51.6,46.8,6040
140.238,40.631,0.0148,40.0,140.0,37.0,14.0,51.6,16.8,6040
140.263,40.631,0.0129,40.0,140.0,37.0,15.0,51.6,46.8,6040
140.288,40.631,0.0129,40.0,140.0,37.0,17.0,51.6,16.7999999999,6040
140.313,40.631,0.0131,40.0,140.0,37.0,18.0,51.6,46.7999999999,6040
140.338,40.631,0.013,40.0,140.0,37.0,20.0,51.6,16.8,6040
140.363,40.631,0.016,40.0,140.0,37.0,21.0,51.6,46.8,6040
140.388,40.631,0.015,40.0,140.0,37.0,23.0,51.6,16.8,6040
140.413,40.631,0.0147,40.0,140.0,37.0,24.0,51.6,46.7999999999,6040
140.438,40.631,0.0155,40.0,140.0,37.0,26.0,51.6,16.7999999999,6040
140.463,40.631,0.0166,40.0,140.0,37.0,27.0,51.6,46.8,6040
140.488,40.631,0.0151,40.0,140.0,37.0,29.0,51.6,16.8,6040
140.513,40.631,0.013,40.0,140.0,37.0,30.0,51.6,46.8,6040
140.538,40.631,0.0126,40.0,140.0,37.0,32.0,51.6,16.7999999999,6040
140.563,40.631,0.0124,40.0,140.0,37.0,33.0,51.6,46.7999999999,6040
140.588,40.631,0.0122,40.0,140.0,37.0,35.0,51.6,16.8,6040
140.613,40.631,0.0115,40.0,140.0,37.0,36.0,51.6,46.8,6040
140.638,40.631,0.011,40.0,140.0,37.0,38.0,51.6,16.8,6040
