Code,Name,ProcessType,Process,MagnitudeType,Magnitude,ShapeType,Shape
F019101,Ube-Nanpou-oki fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((131.28 33.893, 131.3128580364981 33.73343640317948, 131.3098759642741 33.73301328385615, 131.277017927776 33.89257688067666, 131.28 33.893)))"
F005102,Inadani fault zone (Southeastern part),PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((137.829 35.517, 137.7005147131509 35.22967080188965, 137.6070707772935 35.25735355129935, 137.7355560641426 35.5446827494097, 137.829 35.517)))"
F005101,Inadani fault zone (Main part),BrownianPTProcess,"BPT(mu=5200.0,t0=717.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((137.858 35.637, 137.6259581211623 35.35741072458107, 137.5694810901917 35.38837071861799, 137.8015229690294 35.66795999403693, 137.858 35.637)), ((137.858 35.637, 137.937742855096 36.00454843933346, 137.8706541973461 36.01416255730907, 137.7909113422501 35.64661411797561, 137.858 35.637)))"
F001701,Shinjo-bonchi fault zone (Eastern part),BrownianPTProcess,"BPT(mu=4000.0,t0=6200.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.62)",MultiPlaneShape,"MULTIPOLYGON (((140.346 38.62, 140.4386699540686 38.82333102911401, 140.5985566367071 38.77884927753207, 140.5058866826385 38.57551824841806, 140.346 38.62)))"
F001702,Shinjo-bonchi fault zone (Western part),PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((140.182 38.831, 140.2001112700019 38.66973810517479, 140.0537311412155 38.65976182717034, 140.0356198712135 38.82102372199554, 140.182 38.831)))"
F01482B,Fukaya/Ayasegawa fault zone (Kounosu-Ina segment/Ina-Kawaguchi segment),MultiSegmentProcess,"MULTI(F014821,F014822)",CharacteristicMag,CHAR(mag=7.0),MultiPlaneShape,"MULTIPOLYGON (((139.444 36.057, 139.614184629254 35.94114514057456, 139.5220675308895 35.85270909160514, 139.3518829016355 35.96856395103059, 139.444 36.057)), ((139.607 35.946, 139.7480202777729 35.807012800347, 139.6376659250509 35.73362871319696, 139.4966456472779 35.87261591284995, 139.607 35.946)))"
F01482C,Fukaya/Ayasegawa fault zone (All segment),MultiSegmentProcess,"MULTI(F014721,F014821,F014822)",CharacteristicMag,CHAR(mag=7.5),MultiPlaneShape,"MULTIPOLYGON (((138.821 36.366, 139.5021878846738 36.02191327878111, 139.4487743403593 35.95334812457394, 138.7675864556854 36.29743484579283, 138.821 36.366)), ((139.444 36.057, 139.614184629254 35.94114514057456, 139.5220675308895 35.85270909160514, 139.3518829016355 35.96856395103059, 139.444 36.057)), ((139.607 35.946, 139.7480202777729 35.807012800347, 139.6376659250509 35.73362871319696, 139.4966456472779 35.87261591284995, 139.607 35.946)))"
F01482A,Fukaya/Ayasegawa fault zone (Fukaya fault zone/Kounosu-Ina segment),MultiSegmentProcess,"MULTI(F014721,F014821)",CharacteristicMag,CHAR(mag=7.4),MultiPlaneShape,"MULTIPOLYGON (((138.821 36.366, 139.5021878846738 36.02191327878111, 139.4487743403593 35.95334812457394, 138.7675864556854 36.29743484579283, 138.821 36.366)), ((139.444 36.057, 139.614184629254 35.94114514057456, 139.5220675308895 35.85270909160514, 139.3518829016355 35.96856395103059, 139.444 36.057)))"
F007401,Yamada fault zone (Main part),PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((134.928 35.469, 135.2568464493793 35.68127241532365, 135.2587617351317 35.67930436341305, 134.9299152857525 35.4670319480894, 134.928 35.469)))"
F007402,Gomura fault zone,BrownianPTProcess,"BPT(mu=10000.0,t0=90.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((135.094 35.567, 134.9098299049476 35.87415586394103, 134.9126046880565 35.87525672444321, 135.0967747831089 35.56810086050218, 135.094 35.567)))"
