Code,Process,Magnitude,NbPlanes,Name
F000101,P(lmbd=34000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Shibetsu fault zone
F000201,P(lmbd=34000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Tokachi-heiya fault zone (Main part)
F000202,P(lmbd=14000.0),"GR(min=6.38,max=6.7,beta=2.07232658369)",1,Kochien fault
F000301,P(lmbd=8000.0),"GR(min=6.38,max=6.7,beta=2.07232658369)",1,Furano fault zone (Western part)
F000302,P(lmbd=18000.0),"GR(min=6.38,max=6.7,beta=2.07232658369)",1,Furano fault zone (Eastern part)
F000401,P(lmbd=10000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Mashike-sanchi-toen fault zone
F000402,P(lmbd=24000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Numata-Sunagawa-area fault zone
F000501,P(lmbd=15000.0),"GR(min=6.38,max=6.46,beta=2.07232658369)",1,Tobetsu fault
F000601,P(lmbd=2000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",2,Ishikari-teichi-toen fault zone (Main part)
F000602,P(lmbd=34000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Ishikari-teichi-toen fault zone (Southern part)
F000701,P(lmbd=7200.0),"GR(min=6.38,max=6.77,beta=2.07232658369)",1,Kuromatsunai-teichi fault zone
F000801,P(lmbd=26000.0),"GR(min=6.38,max=6.62,beta=2.07232658369)",1,Hakodate-heiya-seien fault zone
F000901,P(lmbd=6000.0),"GR(min=6.38,max=6.77,beta=2.07232658369)",1,Aomori-wan-seigan fault zone
F001001,P(lmbd=10200.0),CHAR(mag=6.38),1,Tsugaru-sanchi-seien fault zone (Northern part)
F001101,P(lmbd=30000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Oritsume fault
F001201,P(lmbd=3800.0),"GR(min=6.38,max=6.62,beta=2.07232658369)",1,Noshiro fault zone
F001301,P(lmbd=32000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Kitakami-teichi-seien fault zone
F001401,P(lmbd=10800.0),CHAR(mag=6.38),1,Shizukuishi-bonchi-seien fault zone
F001402,P(lmbd=12600.0),"GR(min=6.38,max=6.62,beta=2.07232658369)",1,Mahiru-sanchi-toen fault zone/Northern segment
F001403,P(lmbd=10800.0),CHAR(mag=6.38),1,Mahiru-sanchi-toen fault zone/Southern segment
F001501,P(lmbd=6800.0),"GR(min=6.38,max=6.7,beta=2.07232658369)",1,Yokote-bonchi-toen fault zone (Northern segment)
F001502,P(lmbd=19000.0),"GR(min=6.38,max=6.77,beta=2.07232658369)",1,Yokote-bonchi-toen fault zone (Southern segment)
F001601,P(lmbd=6800.0),"GR(min=6.38,max=6.77,beta=2.07232658369)",1,Kitayuri fault
F001701,P(lmbd=8000.0),"GR(min=6.38,max=6.62,beta=2.07232658369)",1,Shinjo-bonchi fault zone (Eastern part)
F001702,P(lmbd=9400.0),CHAR(mag=6.38),1,Shinjo-bonchi fault zone (Western part)
F001801,P(lmbd=5000.0),"GR(min=6.38,max=6.77,beta=2.07232658369)",1,Yamagata-bonchi fault zone (Northern segment)
F001802,P(lmbd=5000.0),"GR(min=6.38,max=6.77,beta=2.07232658369)",1,Yamagata-bonchi fault zone (Southern segment)
F001901,P(lmbd=2000.0),"GR(min=6.38,max=6.62,beta=2.07232658369)",1,Shonai-heiya-toen fault zone (Northern part)
F001902,P(lmbd=5000.0),CHAR(mag=6.38),1,Shonai-heiya-toen fault zone (Southern part)
F002001,P(lmbd=10000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Nagamachi-Rifu-sen fault zone
F002101,P(lmbd=16000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Fukushima-bonchi-seien fault zone
F002201,P(lmbd=10000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Nagai-bonchi-seien fault zone
F002301,P(lmbd=16000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Futaba fault
F002401,P(lmbd=14800.0),"GR(min=6.38,max=6.77,beta=2.07232658369)",1,Aizu-bonchi-seien fault zone
F002402,P(lmbd=12600.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Aizu-bonchi-toen fault zone
F002501,P(lmbd=5600.0),CHAR(mag=6.38),1,Kushigata-sanmyaku fault zone
F002601,P(lmbd=15000.0),"GR(min=6.38,max=6.77,beta=2.07232658369)",1,Tsukioka fault zone
F002701,P(lmbd=2400.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Nagaoka-heiya-seien fault zone
F003901,P(lmbd=6600.0),"GR(min=6.38,max=6.77,beta=2.07232658369)",1,Tokamachi fault zone (Western part)
F003902,P(lmbd=8000.0),"GR(min=6.38,max=6.46,beta=2.07232658369)",1,Tokamachi fault zone (Eastern part)
F004501,P(lmbd=12800.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",2,Kiso-sanmyaku-seien fault zone (Main part/Northern segment)
F004502,P(lmbd=9000.0),CHAR(mag=5.99),1,Kiso-sanmyaku-seien fault zone (Main part/Southern segment)
F004503,P(lmbd=22000.0),"GR(min=6.38,max=6.77,beta=2.07232658369)",1,Seinaiji toge fault zone
F004601,P(lmbd=3600.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Sakaitoge-Kamiya fault zone (Main part)
F004602,P(lmbd=4400.0),"GR(min=6.38,max=6.7,beta=2.07232658369)",1,Mutoyama-Narai fault zone
F004701,P(lmbd=4600.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Atotsugawa fault zone
F004801,P(lmbd=7200.0),"GR(min=6.38,max=6.62,beta=2.07232658369)",1,Kokufu fault zone
F004802,P(lmbd=8000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Takayama fault zone
F004803,P(lmbd=15200.0),"GR(min=6.38,max=6.46,beta=2.07232658369)",1,Inohana fault zone
F004901,P(lmbd=10000.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Ushikubi fault zone
F005001,P(lmbd=7200.0),"GR(min=6.38,max=6.85,beta=2.07232658369)",1,Shokawa fault zone
