Code,Latitude,Longitude,Length,Width,Strike,Dip
F000101,43.96,145.08,56.0,18.0,3.76991118431,0.785398163397
F000201,42.544,143.298,84.0,24.0,0.157079632679,0.785398163397
F000202,42.306,143.354,28.0,18.0,5.81194640914,0.785398163397
F000301,43.443,142.421,28.0,18.0,3.42608132166,0.785398163397
F000302,43.133,142.416,28.0,18.0,0.244346095279,0.872664625997
F000401,43.891,141.878,64.0,18.0,3.44702527269,0.785398163397
F000402,43.491,141.954,40.0,18.0,0.0,0.785398163397
F000501,43.456,141.539,22.0,18.0,3.14159265359,0.698131700798
F000601,42.969,141.915,37.9,18.0,0.244346095279,0.523598775598
F000601,42.969,141.915,21.9,18.0,2.86233997327,2.61799387799
F000602,42.411,142.028,56.0,18.0,5.97775268808,0.523598775598
F000701,42.754,140.24,34.0,18.0,2.96880505764,0.785398163397
F000801,41.943,140.63,26.0,18.0,3.26551103048,0.785398163397
F000901,40.99,140.611,32.0,18.0,2.90946386307,1.0471975512
F001001,40.701,140.603,18.0,18.0,5.92015682276,0.785398163397
F001101,40.499,141.242,48.0,18.0,2.83266937599,0.785398163397
F001201,40.078,139.999,24.0,18.0,0.127409035396,0.785398163397
F001301,39.636,141.052,64.0,18.0,3.18871654339,0.610865238198
F001401,39.809,140.928,18.0,18.0,3.31088959103,0.785398163397
F001402,39.619,140.799,22.0,18.0,3.63901149041,0.698131700798
F001403,39.437,140.662,18.0,18.0,3.21838714068,0.785398163397
F001501,39.367,140.638,28.0,18.0,0.218166156499,0.436332312999
F001502,39.105,140.619,32.0,18.0,6.23431608812,0.785398163397
F001601,39.391,140.052,32.0,18.0,0.0,0.785398163397
F001701,38.62,140.346,24.0,18.0,0.342084533391,0.610865238198
F001702,38.831,140.182,18.0,18.0,3.05432619099,0.785398163397
F001801,38.676,140.332,30.0,18.0,3.42084533391,0.785398163397
F001802,38.409,140.236,32.0,18.0,3.21140582367,0.785398163397
F001901,38.847,140.006,26.0,18.0,6.19591884458,0.523598775598
F001902,38.717,139.994,20.0,18.0,0.0837758040957,0.785398163397
F002001,38.404,141.027,42.0,18.0,4.04741853537,0.698131700798
F002101,38.143,140.679,60.0,18.0,3.71056998974,0.785398163397
F002201,38.323,140.13,54.0,18.0,3.25852971347,0.785398163397
F002301,37.658,140.901,42.0,18.0,6.1697389058,90.0
F002401,37.729,139.847,36.0,18.0,3.35975881009,0.785398163397
F002402,37.209,139.854,50.0,18.0,0.211184839491,0.785398163397
F002501,38.149,139.438,18.0,18.0,3.60061424686,0.785398163397
F002601,37.936,139.3,32.0,18.0,3.49589449174,0.959931088597
F002701,38.053,138.819,84.0,24.0,3.22885911619,0.959931088597
F003901,37.267,138.725,34.0,18.0,3.6721727462,0.785398163397
F003902,37.046,138.698,20.0,20.0,0.418879020479,0.785398163397
F004501,35.583,137.6,14.0,16.0,0.774926187885,90.0
F004501,35.676,137.725,30.0,18.0,0.359537825911,0.698131700798
F004502,35.517,137.583,9.4,9.0,0.162315620435,90.0
F004503,35.383,137.617,38.0,16.0,0.223402144255,90.0
F004601,35.85,137.9,52.0,16.0,5.67232006898,90.0
F004602,35.921,137.767,32.0,16.0,0.849975345721,90.0
F004701,36.267,136.933,74.0,16.0,1.04021623419,90.0
F004801,36.047,136.996,28.0,14.0,0.872664625997,90.0
F004802,35.888,136.976,48.0,14.0,0.872664625997,90.0
F004803,35.932,137.281,24.0,14.0,1.0471975512,90.0
F004901,36.267,136.883,58.0,16.0,0.916297857297,90.0
F005001,35.912,137.06,72.0,14.0,5.93935544454,90.0
F005101,35.637,137.858,37.5,18.0,3.73500459927,1.2217304764
F005101,35.637,137.858,41.5,18.0,0.174532925199,1.91986217719
F005102,35.517,137.829,34.0,18.0,3.49065850399,1.0471975512
F005201,35.837,137.22,20.0,16.0,6.10516172348,90.0
F005202,35.488,137.616,64.0,16.0,5.44542726622,90.0
F005203,35.611,137.085,28.0,16.0,1.11526539202,90.0
F005204,35.578,137.051,34.0,16.0,1.20253185462,90.0
F005301,35.405,137.395,20.0,18.0,1.07337748998,1.0471975512
F005302,35.565,137.182,24.0,18.0,2.19038821125,1.0471975512
F005303,35.183,137.1,22.0,18.0,0.844739357965,90.0
F005303,35.249,137.231,38.0,18.0,0.979129710369,0.698131700798
F005304,35.005,136.959,34.0,18.0,0.654498469498,2.00712863979
