Code,Process,Multi,AvrAct,LastAct,Alpha,Desc,Name
G030001,Poisson,POI,1000,,,P(lmbd=1000.0),Rausu-dake fault zone
G030002,Poisson,POI,1500,,,P(lmbd=1500.0),Shari-dake-higashi fault zone
G030003,Poisson,POI,4800,,,P(lmbd=4800.0),Abashiri-ko fault zone
G030004,Poisson,POI,3200,,,P(lmbd=3200.0),Tokoro-gawa-togan fault
G030005,Poisson,POI,12200,,,P(lmbd=12200.0),Toikanbetsu fault zone
G030008,Poisson,POI,3500,,,P(lmbd=3500.0),Ponnitashibetsu fault
G030009,Poisson,POI,3800,,,P(lmbd=3800.0),Mitsuishi-Urakawa fault zone
G030011,Poisson,POI,7900,,,P(lmbd=7900.0),Nohoro-kyuryo fault zone
G030012,Poisson,POI,7900,,,P(lmbd=7900.0),Shiribetsu-gawa fault zone
G030013,Poisson,POI,800,,,P(lmbd=800.0),Yakumo fault zone
G030014,Poisson,POI,6400,,,P(lmbd=6400.0),Noheji fault zone
G030015,Poisson,POI,49600,,,P(lmbd=49600.0),Tsugaru-sanchi-seien fault zone hokubu hoppou enchou
G030016,Poisson,POI,3500,,,P(lmbd=3500.0),Iwaki-san-nanroku fault zone
G030018,Poisson,POI,28700,,,P(lmbd=28700.0),Takizawaukai-nishi fault (kitakami zambu)
G030019,Poisson,POI,2000,,,P(lmbd=2000.0),Tazawa-ko fault zone
G030020,Poisson,POI,5100,,,P(lmbd=5100.0),Kitaguchi fault zone
G030021,Poisson,POI,35500,,,P(lmbd=35500.0),Yokote-bonchi-senan fault zone
G030022,Poisson,POI,7600,,,P(lmbd=7600.0),Toridame fault zone
G030023,Poisson,POI,3500,,,P(lmbd=3500.0),Kamagadai fault zone
G030024,Poisson,POI,800,,,P(lmbd=800.0),Kisakata fault zone
G030025,Poisson,POI,36500,,,P(lmbd=36500.0),Asahiyama flexure zone
G030026,Poisson,POI,36400,,,P(lmbd=36400.0),Medeshima-suite fault
G030027,Poisson,POI,26500,,,P(lmbd=26500.0),Sakunami-Yashikidaira fault zone
