Code,Process,Magnitude,Name,Shape
AETRF,"BPT(mu=72.2,t0=53.2,alph=0.28)",CHAR(mag=8.1),Etorofuto-Oki Earthquake,"POLYGON ((149.245 44.061, 149.105 44.076, 148.927 44.25, 148.809 44.366, 148.851 44.568, 149.053 44.854, 149.235 45.04, 149.657 45.354, 149.737 45.397, 149.897 45.482, 149.978 45.525, 150.6 45.765, 150.981 45.878, 151.424 45.933, 151.646 45.96, 151.788 45.945, 151.929 45.929, 151.99 45.871, 152.031 45.713, 152.012 45.612, 151.81 45.325, 151.709 45.182, 151.446 44.953, 150.961 44.697, 150.071 44.228, 149.99 44.186, 149.688 44.116, 149.466 44.088, 149.245 44.061))"
ANMRO,"BPT(mu=72.2,t0=43.5,alph=0.28)",CHAR(mag=7.9),Nemuro-Oki Earthquake,"POLYGON ((145.321 42.385, 145.188 42.407, 145.136 42.467, 145.032 42.589, 145.221 42.766, 145.651 43.059, 145.972 43.214, 146.294 43.369, 146.507 43.385, 146.641 43.363, 146.774 43.341, 146.827 43.281, 146.879 43.22, 146.852 43.12, 146.824 43.021, 146.634 42.844, 146.554 42.805, 146.231 42.65, 146.07 42.573, 145.534 42.401, 145.321 42.385))"
AAOMW,"BPT(mu=950.0,t0=33.6,alph=0.21)",CHAR(mag=7.7),Aomori-ken-seiho-Oki Earthquake,"MULTIPOLYGON (((138.86 40.27, 138.9667709604618 40.57403728785383, 139.3412146479008 40.49748377597222, 139.234443687439 40.19344648811839, 138.86 40.27)), ((138.97 40.58, 139.077264190053 40.88403728785383, 139.4534376241016 40.80748377597222, 139.3461734340486 40.50344648811839, 138.97 40.58)), ((139.06 40.84, 138.9523161654369 41.14403728785383, 139.3299612846431 41.22059079973545, 139.4376451192061 40.91655351188162, 139.06 40.84)), ((138.9 41.35, 139.2112503950018 41.48489824088781, 139.3305630464192 41.32976526386683, 139.0193126514174 41.19486702297902, 138.9 41.35)))"
BHKNW,"BPT(mu=3900.0,t0=2100.0,alph=0.21)",DISC(M7.8P1.0),Hokkaido-hokusei-Oki Earthquake,"MULTIPOLYGON (((140.95 44.889, 140.95 46.14805024828623, 141.1654216147786 46.14805024828623, 141.1654216147786 44.889, 140.95 44.889)), ((141.17 46.152, 141.17 44.89294975171378, 140.9496875126495 44.89294975171378, 140.9496875126495 46.152, 141.17 46.152)), ((140.95 44.64, 140.95 45.89905024828622, 141.1644950685337 45.89905024828622, 141.1644950685337 44.64, 140.95 44.64)), ((141.17 45.91, 141.17 44.65094975171377, 140.9506500578147 44.65094975171377, 140.9506500578147 45.91, 141.17 45.91)), ((140.914 44.487, 140.914 45.74605024828622, 141.1279316855064 45.74605024828622, 141.1279316855064 44.487, 140.914 44.487)), ((141.122 45.75, 141.122 44.49094975171378, 140.9032797105211 44.49094975171378, 140.9032797105211 45.75, 141.122 45.75)))"
BAKIT,P(lmbd=1000.0),DISC(M7.5P1.0),Akita-ken-Oki Earthquake,"MULTIPOLYGON (((139.43 39.26, 139.43 40.06938944532686, 139.6271125158059 40.06938944532686, 139.6271125158059 39.26, 139.43 39.26)), ((139.64 40.07, 139.64 39.26061055467314, 139.4405631711195 39.26061055467314, 139.4405631711195 40.07, 139.64 40.07)))"
ATHOP,"BPT(mu=600.0,t0=5.8,alph=0.24)",CHAR(mag=9.0),Great East Japan Earthquake (2011 type),"POLYGON ((141.297 35.603, 140.897 35.703, 140.697 36.003, 140.697 36.103, 140.797 36.403, 141.996 39.703, 144.196 39.703, 144.196 39.503, 144.096 38.903, 143.996 38.403, 143.896 37.903, 143.596 37.303, 143.496 37.103, 143.396 36.903, 143.096 36.503, 142.297 35.603, 141.297 35.603))"
AYMGA,"BPT(mu=1000.0,t0=183.1,alph=0.21)",CHAR(mag=7.7),Yamagata-ken-Oki Earthquake,"MULTIPOLYGON (((139.43 38.99, 139.5403880584112 39.43139926751582, 139.7675469900969 39.39707953708667, 139.6571589316857 38.95568026957085, 139.43 38.99)), ((138.9 38.51, 139.4171286924565 38.99224422315361, 139.5932115430475 38.87662966607202, 139.076082850591 38.39438544291841, 138.9 38.51)))"
BNRML,P(lmbd=575.0),DISC(M8.2P1.0),Large intraplate earthquakes close to the offshore trenches in the Sanriku-Oki to Boso-Oki regions (normal faults type),"MULTIPOLYGON (((144.71 41.085, 144.2138564354288 39.32566145776504, 143.3886020273926 39.4578759129579, 143.8847455919638 41.21721445519285, 144.71 41.085)), ((144.36 40.28, 144.1545154826708 38.48820116860882, 143.3241250653498 38.54362493530027, 143.529609582679 40.33542376669146, 144.36 40.28)), ((144.23 39.35, 143.8260973938255 37.57868222007969, 143.0162319080745 37.68910794513231, 143.420134514249 39.46042572505261, 144.23 39.35)), ((144.035 38.405, 143.4023419395116 36.67603317580118, 142.6222826483049 36.85131549247517, 143.2549407087933 38.58028231667399, 144.035 38.405)), ((143.86 37.455, 142.6930339403061 35.91326185318311, 142.0063775110999 36.24078301473961, 143.1733435707939 37.7825211615565, 143.86 37.455)), ((143.275 36.585, 141.926941397512 35.14853966112109, 141.2944576499122 35.53124370772839, 142.6425162524002 36.96770404660731, 143.275 36.585)), ((142.41 36.055, 142.0619633934991 34.27850107077754, 141.2850592858302 34.37798031356245, 141.6330958923311 36.1544792427849, 142.41 36.055)))"
BYNGN,P(lmbd=100.0),DISC(M7.8P1.0),Earthquakes in the vicinity of Yonaguni-jima,"MULTIPOLYGON (((123.017 25.044, 122.2228803055709 25.044, 122.2228803055709 25.55273312481017, 123.017 25.55273312481017, 123.017 25.044)), ((123.016 24.794, 122.2234885083359 24.794, 122.2234885083359 25.30273312481017, 123.016 25.30273312481017, 123.016 24.794)), ((123.015 24.544, 122.2240751828485 24.544, 122.2240751828485 25.05273312481017, 123.015 25.05273312481017, 123.015 24.544)), ((123.014 24.294, 122.2246405183875 24.294, 122.2246405183875 24.80273312481017, 123.014 24.80273312481017, 123.014 24.294)), ((123.014 24.044, 122.2261847008251 24.044, 122.2261847008251 24.55273312481017, 123.014 24.55273312481017, 123.014 24.044)), ((123.013 23.794, 122.226707912685 23.794, 122.226707912685 24.30273312481017, 123.013 24.30273312481017, 123.013 23.794)), ((123.012 23.544, 122.2272103331998 23.544, 122.2272103331998 24.05273312481017, 123.012 24.05273312481017, 123.012 23.544)), ((123.011 23.294, 122.2276921383669 23.294, 122.2276921383669 23.80273312481017, 123.011 23.80273312481017, 123.011 23.294)))"
ASGMI,"BPT(mu=302.7,t0=94.0,alph=0.38)","DISC(M7.79P0,M7.24P0,M7.48P0,M7.32P0,M7.24P0,M7.71P0,M7.71P0,M7.55P0,M7.63P0,M7.48P0)",Sagami Trough earthquakes (M8 class),"POLYGON ((140.828 34.405, 140.607 34.427, 140.469 34.45, 140.358 34.472, 140.193 34.517, 139.696 34.719, 139.64 34.742, 139.613 34.764, 139.585 34.787, 138.95 35.349, 138.95 35.619, 138.978 35.686, 139.088 35.844, 139.143 35.889, 139.226 35.956, 139.447 36.091, 139.53 36.136, 139.613 36.181, 139.751 36.248, 140.358 36.361, 140.469 36.361, 140.69 36.226, 140.828 36.136, 141.077 35.934, 141.132 35.889, 141.187 35.844, 141.242 35.799, 141.353 35.664, 141.408 35.596, 141.463 35.506, 141.629 35.192, 141.712 34.989, 141.739 34.922, 141.767 34.832, 141.794 34.697, 141.767 34.652, 141.712 34.607, 141.491 34.517, 141.38 34.472, 141.215 34.427, 140.994 34.405, 140.828 34.405))"
