Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CGR5_CRUST_4_1,CRUST,0.000198723,4.98,0.9,46.8,143.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_2,CRUST,0.000197099,4.98,0.9,46.8,144.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_3,CRUST,0.000195935,4.98,0.9,46.8,144.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_4,CRUST,0.000206511,4.98,0.9,46.7,143.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_5,CRUST,0.000203961,4.98,0.9,46.7,143.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_6,CRUST,0.000201275,4.98,0.9,46.7,143.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_7,CRUST,0.000198965,4.98,0.9,46.7,144.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_8,CRUST,0.000197244,4.98,0.9,46.7,144.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_9,CRUST,0.000210602,4.98,0.9,46.6,143.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_10,CRUST,0.00021091,4.98,0.9,46.6,143.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_11,CRUST,0.000209397,4.98,0.9,46.6,143.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_12,CRUST,0.000206607,4.98,0.9,46.6,143.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_13,CRUST,0.00020341,4.98,0.9,46.6,143.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_14,CRUST,0.000200539,4.98,0.9,46.6,144.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_4_15,CRUST,0.00019835,4.98,0.9,46.6,144.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_6_16,CRUST,0.000224942,4.98,0.9,46.5,141.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_6_17,CRUST,0.000219962,4.98,0.9,46.5,141.2,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_6_18,CRUST,0.000216481,4.98,0.9,46.5,141.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_6_19,CRUST,0.000215158,4.98,0.9,46.5,141.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CGR5_CRUST_6_20,CRUST,0.000216166,4.98,0.9,46.5,141.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
