Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CIZU_CRUST_1_1,CRUST,0.00775419,4.98,0.9,35.0,139.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_2,CRUST,0.00530315,4.98,0.9,35.0,139.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_3,CRUST,0.00776624,4.98,0.9,34.9,139.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_4,CRUST,0.00555524,4.98,0.9,34.9,139.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_5,CRUST,0.00368761,4.98,0.9,34.9,139.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_6,CRUST,0.00250352,4.98,0.9,34.9,139.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_7,CRUST,0.00663821,4.98,0.9,34.8,139.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_8,CRUST,0.00514497,4.98,0.9,34.8,139.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_9,CRUST,0.00368127,4.98,0.9,34.8,139.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_10,CRUST,0.00261238,4.98,0.9,34.8,139.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_11,CRUST,0.0019819,4.98,0.9,34.8,139.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_12,CRUST,0.00167109,4.98,0.9,34.8,139.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_1_13,CRUST,0.0015426,4.98,0.9,34.8,139.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CIZU_CRUST_2_14,CRUST,0.000338205,4.98,0.9,34.8,140.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
