Code,Zone,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CJPS_CRUST_1_1,1,CRUST,0.000402257,4.98,0.9,46.5,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_2,1,CRUST,0.000403987,4.98,0.9,46.5,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_3,1,CRUST,0.000403115,4.98,0.9,46.5,140.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_4,1,CRUST,0.0003996,4.98,0.9,46.5,141.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_5,1,CRUST,0.000395599,4.98,0.9,46.4,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_6,1,CRUST,0.000399007,4.98,0.9,46.4,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_7,1,CRUST,0.000401047,4.98,0.9,46.4,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_8,1,CRUST,0.000400841,4.98,0.9,46.4,140.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_9,1,CRUST,0.000398213,4.98,0.9,46.4,141.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_10,1,CRUST,0.000389559,4.98,0.9,46.3,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_11,1,CRUST,0.000392911,4.98,0.9,46.3,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_12,1,CRUST,0.000396261,4.98,0.9,46.3,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_13,1,CRUST,0.000398683,4.98,0.9,46.3,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_14,1,CRUST,0.00039924,4.98,0.9,46.3,140.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_15,1,CRUST,0.000397539,4.98,0.9,46.3,141.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_16,1,CRUST,0.000385617,4.98,0.9,46.2,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_17,1,CRUST,0.00038774,4.98,0.9,46.2,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_18,1,CRUST,0.00039051,4.98,0.9,46.2,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_19,1,CRUST,0.00039354,4.98,0.9,46.2,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_20,1,CRUST,0.000396053,4.98,0.9,46.2,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_21,1,CRUST,0.000397132,4.98,0.9,46.2,140.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_22,1,CRUST,0.000396231,4.98,0.9,46.2,141.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_23,1,CRUST,0.000384823,4.98,0.9,46.1,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_24,1,CRUST,0.000386193,4.98,0.9,46.1,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_25,1,CRUST,0.000388096,4.98,0.9,46.1,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_26,1,CRUST,0.000390311,4.98,0.9,46.1,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_27,1,CRUST,0.000392295,4.98,0.9,46.1,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_28,1,CRUST,0.000393349,4.98,0.9,46.1,140.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_29,1,CRUST,0.000384074,4.98,0.9,46.0,140.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_30,1,CRUST,0.000384472,4.98,0.9,46.0,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_31,1,CRUST,0.000385146,4.98,0.9,46.0,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_32,1,CRUST,0.000386126,4.98,0.9,46.0,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_33,1,CRUST,0.00038731,4.98,0.9,46.0,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_34,1,CRUST,0.000388411,4.98,0.9,46.0,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_35,1,CRUST,0.000389072,4.98,0.9,46.0,140.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_36,1,CRUST,0.000384495,4.98,0.9,45.9,140.2,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_37,1,CRUST,0.000384526,4.98,0.9,45.9,140.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_38,1,CRUST,0.000384638,4.98,0.9,45.9,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_39,1,CRUST,0.000384863,4.98,0.9,45.9,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_40,1,CRUST,0.000385214,4.98,0.9,45.9,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_41,1,CRUST,0.000385652,4.98,0.9,45.9,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_42,1,CRUST,0.000386067,4.98,0.9,45.9,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_43,1,CRUST,0.000386374,4.98,0.9,45.9,140.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_44,1,CRUST,0.000385636,4.98,0.9,45.8,140.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_45,1,CRUST,0.000385451,4.98,0.9,45.8,140.2,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_46,1,CRUST,0.000385308,4.98,0.9,45.8,140.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_47,1,CRUST,0.000385228,4.98,0.9,45.8,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_48,1,CRUST,0.000385218,4.98,0.9,45.8,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_49,1,CRUST,0.000385273,4.98,0.9,45.8,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_50,1,CRUST,0.000385369,4.98,0.9,45.8,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_51,1,CRUST,0.00038547,4.98,0.9,45.8,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_52,1,CRUST,0.000385607,4.98,0.9,45.8,140.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_53,1,CRUST,0.000388066,4.98,0.9,45.7,140.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_54,1,CRUST,0.000387621,4.98,0.9,45.7,140.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_55,1,CRUST,0.000387091,4.98,0.9,45.7,140.2,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_56,1,CRUST,0.00038659,4.98,0.9,45.7,140.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_57,1,CRUST,0.000386206,4.98,0.9,45.7,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_58,1,CRUST,0.000385968,4.98,0.9,45.7,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_59,1,CRUST,0.000385853,4.98,0.9,45.7,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_60,1,CRUST,0.000385815,4.98,0.9,45.7,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_61,1,CRUST,0.000385813,4.98,0.9,45.7,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_62,1,CRUST,0.000385879,4.98,0.9,45.7,140.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_63,1,CRUST,0.000391653,4.98,0.9,45.6,139.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_64,1,CRUST,0.000391504,4.98,0.9,45.6,140.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_65,1,CRUST,0.000390811,4.98,0.9,45.6,140.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_66,1,CRUST,0.000389745,4.98,0.9,45.6,140.2,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_67,1,CRUST,0.0003886,4.98,0.9,45.6,140.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_68,1,CRUST,0.00038765,4.98,0.9,45.6,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_69,1,CRUST,0.000387024,4.98,0.9,45.6,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_70,1,CRUST,0.000386694,4.98,0.9,45.6,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_71,1,CRUST,0.00038655,4.98,0.9,45.6,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_72,1,CRUST,0.000386492,4.98,0.9,45.6,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_73,1,CRUST,0.000386499,4.98,0.9,45.6,140.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_74,1,CRUST,0.000393842,4.98,0.9,45.5,139.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_75,1,CRUST,0.000394861,4.98,0.9,45.5,139.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_76,1,CRUST,0.000395115,4.98,0.9,45.5,140.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_77,1,CRUST,0.000394384,4.98,0.9,45.5,140.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_78,1,CRUST,0.000392844,4.98,0.9,45.5,140.2,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_79,1,CRUST,0.000391006,4.98,0.9,45.5,140.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_80,1,CRUST,0.00038942,4.98,0.9,45.5,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_81,1,CRUST,0.000388378,4.98,0.9,45.5,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
