Code,Zone,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CPCF_INTER_1_31,1,INTER,0.00898217,4.98,0.9,46.3,151.5,58.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_44,1,INTER,0.00866472,4.98,0.9,46.2,151.3,59.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_45,1,INTER,0.0091029,4.98,0.9,46.2,151.4,56.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_46,1,INTER,0.00954291,4.98,0.9,46.2,151.5,53.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_47,1,INTER,0.00995406,4.98,0.9,46.2,151.6,50.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_60,1,INTER,0.0085654,4.98,0.9,46.1,151.1,61.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_61,1,INTER,0.00894886,4.98,0.9,46.1,151.2,57.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_62,1,INTER,0.00942921,4.98,0.9,46.1,151.3,53.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_63,1,INTER,0.0099552,4.98,0.9,46.1,151.4,51.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_64,1,INTER,0.0104743,4.98,0.9,46.1,151.5,48.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_65,1,INTER,0.0109487,4.98,0.9,46.1,151.6,45.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_66,1,INTER,0.01136,4.98,0.9,46.1,151.7,43.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_79,1,INTER,0.00881775,4.98,0.9,46.0,150.9,63.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_80,1,INTER,0.00903758,4.98,0.9,46.0,151.0,58.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_81,1,INTER,0.00940787,4.98,0.9,46.0,151.1,55.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_82,1,INTER,0.00992677,4.98,0.9,46.0,151.2,52.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_83,1,INTER,0.0105374,4.98,0.9,46.0,151.3,49.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_84,1,INTER,0.0111632,4.98,0.9,46.0,151.4,46.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_85,1,INTER,0.0117388,4.98,0.9,46.0,151.5,43.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_86,1,INTER,0.01222,4.98,0.9,46.0,151.6,41.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_87,1,INTER,0.0125834,4.98,0.9,46.0,151.7,38.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_88,1,INTER,0.0128277,4.98,0.9,46.0,151.8,36.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_101,1,INTER,0.00925618,4.98,0.9,45.9,150.7,65.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_102,1,INTER,0.00942276,4.98,0.9,45.9,150.8,61.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_103,1,INTER,0.00960302,4.98,0.9,45.9,150.9,57.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_104,1,INTER,0.00990567,4.98,0.9,45.9,151.0,52.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_105,1,INTER,0.0103862,4.98,0.9,45.9,151.1,49.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_106,1,INTER,0.0110146,4.98,0.9,45.9,151.2,46.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_107,1,INTER,0.0117056,4.98,0.9,45.9,151.3,44.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_108,1,INTER,0.0123677,4.98,0.9,45.9,151.4,41.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_109,1,INTER,0.0129314,4.98,0.9,45.9,151.5,39.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_110,1,INTER,0.0133468,4.98,0.9,45.9,151.6,36.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_111,1,INTER,0.0135842,4.98,0.9,45.9,151.7,34.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_112,1,INTER,0.0136441,4.98,0.9,45.9,151.8,31.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_113,1,INTER,0.0135605,4.98,0.9,45.9,151.9,29.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_126,1,INTER,0.00924115,4.98,0.9,45.8,150.5,63.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_127,1,INTER,0.00963227,4.98,0.9,45.8,150.6,59.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_128,1,INTER,0.00995596,4.98,0.9,45.8,150.7,57.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_129,1,INTER,0.0102243,4.98,0.9,45.8,150.8,54.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_130,1,INTER,0.0105153,4.98,0.9,45.8,150.9,51.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_131,1,INTER,0.0109082,4.98,0.9,45.8,151.0,47.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_132,1,INTER,0.0114221,4.98,0.9,45.8,151.1,44.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_133,1,INTER,0.0120079,4.98,0.9,45.8,151.2,42.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_134,1,INTER,0.0125938,4.98,0.9,45.8,151.3,39.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_135,1,INTER,0.013123,4.98,0.9,45.8,151.4,37.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_136,1,INTER,0.0135541,4.98,0.9,45.8,151.5,34.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_137,1,INTER,0.0138396,4.98,0.9,45.8,151.6,32.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_138,1,INTER,0.0139338,4.98,0.9,45.8,151.7,29.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_139,1,INTER,0.0138278,4.98,0.9,45.8,151.8,27.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_140,1,INTER,0.0135696,4.98,0.9,45.8,151.9,25.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_141,1,INTER,0.0132426,4.98,0.9,45.8,152.0,22.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_154,1,INTER,0.00940978,4.98,0.9,45.7,150.3,65.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_155,1,INTER,0.00956177,4.98,0.9,45.7,150.4,61.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_156,1,INTER,0.0098741,4.98,0.9,45.7,150.5,57.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_157,1,INTER,0.0102807,4.98,0.9,45.7,150.6,53.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_158,1,INTER,0.01072,4.98,0.9,45.7,150.7,51.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_159,1,INTER,0.0111743,4.98,0.9,45.7,150.8,48.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_160,1,INTER,0.0116502,4.98,0.9,45.7,150.9,45.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_161,1,INTER,0.012139,4.98,0.9,45.7,151.0,42.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_162,1,INTER,0.0125946,4.98,0.9,45.7,151.1,40.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_163,1,INTER,0.0129659,4.98,0.9,45.7,151.2,37.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_164,1,INTER,0.0132402,4.98,0.9,45.7,151.3,35.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_165,1,INTER,0.013448,4.98,0.9,45.7,151.4,32.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_166,1,INTER,0.0136148,4.98,0.9,45.7,151.5,30.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_167,1,INTER,0.0137135,4.98,0.9,45.7,151.6,27.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_168,1,INTER,0.0136788,4.98,0.9,45.7,151.7,25.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_169,1,INTER,0.013475,4.98,0.9,45.7,151.8,23.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_170,1,INTER,0.013141,4.98,0.9,45.7,151.9,21.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_171,1,INTER,0.0127651,4.98,0.9,45.7,152.0,20.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_172,1,INTER,0.0124233,4.98,0.9,45.7,152.1,18.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_185,1,INTER,0.0108778,4.98,0.9,45.6,150.1,64.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_186,1,INTER,0.0107139,4.98,0.9,45.6,150.2,61.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_187,1,INTER,0.0105582,4.98,0.9,45.6,150.3,58.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_188,1,INTER,0.0105401,4.98,0.9,45.6,150.4,55.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_189,1,INTER,0.0107213,4.98,0.9,45.6,150.5,51.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_190,1,INTER,0.0111046,4.98,0.9,45.6,150.6,48.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_191,1,INTER,0.011658,4.98,0.9,45.6,150.7,45.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_192,1,INTER,0.0123243,4.98,0.9,45.6,150.8,43.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_193,1,INTER,0.0130099,4.98,0.9,45.6,150.9,40.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_194,1,INTER,0.0135937,4.98,0.9,45.6,151.0,38.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_195,1,INTER,0.0139624,4.98,0.9,45.6,151.1,35.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_196,1,INTER,0.0140725,4.98,0.9,45.6,151.2,33.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_197,1,INTER,0.01398,4.98,0.9,45.6,151.3,30.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_198,1,INTER,0.0138071,4.98,0.9,45.6,151.4,28.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_199,1,INTER,0.0136546,4.98,0.9,45.6,151.5,26.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_200,1,INTER,0.0135289,4.98,0.9,45.6,151.6,24.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_201,1,INTER,0.0133539,4.98,0.9,45.6,151.7,21.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_202,1,INTER,0.0130632,4.98,0.9,45.6,151.8,19.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_203,1,INTER,0.0126704,4.98,0.9,45.6,151.9,19.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_204,1,INTER,0.0122513,4.98,0.9,45.6,152.0,18.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_205,1,INTER,0.0118746,4.98,0.9,45.6,152.1,16.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_206,1,INTER,0.0115566,4.98,0.9,45.6,152.2,15.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_219,1,INTER,0.011541,4.98,0.9,45.5,149.9,65.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_220,1,INTER,0.0119781,4.98,0.9,45.5,150.0,61.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_221,1,INTER,0.0121058,4.98,0.9,45.5,150.1,57.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_222,1,INTER,0.0119964,4.98,0.9,45.5,150.2,54.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_223,1,INTER,0.011799,4.98,0.9,45.5,150.3,51.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_224,1,INTER,0.0116731,4.98,0.9,45.5,150.4,49.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_225,1,INTER,0.0117424,4.98,0.9,45.5,150.5,45.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_226,1,INTER,0.012078,4.98,0.9,45.5,150.6,42.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_227,1,INTER,0.0126846,4.98,0.9,45.5,150.7,40.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_228,1,INTER,0.0134811,4.98,0.9,45.5,150.8,38.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_229,1,INTER,0.0143003,4.98,0.9,45.5,150.9,36.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_230,1,INTER,0.0149431,4.98,0.9,45.5,151.0,33.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_231,1,INTER,0.0152537,4.98,0.9,45.5,151.1,31.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_232,1,INTER,0.0151936,4.98,0.9,45.5,151.2,29.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_233,1,INTER,0.0148536,4.98,0.9,45.5,151.3,26.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_234,1,INTER,0.0144062,4.98,0.9,45.5,151.4,24.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_235,1,INTER,0.014003,4.98,0.9,45.5,151.5,22.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_236,1,INTER,0.0136844,4.98,0.9,45.5,151.6,21.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_237,1,INTER,0.0133756,4.98,0.9,45.5,151.7,19.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_238,1,INTER,0.0129827,4.98,0.9,45.5,151.8,18.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_239,1,INTER,0.0124891,4.98,0.9,45.5,151.9,17.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_240,1,INTER,0.0119612,4.98,0.9,45.5,152.0,16.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_241,1,INTER,0.0114796,4.98,0.9,45.5,152.1,15.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_242,1,INTER,0.0110791,4.98,0.9,45.5,152.2,14.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_243,1,INTER,0.0107446,4.98,0.9,45.5,152.3,13.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_256,1,INTER,0.0105091,4.98,0.9,45.4,149.7,64.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_257,1,INTER,0.0113369,4.98,0.9,45.4,149.8,61.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_258,1,INTER,0.0120788,4.98,0.9,45.4,149.9,58.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_259,1,INTER,0.0126045,4.98,0.9,45.4,150.0,54.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_260,1,INTER,0.0128454,4.98,0.9,45.4,150.1,51.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_261,1,INTER,0.0128374,4.98,0.9,45.4,150.2,48.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_262,1,INTER,0.0127034,4.98,0.9,45.4,150.3,46.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_263,1,INTER,0.0125966,4.98,0.9,45.4,150.4,43.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTER_1_264,1,INTER,0.0126501,4.98,0.9,45.4,150.5,40.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
