Code,Zone,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CPCF_INTRA_10_1,10,INTRA,0.000971576,4.98,0.9,46.6,150.9,148.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_2,10,INTRA,0.0010486,4.98,0.9,46.6,151.0,143.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_3,10,INTRA,0.00117358,4.98,0.9,46.6,151.1,137.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_4,10,INTRA,0.000936665,4.98,0.9,46.5,150.7,151.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_5,10,INTRA,0.000972981,4.98,0.9,46.5,150.8,145.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_6,10,INTRA,0.0010388,4.98,0.9,46.5,150.9,139.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_7,10,INTRA,0.00115294,4.98,0.9,46.5,151.0,133.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_8,10,INTRA,0.00133588,4.98,0.9,46.5,151.1,127.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_9,10,INTRA,0.001603,4.98,0.9,46.5,151.2,122.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_10,10,INTRA,0.000951793,4.98,0.9,46.4,150.5,152.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_11,10,INTRA,0.000980994,4.98,0.9,46.4,150.6,147.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_12,10,INTRA,0.00101833,4.98,0.9,46.4,150.7,141.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_13,10,INTRA,0.00107203,4.98,0.9,46.4,150.8,135.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_14,10,INTRA,0.00115935,4.98,0.9,46.4,150.9,129.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_15,10,INTRA,0.00130581,4.98,0.9,46.4,151.0,123.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_16,10,INTRA,0.0015376,4.98,0.9,46.4,151.1,118.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_17,10,INTRA,0.00186841,4.98,0.9,46.4,151.2,112.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_18,10,INTRA,0.00228646,4.98,0.9,46.4,151.3,106.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
