Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CPHL_INTER_1_1,INTER,0.000194965,4.98,0.9,35.6,136.8,57.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_2,INTER,0.000181071,4.98,0.9,35.6,136.9,59.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_3,INTER,0.000175284,4.98,0.9,35.6,137.0,60.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_4,INTER,0.00017737,4.98,0.9,35.6,137.1,61.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_5,INTER,0.000184698,4.98,0.9,35.6,137.2,62.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_6,INTER,0.000194438,4.98,0.9,35.6,137.3,64.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_7,INTER,0.000141723,4.98,0.9,35.5,135.9,78.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_8,INTER,0.000165855,4.98,0.9,35.5,136.0,73.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_9,INTER,0.000194171,4.98,0.9,35.5,136.1,68.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_10,INTER,0.00021916,4.98,0.9,35.5,136.2,63.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_11,INTER,0.00023525,4.98,0.9,35.5,136.3,59.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_12,INTER,0.000243568,4.98,0.9,35.5,136.4,55.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_13,INTER,0.000247885,4.98,0.9,35.5,136.5,52.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_14,INTER,0.000248307,4.98,0.9,35.5,136.6,50.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_15,INTER,0.000242963,4.98,0.9,35.5,136.7,48.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_16,INTER,0.000233315,4.98,0.9,35.5,136.8,49.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_17,INTER,0.000224134,4.98,0.9,35.5,136.9,51.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_18,INTER,0.000219563,4.98,0.9,35.5,137.0,53.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_19,INTER,0.000221007,4.98,0.9,35.5,137.1,55.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_20,INTER,0.00022784,4.98,0.9,35.5,137.2,57.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_21,INTER,0.000238367,4.98,0.9,35.5,137.3,59.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_22,INTER,0.000249255,4.98,0.9,35.5,137.4,60.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_23,INTER,0.000122165,4.98,0.9,35.4,135.8,80.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_24,INTER,0.000136279,4.98,0.9,35.4,135.9,74.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_25,INTER,0.000157415,4.98,0.9,35.4,136.0,69.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_26,INTER,0.000182391,4.98,0.9,35.4,136.1,64.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_27,INTER,0.000204788,4.98,0.9,35.4,136.2,59.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_28,INTER,0.000220529,4.98,0.9,35.4,136.3,55.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_29,INTER,0.000231746,4.98,0.9,35.4,136.4,51.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_30,INTER,0.000242814,4.98,0.9,35.4,136.5,48.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_31,INTER,0.000254766,4.98,0.9,35.4,136.6,44.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_32,INTER,0.000265401,4.98,0.9,35.4,136.7,41.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_33,INTER,0.000272404,4.98,0.9,35.4,136.8,40.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_34,INTER,0.000275156,4.98,0.9,35.4,136.9,43.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_35,INTER,0.000275075,4.98,0.9,35.4,137.0,46.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_36,INTER,0.000275401,4.98,0.9,35.4,137.1,49.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_37,INTER,0.000279914,4.98,0.9,35.4,137.2,51.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTER_1_38,INTER,0.000289474,4.98,0.9,35.4,137.3,53.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
