Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CPHL_INTRA_1_1,INTRA,0.000584894,4.98,0.9,35.6,136.8,67.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_2,INTRA,0.000543214,4.98,0.9,35.6,136.9,69.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_3,INTRA,0.000525852,4.98,0.9,35.6,137.0,70.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_4,INTRA,0.000532111,4.98,0.9,35.6,137.1,71.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_5,INTRA,0.000554094,4.98,0.9,35.6,137.2,72.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_6,INTRA,0.000583314,4.98,0.9,35.6,137.3,74.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_7,INTRA,0.00042517,4.98,0.9,35.5,135.9,88.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_8,INTRA,0.000497567,4.98,0.9,35.5,136.0,83.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_9,INTRA,0.000582513,4.98,0.9,35.5,136.1,78.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_10,INTRA,0.000657482,4.98,0.9,35.5,136.2,73.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_11,INTRA,0.00070575,4.98,0.9,35.5,136.3,69.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_12,INTRA,0.000730706,4.98,0.9,35.5,136.4,65.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_13,INTRA,0.000743655,4.98,0.9,35.5,136.5,62.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_14,INTRA,0.000744922,4.98,0.9,35.5,136.6,60.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_15,INTRA,0.000728889,4.98,0.9,35.5,136.7,58.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_16,INTRA,0.000699945,4.98,0.9,35.5,136.8,59.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_17,INTRA,0.000672402,4.98,0.9,35.5,136.9,61.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_18,INTRA,0.000658688,4.98,0.9,35.5,137.0,63.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_19,INTRA,0.000663021,4.98,0.9,35.5,137.1,65.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_20,INTRA,0.000683522,4.98,0.9,35.5,137.2,67.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_21,INTRA,0.000715103,4.98,0.9,35.5,137.3,69.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_22,INTRA,0.000747765,4.98,0.9,35.5,137.4,70.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_23,INTRA,0.000366496,4.98,0.9,35.4,135.8,90.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_24,INTRA,0.000408836,4.98,0.9,35.4,135.9,84.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_25,INTRA,0.000472245,4.98,0.9,35.4,136.0,79.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_26,INTRA,0.000547173,4.98,0.9,35.4,136.1,74.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_27,INTRA,0.000614365,4.98,0.9,35.4,136.2,69.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_28,INTRA,0.000661587,4.98,0.9,35.4,136.3,65.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_29,INTRA,0.000695237,4.98,0.9,35.4,136.4,61.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_30,INTRA,0.000728441,4.98,0.9,35.4,136.5,58.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_31,INTRA,0.0007643,4.98,0.9,35.4,136.6,54.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_32,INTRA,0.000796203,4.98,0.9,35.4,136.7,51.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_33,INTRA,0.000817213,4.98,0.9,35.4,136.8,50.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_34,INTRA,0.000825467,4.98,0.9,35.4,136.9,53.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_35,INTRA,0.000825225,4.98,0.9,35.4,137.0,56.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_36,INTRA,0.000826202,4.98,0.9,35.4,137.1,59.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_37,INTRA,0.000839741,4.98,0.9,35.4,137.2,61.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_38,INTRA,0.000868425,4.98,0.9,35.4,137.3,63.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_39,INTRA,0.000896059,4.98,0.9,35.4,137.4,63.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
