Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CYNG_INTER_1_1,INTER,0.00753533,4.98,0.9,25.5,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_2,INTER,0.0075356,4.98,0.9,25.5,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_3,INTER,0.00753563,4.98,0.9,25.5,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_4,INTER,0.00753536,4.98,0.9,25.5,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_5,INTER,0.00753491,4.98,0.9,25.5,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_6,INTER,0.00753453,4.98,0.9,25.5,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_7,INTER,0.00753432,4.98,0.9,25.5,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_8,INTER,0.00753424,4.98,0.9,25.5,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_9,INTER,0.00755144,4.98,0.9,25.4,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_10,INTER,0.00755233,4.98,0.9,25.4,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_11,INTER,0.00755186,4.98,0.9,25.4,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_12,INTER,0.0075495,4.98,0.9,25.4,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_13,INTER,0.00754608,4.98,0.9,25.4,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_14,INTER,0.00754316,4.98,0.9,25.4,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_15,INTER,0.00754146,4.98,0.9,25.4,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_16,INTER,0.00754072,4.98,0.9,25.4,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_17,INTER,0.00761946,4.98,0.9,25.3,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_18,INTER,0.00762146,4.98,0.9,25.3,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_19,INTER,0.00761637,4.98,0.9,25.3,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_20,INTER,0.00760155,4.98,0.9,25.3,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_21,INTER,0.00758149,4.98,0.9,25.3,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_22,INTER,0.00756441,4.98,0.9,25.3,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_23,INTER,0.00755423,4.98,0.9,25.3,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_24,INTER,0.00754953,4.98,0.9,25.3,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_25,INTER,0.00791385,4.98,0.9,25.2,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_26,INTER,0.00790688,4.98,0.9,25.2,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_27,INTER,0.00787317,4.98,0.9,25.2,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_28,INTER,0.00780347,4.98,0.9,25.2,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_29,INTER,0.00771525,4.98,0.9,25.2,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_30,INTER,0.00764039,4.98,0.9,25.2,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_31,INTER,0.00759438,4.98,0.9,25.2,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_32,INTER,0.00757171,4.98,0.9,25.2,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_33,INTER,0.00890364,4.98,0.9,25.1,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_34,INTER,0.00882352,4.98,0.9,25.1,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_35,INTER,0.00866922,4.98,0.9,25.1,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_36,INTER,0.00842189,4.98,0.9,25.1,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_37,INTER,0.0081323,4.98,0.9,25.1,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_38,INTER,0.00788838,4.98,0.9,25.1,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_39,INTER,0.00773252,4.98,0.9,25.1,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_40,INTER,0.00764896,4.98,0.9,25.1,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_41,INTER,0.0112884,4.98,0.9,25.0,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_42,INTER,0.0109611,4.98,0.9,25.0,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_43,INTER,0.0104731,4.98,0.9,25.0,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
