Code,Code1,Zone,Mesh ID,Process,Magnitude,Shape
CJPS_CRUST_1_849,CJPS_CRUST,1,849.0,FRQ(0.000974863),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.2 40.1)
CJPS_CRUST_1_848,CJPS_CRUST,1,848.0,FRQ(0.00108072),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 40.1)
CJPS_CRUST_1_845,CJPS_CRUST,1,845.0,FRQ(0.00114074),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.8 40.1)
CJPS_CRUST_1_844,CJPS_CRUST,1,844.0,FRQ(0.00102743),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.7 40.1)
CJPS_CRUST_1_847,CJPS_CRUST,1,847.0,FRQ(0.0011652),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139 40.1)
CJPS_CRUST_1_846,CJPS_CRUST,1,846.0,FRQ(0.00119175),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.9 40.1)
CJPS_CRUST_1_841,CJPS_CRUST,1,841.0,FRQ(0.000700793),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.4 40.1)
CJPS_CRUST_1_840,CJPS_CRUST,1,840.0,FRQ(0.000642801),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.3 40.1)
CJPS_CRUST_1_843,CJPS_CRUST,1,843.0,FRQ(0.000894823),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.6 40.1)
CJPS_CRUST_1_842,CJPS_CRUST,1,842.0,FRQ(0.000781957),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.5 40.1)
CJPS_CRUST_1_159,CJPS_CRUST,1,159.0,FRQ(0.000399494),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140 44.9)
CJPS_CRUST_1_158,CJPS_CRUST,1,158.0,FRQ(0.000401039),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.9 44.9)
CJPS_CRUST_1_157,CJPS_CRUST,1,157.0,FRQ(0.000401745),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.8 44.9)
CJPS_CRUST_1_156,CJPS_CRUST,1,156.0,FRQ(0.000401626),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.7 44.9)
CJPS_CRUST_1_155,CJPS_CRUST,1,155.0,FRQ(0.000400954),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.6 44.9)
CJPS_CRUST_1_154,CJPS_CRUST,1,154.0,FRQ(0.000399968),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.5 44.9)
CJPS_CRUST_1_153,CJPS_CRUST,1,153.0,FRQ(0.000398835),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.4 44.9)
CJPS_CRUST_1_152,CJPS_CRUST,1,152.0,FRQ(0.000397721),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.3 44.9)
CJPS_CRUST_1_151,CJPS_CRUST,1,151.0,FRQ(0.000399566),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.8 45)
CJPS_CRUST_1_150,CJPS_CRUST,1,150.0,FRQ(0.00040123),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.7 45)
CJPS_CRUST_1_1074,CJPS_CRUST,1,1074.0,FRQ(0.000492174),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.7 38.8)
CJPS_CRUST_1_1075,CJPS_CRUST,1,1075.0,FRQ(0.00048226),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.8 38.8)
CJPS_CRUST_1_1076,CJPS_CRUST,1,1076.0,FRQ(0.000471827),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.9 38.8)
CJPS_CRUST_1_1077,CJPS_CRUST,1,1077.0,FRQ(0.000465677),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139 38.8)
CJPS_CRUST_1_1070,CJPS_CRUST,1,1070.0,FRQ(0.000492208),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.3 38.8)
CJPS_CRUST_1_1071,CJPS_CRUST,1,1071.0,FRQ(0.00049471),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.4 38.8)
CJPS_CRUST_1_1072,CJPS_CRUST,1,1072.0,FRQ(0.000497782),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.5 38.8)
CJPS_CRUST_1_1073,CJPS_CRUST,1,1073.0,FRQ(0.00049765),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.6 38.8)
CJPS_CRUST_1_1078,CJPS_CRUST,1,1078.0,FRQ(0.000466177),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 38.8)
CJPS_CRUST_1_1079,CJPS_CRUST,1,1079.0,FRQ(0.000471554),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.2 38.8)
CJPS_CRUST_1_221,CJPS_CRUST,1,221.0,FRQ(0.000553665),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 44.5)
CJPS_CRUST_1_220,CJPS_CRUST,1,220.0,FRQ(0.000406694),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.8 44.6)
CJPS_CRUST_1_222,CJPS_CRUST,1,222.0,FRQ(0.000532377),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.2 44.5)
CJPS_CRUST_1_225,CJPS_CRUST,1,225.0,FRQ(0.000442735),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.5 44.5)
CJPS_CRUST_1_224,CJPS_CRUST,1,224.0,FRQ(0.000471639),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.4 44.5)
CJPS_CRUST_1_227,CJPS_CRUST,1,227.0,FRQ(0.000408006),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.7 44.5)
CJPS_CRUST_1_226,CJPS_CRUST,1,226.0,FRQ(0.00042122),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.6 44.5)
CJPS_CRUST_1_229,CJPS_CRUST,1,229.0,FRQ(0.000398543),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.9 44.5)
CJPS_CRUST_1_1131,CJPS_CRUST,1,1131.0,FRQ(0.000587009),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.3 38.4)
CJPS_CRUST_1_1130,CJPS_CRUST,1,1130.0,FRQ(0.000589308),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.2 38.4)
CJPS_CRUST_1_1133,CJPS_CRUST,1,1133.0,FRQ(0.000642218),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.5 38.4)
CJPS_CRUST_1_1132,CJPS_CRUST,1,1132.0,FRQ(0.000607132),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.4 38.4)
