Code,Code1,Zone,Mesh ID,Process,Magnitude,Shape
CURA_CRUST_1_12,CURA_CRUST,1,12.0,FRQ(0.00143116),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.6 42.5)
CURA_CRUST_1_13,CURA_CRUST,1,13.0,FRQ(0.00143588),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.7 42.5)
CURA_CRUST_1_11,CURA_CRUST,1,11.0,FRQ(0.0013894),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.5 42.5)
CURA_CRUST_1_14,CURA_CRUST,1,14.0,FRQ(0.00139747),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.8 42.5)
CURA_CRUST_1_15,CURA_CRUST,1,15.0,FRQ(0.00132589),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.9 42.5)
CURA_CRUST_1_42,CURA_CRUST,1,42.0,FRQ(0.00241474),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.5 42.1)
CURA_CRUST_1_19,CURA_CRUST,1,19.0,FRQ(0.00159155),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.5 42.4)
CURA_CRUST_1_10,CURA_CRUST,1,10.0,FRQ(0.00132781),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.4 42.5)
CURA_CRUST_1_16,CURA_CRUST,1,16.0,FRQ(0.0012398),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (143 42.5)
CURA_CRUST_1_30,CURA_CRUST,1,30.0,FRQ(0.00156162),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.8 42.3)
CURA_CRUST_1_31,CURA_CRUST,1,31.0,FRQ(0.00137877),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.9 42.3)
CURA_CRUST_1_32,CURA_CRUST,1,32.0,FRQ(0.00122353),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (143 42.3)
CURA_CRUST_1_33,CURA_CRUST,1,33.0,FRQ(0.00205364),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.3 42.2)
CURA_CRUST_1_34,CURA_CRUST,1,34.0,FRQ(0.00217557),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.4 42.2)
CURA_CRUST_1_35,CURA_CRUST,1,35.0,FRQ(0.00223356),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.5 42.2)
CURA_CRUST_1_36,CURA_CRUST,1,36.0,FRQ(0.00218829),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.6 42.2)
CURA_CRUST_1_37,CURA_CRUST,1,37.0,FRQ(0.00202963),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.7 42.2)
CURA_CRUST_1_38,CURA_CRUST,1,38.0,FRQ(0.00179253),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.8 42.2)
CURA_CRUST_1_39,CURA_CRUST,1,39.0,FRQ(0.00153891),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.9 42.2)
CURA_CRUST_1_41,CURA_CRUST,1,41.0,FRQ(0.00231063),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.4 42.1)
CURA_CRUST_1_43,CURA_CRUST,1,43.0,FRQ(0.0024164),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.6 42.1)
CURA_CRUST_1_45,CURA_CRUST,1,45.0,FRQ(0.00206857),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.3 42)
CURA_CRUST_1_44,CURA_CRUST,1,44.0,FRQ(0.0022876),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.7 42.1)
CURA_CRUST_1_47,CURA_CRUST,1,47.0,FRQ(0.00239146),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.5 42)
CURA_CRUST_1_46,CURA_CRUST,1,46.0,FRQ(0.00224498),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.4 42)
CURA_CRUST_1_1,CURA_CRUST,1,1.0,FRQ(0.00114074),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.3 42.6)
CURA_CRUST_1_2,CURA_CRUST,1,2.0,FRQ(0.00121045),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.4 42.6)
CURA_CRUST_1_3,CURA_CRUST,1,3.0,FRQ(0.00129283),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.5 42.6)
CURA_CRUST_1_4,CURA_CRUST,1,4.0,FRQ(0.00137229),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.6 42.6)
CURA_CRUST_1_5,CURA_CRUST,1,5.0,FRQ(0.00142374),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.7 42.6)
CURA_CRUST_1_6,CURA_CRUST,1,6.0,FRQ(0.00142715),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.8 42.6)
CURA_CRUST_1_7,CURA_CRUST,1,7.0,FRQ(0.00138192),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.9 42.6)
CURA_CRUST_1_18,CURA_CRUST,1,18.0,FRQ(0.0015509),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.4 42.4)
CURA_CRUST_1_40,CURA_CRUST,1,40.0,FRQ(0.00215196),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.3 42.1)
CURA_CRUST_1_23,CURA_CRUST,1,23.0,FRQ(0.00131058),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.9 42.4)
CURA_CRUST_1_22,CURA_CRUST,1,22.0,FRQ(0.00142678),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.8 42.4)
CURA_CRUST_1_21,CURA_CRUST,1,21.0,FRQ(0.00152712),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.7 42.4)
CURA_CRUST_1_20,CURA_CRUST,1,20.0,FRQ(0.00158621),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.6 42.4)
CURA_CRUST_1_27,CURA_CRUST,1,27.0,FRQ(0.00190825),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.5 42.3)
CURA_CRUST_1_26,CURA_CRUST,1,26.0,FRQ(0.00187353),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.4 42.3)
CURA_CRUST_1_24,CURA_CRUST,1,24.0,FRQ(0.00120133),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (143 42.4)
CURA_CRUST_1_29,CURA_CRUST,1,29.0,FRQ(0.00173855),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.7 42.3)
CURA_CRUST_1_28,CURA_CRUST,1,28.0,FRQ(0.0018642),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.6 42.3)
CURA_CRUST_1_8,CURA_CRUST,1,8.0,FRQ(0.00130502),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (143 42.6)
CURA_CRUST_1_9,CURA_CRUST,1,9.0,FRQ(0.00126316),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.3 42.5)
CURA_CRUST_1_25,CURA_CRUST,1,25.0,FRQ(0.00178773),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.3 42.3)
CURA_CRUST_1_17,CURA_CRUST,1,17.0,FRQ(0.00148423),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (142.3 42.4)
