Code,Code1,Zone,Mesh ID,Process,Magnitude,Shape
CYNG_INTER_1_46,CYNG_INTER,1,46.0,FRQ(0.00852348),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 25)
CYNG_INTER_1_47,CYNG_INTER,1,47.0,FRQ(0.00812923),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 25)
CYNG_INTER_1_42,CYNG_INTER,1,42.0,FRQ(0.0109611),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 25)
CYNG_INTER_1_43,CYNG_INTER,1,43.0,FRQ(0.0104731),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 25)
CYNG_INTER_1_40,CYNG_INTER,1,40.0,FRQ(0.00764896),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 25.1)
CYNG_INTER_1_41,CYNG_INTER,1,41.0,FRQ(0.0112884),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 25)
CYNG_INTER_1_106,CYNG_INTER,1,106.0,FRQ(0.0387439),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 24.2)
CYNG_INTER_1_107,CYNG_INTER,1,107.0,FRQ(0.0332232),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 24.2)
CYNG_INTER_1_104,CYNG_INTER,1,104.0,FRQ(0.0112745),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 24.3)
CYNG_INTER_1_105,CYNG_INTER,1,105.0,FRQ(0.0413971),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 24.2)
CYNG_INTER_1_102,CYNG_INTER,1,102.0,FRQ(0.0137482),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 24.3)
CYNG_INTER_1_103,CYNG_INTER,1,103.0,FRQ(0.0122439),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 24.3)
CYNG_INTER_1_100,CYNG_INTER,1,100.0,FRQ(0.0209433),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 24.3)
CYNG_INTER_1_101,CYNG_INTER,1,101.0,FRQ(0.0165176),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 24.3)
CYNG_INTER_1_108,CYNG_INTER,1,108.0,FRQ(0.0262301),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 24.2)
CYNG_INTER_1_109,CYNG_INTER,1,109.0,FRQ(0.0202062),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 24.2)
CYNG_INTER_1_78,CYNG_INTER,1,78.0,FRQ(0.0127738),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 24.6)
CYNG_INTER_1_77,CYNG_INTER,1,77.0,FRQ(0.0137307),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 24.6)
CYNG_INTER_1_76,CYNG_INTER,1,76.0,FRQ(0.0151206),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 24.6)
CYNG_INTER_1_75,CYNG_INTER,1,75.0,FRQ(0.0169515),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 24.6)
CYNG_INTER_1_74,CYNG_INTER,1,74.0,FRQ(0.0186839),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 24.6)
CYNG_INTER_1_73,CYNG_INTER,1,73.0,FRQ(0.0197954),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 24.6)
CYNG_INTER_1_72,CYNG_INTER,1,72.0,FRQ(0.0104077),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 24.7)
CYNG_INTER_1_71,CYNG_INTER,1,71.0,FRQ(0.0114343),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 24.7)
CYNG_INTER_1_70,CYNG_INTER,1,70.0,FRQ(0.0125513),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 24.7)
CYNG_INTER_1_155,CYNG_INTER,1,155.0,FRQ(0.010057),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 23.6)
CYNG_INTER_1_154,CYNG_INTER,1,154.0,FRQ(0.0102359),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 23.6)
CYNG_INTER_1_157,CYNG_INTER,1,157.0,FRQ(0.010366),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 23.6)
CYNG_INTER_1_156,CYNG_INTER,1,156.0,FRQ(0.0101651),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 23.6)
CYNG_INTER_1_151,CYNG_INTER,1,151.0,FRQ(0.0119614),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 23.7)
CYNG_INTER_1_150,CYNG_INTER,1,150.0,FRQ(0.0128198),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 23.7)
CYNG_INTER_1_153,CYNG_INTER,1,153.0,FRQ(0.0105973),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 23.6)
CYNG_INTER_1_152,CYNG_INTER,1,152.0,FRQ(0.0108407),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 23.7)
CYNG_INTER_1_159,CYNG_INTER,1,159.0,FRQ(0.00985692),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 23.6)
CYNG_INTER_1_158,CYNG_INTER,1,158.0,FRQ(0.0102973),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 23.6)
CYNG_INTER_1_20,CYNG_INTER,1,20.0,FRQ(0.00760155),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 25.3)
CYNG_INTER_1_21,CYNG_INTER,1,21.0,FRQ(0.00758149),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 25.3)
CYNG_INTER_1_22,CYNG_INTER,1,22.0,FRQ(0.00756441),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 25.3)
CYNG_INTER_1_23,CYNG_INTER,1,23.0,FRQ(0.00755423),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 25.3)
CYNG_INTER_1_24,CYNG_INTER,1,24.0,FRQ(0.00754953),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 25.3)
