Code1,Zone,Nb Mesh,YearFreq (avr),MinMag (avr),b_value (avr),MaxMag (avr),Shape
CPHL_INTRA,5,1747,0.00135747172181,4.98,0.9,7.32,"POLYGON ((123 23.3, 123 24.4, 131.1 31.1, 131.3 31.2, 131.6 31.2, 131.9 31.1, 132.5 30.9, 132.5 30.8, 132.3 30.4, 131.8 29.4, 131.6 29.1, 131.1 28.4, 130.8 28, 130.3 27.4, 128.3 25.4, 127.9 25, 127.8 24.9, 127.1 24.4, 126.1 23.7, 125.9 23.6, 125.2 23.4, 124.6 23.3, 123 23.3))"
CPHL_INTRA,3,98,0.00319783908163,4.98,0.9,7.32,"POLYGON ((132.1 33, 131.9 33.2, 131.6 33.6, 131.8 33.9, 131.9 34, 132.8 34.4, 132.8 33.7, 132.3 33.2, 132.1 33))"
CPHL_INTRA,1,1374,0.000666092638282,4.98,0.9,7.32,"POLYGON ((133.3 31.6, 133.2 31.7, 133.1 31.8, 132.7 32.4, 132.3 33, 132.3 33.1, 132.9 34.4, 135.9 35.5, 136.8 35.6, 137.3 35.6, 138.4 35.3, 138.6 35.2, 138.6 34.5, 138.5 34.3, 138.4 34.1, 138.3 34, 138 33.7, 137.5 33.3, 136 32.6, 133.4 31.6, 133.3 31.6))"
CPHL_INTRA,4,940,0.0019981011766,4.98,0.9,7.32,"POLYGON ((123 24.5, 123 24.9, 123.1 25, 131.6 33.5, 131.8 33.3, 132 33, 132 32.9, 131.4 31.3, 129.5 28.5, 128.4 27.3, 125.7 25.2, 125.3 25, 124.3 24.7, 123.8 24.6, 123.2 24.5, 123 24.5))"
CPHL_INTRA,6,223,0.00495331529148,4.98,0.9,7.32,"POLYGON ((139.7 34.7, 139.1 35.3, 139 35.4, 139 35.7, 139.2 35.9, 139.3 36, 139.7 36.2, 140.2 36.3, 140.5 36.3, 140.7 36.2, 140.8 35.9, 140.8 35.5, 140.6 35.2, 140.5 35.1, 139.9 34.7, 139.7 34.7))"
CPHL_INTRA,7,162,0.000530008604938,4.98,0.9,7.32,"POLYGON ((140.9 34.4, 140.3 34.5, 140.1 34.6, 140 34.7, 140.8 36.1, 141 36, 141.3 35.7, 141.4 35.6, 141.6 35.2, 141.7 35, 141.7 34.6, 141.4 34.5, 141.1 34.4, 140.9 34.4))"
CPHL_INTRA,2,228,0.00148954439474,4.98,0.9,7.32,"POLYGON ((132.3 31, 131.7 31.2, 131.5 31.3, 131.5 31.6, 131.6 32, 131.7 32.3, 132 32.8, 132.2 33, 132.3 32.9, 132.4 32.8, 132.8 32.2, 133.2 31.6, 133.2 31.5, 133.1 31.4, 132.9 31.2, 132.8 31.1, 132.6 31, 132.3 31))"
CPHL_INTER,5,1747,0.00271901938752,4.98,0.9,7.32,"POLYGON ((123 23.3, 123 24.4, 131.1 31.1, 131.3 31.2, 131.6 31.2, 131.9 31.1, 132.5 30.9, 132.5 30.8, 132.3 30.4, 131.8 29.4, 131.6 29.1, 131.1 28.4, 130.8 28, 130.3 27.4, 128.3 25.4, 127.9 25, 127.8 24.9, 127.1 24.4, 126.1 23.7, 125.9 23.6, 125.2 23.4, 124.6 23.3, 123 23.3))"
CPHL_INTER,1,1374,0.000222030796215,4.98,0.9,7.32,"POLYGON ((133.3 31.6, 133.2 31.7, 133.1 31.8, 132.7 32.4, 132.3 33, 132.3 33.1, 132.9 34.4, 135.9 35.5, 136.8 35.6, 137.3 35.6, 138.4 35.3, 138.6 35.2, 138.6 34.5, 138.5 34.3, 138.4 34.1, 138.3 34, 138 33.7, 137.5 33.3, 136 32.6, 133.4 31.6, 133.3 31.6))"
CPHL_INTER,6,223,0.00123832804933,4.98,0.9,7.32,"POLYGON ((139.7 34.7, 139.1 35.3, 139 35.4, 139 35.7, 139.2 35.9, 139.3 36, 139.7 36.2, 140.2 36.3, 140.5 36.3, 140.7 36.2, 140.8 35.9, 140.8 35.5, 140.6 35.2, 140.5 35.1, 139.9 34.7, 139.7 34.7))"
