Code,Proba
CGR5_25_8697,0.000801794
CGR5_25_8696,0.000802024
CGR5_25_8695,0.000801455
CGR5_25_8694,0.000800228
CGR5_25_8693,0.000799268
CGR5_25_8692,0.000799391
CGR5_25_8691,0.000800656
CGR5_25_8690,0.000802669
CGR5_18_6598,0.000970108
CGR5_18_6599,0.000894002
CGR5_18_6592,0.000959468
CGR5_18_6593,0.00105366
CGR5_18_6596,0.00111606
CGR5_18_6597,0.00104946
CGR5_18_6594,0.0011248
CGR5_18_6595,0.00114704
CPCF_INTRA_13_5633,0.00138702
CPCF_INTRA_13_5632,0.000939642
CPCF_INTRA_13_5631,0.000606633
CPCF_INTRA_13_5630,0.000438927
CPCF_INTRA_13_5635,0.00193223
CPCF_INTRA_13_5634,0.00177511
CPHL_INTRA_4_1299,0.00241804
CPCF_INTRA_6_3849,0.000613244
CPCF_INTRA_6_3848,0.000575905
CPCF_INTRA_6_3847,0.000523434
CPCF_INTRA_6_3846,0.000467244
CIZU_3_1602,0.00043554
CIZU_3_1603,0.000524849
CIZU_3_1600,0.000391887
CIZU_3_1601,0.000401179
CIZU_3_1606,0.000933278
CIZU_3_1607,0.000855395
CIZU_3_1604,0.000682508
CIZU_3_1605,0.000855368
CIZU_3_1608,0.00068254
CIZU_3_1609,0.000524961
CPHL_INTRA_3_317,0.00214604
CGR5_5_1859,0.000356489
CGR5_5_1858,0.000385925
CPCF_INTRA_1_266,0.00450656
CPCF_INTRA_1_267,0.00475963
CPCF_INTRA_1_264,0.0042167
CPCF_INTRA_1_265,0.00431708
CPCF_INTRA_1_262,0.00423446
CPCF_INTRA_1_263,0.00419887
CPCF_INTRA_1_260,0.00428179
CPCF_INTRA_1_261,0.00427912
CPHL_INTRA_1_832,0.000411067
CPHL_INTRA_1_833,0.000362301
CPCF_INTRA_1_1080,0.00356937
CPCF_INTRA_1_1081,0.00351215
CPCF_INTRA_1_1082,0.00344052
CGR5_15_6849,0.000677108
CGR5_15_6848,0.000687673
CGR5_15_6843,0.000660125
CGR5_15_6842,0.000731586
CGR5_15_6841,0.00080927
CGR5_15_6840,0.000853838
CGR5_15_6847,0.00067441
CGR5_15_6846,0.000645674
CGR5_15_6845,0.000621211
CGR5_15_6844,0.000621848
CGR5_6_1122,0.000243586
CGR5_6_1123,0.000251465
CGR5_6_1120,0.000240786
CGR5_6_1121,0.000240659
CGR5_25_9647,0.000816449
CGR5_25_9646,0.000816042
CGR5_25_9645,0.000815925
CGR5_25_9644,0.000815889
CGR5_25_9643,0.000815879
CGR5_25_9642,0.000815877
CGR5_25_9641,0.00131398
CGR5_25_9640,0.00153561
CGR5_25_9649,0.000830202
CGR5_25_9648,0.000818659
CPCF_INTER_4_3099,0.0104221
CPCF_INTRA_13_7093,0.000362602
CPCF_INTRA_13_7092,0.000349581
CPCF_INTRA_13_7095,0.000438353
CPCF_INTRA_13_7094,0.000391175
CPCF_INTRA_13_7097,0.000515671
CPCF_INTRA_13_7096,0.000489881
CPCF_INTRA_10_470,0.00250388
CPCF_INTRA_10_471,0.00278561
CPCF_INTRA_10_472,0.00312513
CPCF_INTRA_10_473,0.00354205
CPCF_INTRA_10_474,0.00406257
CGR5_23_6064,0.000307063
CPCF_INTER_3_3137,0.0109036
CPHL_INTER_5_2722,0.0018333
CPCF_INTER_3_3134,0.0125716
CPHL_INTRA_1_952,0.00100897
CGR5_23_6067,0.000334089
CGR5_23_6060,0.000266166
CGR5_23_6061,0.000267934
CGR5_23_6062,0.000272425
CPCF_INTER_3_3131,0.0182943
CGR5_25_8990,0.000804833
CGR5_25_8991,0.000802724
CGR5_25_8992,0.000801734
CGR5_25_8993,0.000801376
CGR5_25_8994,0.000801279
CGR5_25_8995,0.00080126
CGR5_25_8996,0.000801257
CGR5_25_8997,0.000801257
CGR5_25_8998,0.000801257
CGR5_25_8999,0.000801257
CGR5_23_5618,0.000246626
CGR5_3_529,0.000270547
CGR5_3_528,0.000270983
CGR5_7_5015,0.000330665
CGR5_7_5014,0.000335395
CGR5_7_5017,0.000312415
CGR5_7_5016,0.000321327
CGR5_7_5011,0.000341179
CGR5_7_5010,0.000359438
CGR5_7_5013,0.000334707
