,lat,lon
0,34.139,142.575
1,30.997,142.887
2,30.647,142.948
3,30.331,143.038
4,29.961,143.198
5,29.641,143.306
6,29.341,143.405
7,28.987,143.552
8,28.617,143.667
9,28.207,143.779
10,27.871,143.863
11,33.802,142.591
12,27.483,143.855
13,27.144,143.827
14,26.748,143.803
15,26.411,143.737
16,26.057,143.67
17,25.773,143.609
18,25.451,143.602
19,25.116,143.672
20,24.792,143.826
21,34.139,142.975
22,33.487,142.661
23,33.802,142.991
24,33.487,143.061
25,33.142,143.13
26,32.747,143.217
27,32.396,143.292
28,32.032,143.282
29,31.717,143.293
30,31.337,143.305
31,30.997,143.287
32,30.647,143.348
33,33.142,142.73
34,30.331,143.438
35,29.961,143.598
36,29.641,143.706
37,29.341,143.805
38,28.987,143.952
39,28.617,144.067
40,28.207,144.179
41,27.871,144.263
42,27.483,144.255
43,27.144,144.227
44,32.747,142.817
45,26.748,144.203
46,26.411,144.137
47,26.057,144.07
48,25.773,144.009
49,25.451,144.002
50,25.116,144.072
51,24.792,144.226
52,32.396,142.892
53,32.032,142.882
54,31.717,142.893
55,31.337,142.905
56,34.439,142.776
57,26.48,144.034
58,25.726,143.727
59,33.556,142.806
60,32.658,143.059
61,31.806,143.051
62,30.941,143.189
63,30.071,143.498
64,29.244,143.775
65,28.343,144.13
66,27.299,144.261
