,lat,lon
0,34.488,141.043
1,33.811,140.943
2,26.35,141.99
3,26.183,143.262
4,26.128,142.822
5,26.061,142.373
6,26.049,142.048
7,25.843,143.212
8,25.811,142.743
9,25.721,142.393
10,25.691,141.983
11,25.501,143.093
12,33.561,141.983
13,25.481,142.793
14,25.391,142.443
15,25.341,142.053
16,25.141,142.763
17,25.131,143.063
18,25.031,142.423
19,25.021,142.073
20,24.851,142.773
21,24.811,143.243
22,24.701,142.233
23,33.484,141.801
24,24.691,142.833
25,24.571,143.463
26,33.468,141.438
27,33.461,140.953
28,33.181,142.053
29,33.141,141.773
30,33.112,141.521
31,33.071,140.953
32,32.831,142.183
33,34.378,141.383
34,32.811,141.843
35,32.721,141.433
36,32.721,141.013
37,32.481,142.193
38,32.411,141.893
39,32.381,141.493
40,32.361,141.083
41,32.131,142.243
42,32.061,141.913
43,32.031,141.553
44,34.354,141.742
45,32.031,141.153
46,31.701,142.263
47,31.701,141.983
48,31.701,141.573
49,31.681,141.223
50,31.361,142.333
51,31.351,141.983
52,31.351,141.683
53,31.291,141.293
54,31.031,142.333
55,34.271,142.013
56,31.021,142.053
57,31.011,141.763
58,30.961,141.353
59,30.701,142.373
60,30.691,142.123
61,30.611,141.833
62,30.601,141.383
63,30.331,142.463
64,30.321,142.193
65,30.281,141.903
66,34.151,140.943
67,30.271,141.453
68,30.031,142.613
69,29.931,142.333
70,29.921,142.033
71,29.921,141.623
72,29.611,142.753
73,29.591,142.463
74,29.591,141.703
75,29.591,142.113
76,29.271,142.883
77,34.118,141.504
78,29.251,142.533
79,29.251,142.123
80,29.251,141.773
81,28.931,143.013
82,28.921,142.673
83,28.901,142.183
84,28.851,141.773
85,28.591,142.813
86,28.591,143.153
87,28.501,142.523
88,33.911,141.923
89,28.491,142.123
90,28.491,141.833
91,28.251,143.223
92,28.251,142.943
93,28.181,142.593
94,28.161,142.253
95,28.141,141.893
96,27.937,143.338
97,27.914,143.082
98,27.798,142.708
99,33.838,141.746
100,27.805,142.326
101,27.811,141.913
102,27.551,143.404
103,27.517,143.126
104,27.413,142.807
105,27.372,142.413
106,27.401,141.913
107,27.263,143.407
108,27.161,143.103
109,27.076,142.791
110,33.824,141.423
111,27.092,142.424
112,27.04,142.006
113,26.843,143.377
114,26.821,143.101
115,26.746,142.8
116,26.763,142.358
117,26.71,141.998
118,26.538,143.295
119,26.437,142.912
120,26.407,142.502
121,34.505,141.353
122,32.221,141.511
123,32.161,141.903
124,32.024,142.285
125,31.49,141.604
126,31.468,141.973
127,31.428,142.256
128,30.751,141.796
129,30.741,142.166
130,30.744,142.426
131,29.959,142.811
132,34.398,141.783
133,29.939,142.449
134,29.903,142.039
135,29.186,143.123
136,29.147,142.718
137,29.126,142.203
138,28.294,142.342
139,28.218,142.996
140,28.228,143.462
141,27.469,142.477
142,27.38,143.075
143,34.347,142.117
144,27.323,143.553
145,26.615,143.299
146,26.668,142.809
147,26.667,142.374
148,25.943,143.014
149,25.925,142.678
150,25.883,142.369
151,25.59,142.3
152,25.561,142.638
153,25.414,143.01
154,33.676,141.399
155,33.627,141.886
156,33.592,142.161
157,32.964,141.442
158,32.898,141.859
159,32.827,142.266
