,lat,lon
0,34.543,140.228
1,31.282,140.574
2,30.93,140.63
3,30.587,140.742
4,30.22,140.779
5,29.848,140.896
6,29.48,140.967
7,29.132,141.013
8,28.777,141.089
9,28.392,141.131
10,28.021,141.199
11,34.179,140.16
12,27.647,141.254
13,27.294,141.262
14,26.907,141.314
15,26.562,141.339
16,26.179,141.358
17,25.799,141.397
18,25.392,141.37
19,25.026,141.328
20,24.669,141.251
21,24.546,141.588
22,33.805,140.142
23,33.442,140.15
24,33.054,140.284
25,32.698,140.32
26,32.351,140.381
27,32.0,140.425
28,31.656,140.521
