,lat,lon
0,35.896,141.331
1,35.316,141.25
2,35.251,141.418
3,35.083,141.482
4,34.912,141.589
5,34.824,141.726
6,34.486,141.719
7,35.087,141.085
8,34.89,141.154
9,34.709,141.194
10,34.543,141.395
11,35.764,141.432
12,34.393,141.385
13,34.509,141.091
14,34.373,141.075
15,34.876,140.876
16,34.647,140.75
17,34.497,140.79
18,34.515,140.536
19,34.36,140.606
20,35.65,141.471
21,35.611,141.565
22,35.568,141.658
23,35.413,141.75
24,35.252,141.815
25,35.112,141.879
26,34.942,141.949
27,35.566,141.73
28,35.275,141.772
29,34.921,141.819
30,34.752,141.886
31,34.349,141.719
32,34.659,141.206
33,34.303,140.941
