,lat,lon
0,36.029,140.671
1,35.722,140.978
2,34.811,140.347
3,34.813,140.447
4,34.813,140.547
5,34.813,140.647
6,34.813,140.747
7,34.807,140.847
8,34.798,140.946
9,34.787,141.047
10,34.778,141.149
11,34.793,141.247
12,35.706,141.096
13,34.772,141.35
14,34.739,141.466
15,34.693,141.619
16,34.745,139.857
17,34.745,139.957
18,34.741,140.055
19,34.728,140.151
20,34.718,140.248
21,34.711,140.347
22,34.713,140.447
23,35.663,140.752
24,34.711,140.547
25,34.711,140.647
26,34.711,140.747
27,34.707,140.847
28,34.7,140.947
29,34.696,141.047
30,34.702,141.147
31,34.693,141.247
32,34.672,141.351
33,34.639,141.466
34,35.648,140.858
35,34.593,141.619
36,34.667,139.97
37,34.652,140.06
38,34.633,140.152
39,34.618,140.248
40,34.615,140.348
41,34.613,140.448
42,34.615,140.548
43,34.618,140.648
44,34.62,140.749
45,35.622,140.978
46,34.622,140.849
47,34.626,140.95
48,34.626,141.05
49,34.626,141.15
50,34.602,141.247
51,34.593,141.347
52,34.572,141.451
53,34.539,141.566
54,34.533,140.152
55,34.522,140.249
56,35.606,141.096
57,34.522,140.349
58,34.524,140.45
59,34.526,140.55
60,34.533,140.652
61,34.541,140.755
62,34.543,140.856
63,34.537,140.954
64,34.537,141.054
65,34.537,141.154
66,34.537,141.254
67,35.593,141.218
68,34.441,140.756
69,34.443,140.856
70,34.437,140.954
71,35.569,140.75
72,35.557,140.854
73,35.533,140.969
74,35.935,140.666
75,35.507,141.094
76,35.493,141.218
77,35.487,141.33
78,35.474,140.749
79,35.463,140.852
80,35.435,140.967
81,35.412,141.089
82,35.398,141.209
83,35.391,141.32
84,35.369,140.65
85,35.935,140.766
86,35.372,140.749
87,35.359,140.854
88,35.339,140.965
89,35.317,141.083
90,35.303,141.201
91,35.298,141.309
92,35.29,141.423
93,35.269,140.55
94,35.269,140.65
95,35.267,140.751
96,35.929,140.871
97,35.259,140.854
98,35.244,140.961
99,35.235,141.068
100,35.22,141.18
101,35.203,141.301
102,35.195,141.414
103,35.176,140.549
104,35.174,140.649
105,35.169,140.75
106,35.167,140.851
107,35.837,140.765
108,35.159,140.954
109,35.143,141.063
110,35.127,141.174
111,35.109,141.293
112,35.1,141.405
113,35.091,141.521
114,35.078,140.448
115,35.082,140.547
116,35.082,140.647
117,35.078,140.748
118,35.829,140.871
119,35.078,140.848
120,35.072,140.95
121,35.057,141.055
122,35.041,141.164
123,35.02,141.28
124,35.004,141.399
125,34.994,141.516
126,34.993,140.246
127,34.991,140.346
128,34.993,140.446
129,35.815,140.984
130,34.996,140.546
131,34.996,140.646
132,34.989,140.747
133,34.985,140.847
134,34.985,140.947
135,34.972,141.05
136,34.948,141.159
137,34.929,141.272
138,34.914,141.387
139,34.906,141.497
140,35.755,140.755
141,34.893,141.618
142,34.902,140.146
143,34.904,140.246
144,34.907,140.346
145,34.911,140.447
146,34.909,140.547
147,34.907,140.646
148,34.902,140.746
149,34.896,140.846
150,34.891,140.947
151,35.737,140.865
152,34.878,141.049
153,34.867,141.152
154,34.841,141.264
155,34.831,141.371
156,34.806,141.497
157,34.793,141.619
158,34.818,139.948
159,34.811,140.047
160,34.807,140.147
161,34.809,140.247
