bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,537882.775729,250224.953213,172708.970615,121617.502708,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15328652772,101.024358868,25.9653297969,166.338176326,2.23252344384,60.6967220673,16.5692350633,98.409898842,1.55802726055,45.0059566139,12.0067857875,73.4100934562,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,377878.14203,215574.189734,21542.8328771,47078.7040811,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05336579821,126.246916868,31.5664668159,199.971507183,0.405062322574,12.6161496175,3.15451084369,19.9836203246,0.885204342791,27.5707460514,6.89372114511,43.6712735551,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,95658932716.2,1165635.35283,230398.699831,1062973.39842,564360.852942,466254.141132,667.324291397,4665.44745149,28503.2224418,82745.2272665,86.7521578816,20734.1969276,59917.3975165,109438.275581,146069.963337,2695.44560059,5187.67488977,23717.1722074,59917.3975165,115907.996244,674.39773567,32838.1188975,82745.2272665,137818.192593,173751.803352,4268.95545667,4.33585548131,134.164525619,33.6225006878,212.409573897,19.9868037742,622.492146923,155.648192013,986.007337763,10.6177358895,329.23216982,82.4477753966,521.322138405,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,457880.45888,232899.571473,97125.9017463,84348.1033947,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38784724325,134.616601895,33.8366901498,212.988897161,1.86425868986,49.1294276099,13.058503101,76.7728038505,1.60472225736,45.5751478058,11.7772995412,71.6735601676,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,268941.387865,125112.476606,86354.4853077,60808.7513542,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912776012074,44.7939867304,10.8765806882,78.1493455513,0.670458297189,27.3177989049,7.09375129359,46.6679158455,0.461978290662,20.1391808691,5.09891850358,34.6859095711,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,161364.832719,75067.4859638,51812.6911846,36485.2508125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559902825588,23.469252294,5.56400897054,41.4361550696,0.405752339132,14.2396116345,3.61009665832,24.6392535131,0.280881647456,10.5184788559,2.59988376065,18.3435169482,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,915760.917759,465799.142947,194251.803493,168696.206789,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79782215805,120.086056509,31.6579161863,192.058395261,2.00308947237,43.6446736949,12.1147397288,69.0345183135,1.73862768006,40.5733644106,10.9722853719,64.5423024575,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,537882.775729,250224.953213,172708.970615,121617.502708,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57486337457,43.0570368008,10.0280373254,69.8301740386,1.11423651654,26.0345887546,6.4838990587,41.5219318126,0.777787307411,19.2567243968,4.6755372906,30.9127722792,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,915760.917759,465799.142947,194251.803493,168696.206789,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39333578941,96.2309733974,22.2269354723,158.549084847,1.43995508127,35.2186732137,8.64435563712,57.2079643297,1.24020867207,32.6241081691,7.76646885093,53.3802535109,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,1.87072111765e+11,2279534.80988,476095.57367,1421270.2676,1034316.84049,911813.92395,447.155720485,2715.3477477,33673.4394624,136153.52901,13.4146716146,7471.7653008,26179.3373906,89443.7771838,190452.676325,224.152959024,2294.77300558,8550.57307716,57683.7457562,152062.227765,68.8431901675,14047.5697302,40059.5366901,115906.150989,213995.832639,421.427091905,0.386082121181,6.30545423526,1.94524680297,11.7887619188,1.11306243283,19.4738653541,5.83396023846,36.9389674917,0.832044493549,13.8092323219,4.2306192942,25.9081461599,,,,,,,,,,,,,,,,,,,,,,,,
