bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,879579.274161,437350.297687,211773.222776,171716.92805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2175939141,119.929654885,55.8718032991,161.059396358,18.1443882765,107.802677009,55.7641089297,138.376268417,11.0338880902,69.6367418883,34.954580757,90.6179664658,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,697514.24877,397922.113724,39765.2873223,86901.2077114,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5694285694,133.189410888,59.5725695274,176.877785116,1.75575408115,13.3099292791,5.9532261769,17.6758106762,3.83694323291,29.0868998262,13.0099033451,38.6278937857,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,1.7471470343e+11,2128955.75139,420010.707152,1961987.53608,1032934.06089,851582.300555,2973.40106605,9419.1075149,26979.3222961,57892.5124344,386.542138587,22248.5590539,44564.0643319,75276.3481089,103354.270505,2892.312677,10010.2111739,24113.066305,44564.0643319,79862.8365762,1301.3274526,29483.2140517,57892.5124344,96568.3012099,128258.605969,3832.81782672,19.3465752084,144.282111845,65.0070967107,191.120107324,86.6463646325,656.788294747,293.777469605,872.214437723,46.9451346162,351.908777336,158.190040423,466.524856507,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,788546.761465,417636.205705,125769.255049,129309.067881,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3043187562,148.389503711,67.4710484065,195.926840449,13.6868847457,79.621291415,40.4108376779,100.778514146,9.72008716519,61.7844956165,30.0006725959,79.6051640392,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,439789.637081,218675.148844,105886.611388,85858.4640251,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36495666629,62.6804808945,28.2868681246,86.1451461082,7.35047734691,58.1677316464,29.0402114893,76.2441028319,4.43446784599,37.2228491234,18.0631645536,49.4801930965,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,263873.782248,131205.089306,63531.9668329,51515.0784151,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.50471046079,31.1018969141,13.8477848119,43.1886636669,4.00487911038,28.5690238209,14.1276133174,37.7554685797,2.42246984137,18.3367338915,8.80244894784,24.593973518,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,1577093.52293,835272.411411,251538.510099,258618.135762,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2830783662,125.222197511,58.2616290116,167.529707705,12.786003381,66.3754450702,34.436442063,84.9356699407,9.1348581059,51.7688683625,25.6978371043,67.5068501476,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,879579.274161,437350.297687,211773.222776,171716.92805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.09534597404,54.9576101937,24.2247177802,72.7436113317,9.06039676929,50.11910585,24.6070184969,63.5841356602,5.5092668498,32.236804919,15.3500095132,41.4204378433,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,1577093.52293,835272.411411,251538.510099,258618.135762,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6422568817,109.883276443,47.6452829966,148.313875664,10.5461027849,59.402794196,28.8751056677,76.6124629958,7.48910517084,45.9525338142,21.3387848213,60.4071467302,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,3.00686981038e+11,3663969.11696,752198.03875,2620503.47342,1697938.77995,1465587.64678,3841.48606481,11421.1195606,45706.0916027,108935.047999,115.244581944,20196.3119794,39843.556703,81152.4328814,143491.357264,605.889359383,10359.760182,21746.58526,61954.3169291,118726.820075,310.792805459,28474.6650363,50319.2846532,96781.3552509,159664.831458,854.239951088,3.34071345351,17.3109605716,8.92310527365,24.3120233436,7.1594151453,41.1142980585,20.1682878872,59.5248023668,6.77909574704,35.811098628,18.2849107056,50.5974098514,,,,,,,,,,,,,,,,,,,,,,,,
