bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,927844.679908,456907.193081,234535.677621,185422.688352,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50613239668,105.635999395,19.8613135894,195.835530959,0.434763526628,34.616567158,6.122849846,66.0975746858,0.457805756646,33.9788888208,6.21373761567,63.8643694905,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,723238.599578,412597.495719,41231.8325619,90106.1274056,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2107206206,144.405492091,26.6761490851,253.988286244,0.220922481149,14.4307785014,2.66580995738,25.3816433686,0.482793705646,31.5363515375,5.82573697877,55.4678618201,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,1.81417951116e+11,2210637.0148,436237.750592,2034363.04237,1072258.57993,884254.80592,355.607826787,3786.40253444,34587.5873061,129927.094613,46.2290174823,23393.5803142,86796.2964383,184544.429818,265281.426388,3041.16544085,4308.71166945,27590.5714594,86796.2964383,198371.647531,560.132517028,41180.7436176,129927.094613,246605.711233,329687.898497,5353.49667029,2.30843209313,151.110218294,27.884521205,265.913748177,10.8995507659,711.972253762,131.522528323,1252.25890706,5.69690630313,372.662646861,68.791896742,655.681106167,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,825541.639743,434752.3444,137883.755092,137764.407879,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26210485417,148.511000674,27.3643496475,261.518109188,0.445089435913,32.3413182291,5.6681282485,58.2309701372,0.59332861611,40.3678936675,7.30615582035,71.6655988906,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,463922.339954,228453.596541,117267.838811,92711.344176,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363859087223,42.856944448,7.53366589659,85.182738537,0.102918534337,13.7735541605,2.28556438884,28.1890161138,0.109640577395,13.6627091799,2.34021677272,27.524541915,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,278353.403972,137072.157924,70360.7032863,55626.8065056,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239698788481,23.1181745033,3.94814414667,46.6615120036,0.0684017401957,7.47602933577,1.20258947322,15.5673817393,0.072500810791,7.39098003723,1.22860679984,15.134544769,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,1651083.27949,869504.6888,275767.510183,275528.815757,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70578211609,136.759395771,26.7067169064,244.279650986,0.537975913745,29.9706994878,5.56565643808,54.8407288792,0.712235102605,37.2590864738,7.14587254599,67.1448315107,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,927844.679908,456907.193081,234535.677621,185422.688352,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757409815511,43.2886348724,7.22893826978,78.6732056996,0.21904983901,14.0617704828,2.20742686763,26.2512471678,0.23041099234,13.8681072591,2.2520466263,25.5192752816,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,1651083.27949,869504.6888,275767.510183,275528.815757,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7684548752,104.147241441,17.3373365497,192.700551054,0.348719566866,22.5995704494,3.57435150517,42.8136605658,0.464193602669,28.2724875335,4.62135992926,52.7644137123,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,3.18010641787e+11,3875063.5839,797627.929344,2717563.77073,1790075.78508,1550025.43356,140.501956894,1331.21578113,30958.2462159,180118.137767,4.21505870681,4709.37116684,22580.3220642,105833.264345,275609.20566,141.281135005,1079.03373775,5573.52741653,60873.3743889,207221.734958,32.3710121326,10364.0623262,38491.3278195,146887.905362,319447.461374,310.921869785,0.118816482336,3.88208077937,0.890327388434,8.49399880334,0.485764071038,15.5611336334,3.60364676455,33.8376221584,0.280423989134,9.1095023639,2.0951209186,19.895854969,,,,,,,,,,,,,,,,,,,,,,,,
