bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,1091906.45826,554880.700272,232906.087387,201640.691229,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927964175661,37.9475742355,8.57042820048,67.1807086082,1.91714437745,53.540769673,14.3915538959,88.2093576419,1.0298779471,30.8442180519,8.0087393468,51.62317073,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,899671.811159,513250.172861,51290.2899542,112087.411937,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759021771291,37.8353833251,7.57721148309,65.9984691671,0.0758508204957,3.78097832965,0.757208461997,6.59538135417,0.16576085201,8.26277402483,1.65476812234,14.4132393751,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,2.24652355773e+11,2737462.3629,539756.859862,2530575.30971,1328994.665,1094984.94516,139.190540973,1187.46405999,9541.01983237,36709.6603752,18.0947703265,6533.31017619,24005.8240125,53861.2741264,81419.4033579,849.330322905,1337.24537817,7659.59592801,24005.8240125,58398.5716967,173.841899162,11322.0101641,36709.6603752,74817.2071087,105250.132416,1471.86132133,0.922065628533,42.6748898242,8.78250124604,73.8436889082,3.74526271467,186.614879472,37.3785165022,325.509202628,2.17204500028,102.784801327,20.9784552396,178.297974224,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,995789.134711,534065.436566,142098.188671,156864.051583,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0777590497,46.0790133203,9.77709118844,78.9911074684,1.4663622694,39.7443333098,10.3543222097,63.2765841294,0.851410789419,25.9960131942,6.38702720988,42.3622815536,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,545953.229132,277440.350136,116453.043694,100820.345615,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259597476938,16.0969011007,3.4860828496,30.0507827832,0.571542338005,23.927336788,6.14887779992,41.35436642,0.304078223581,13.6350967837,3.39137522415,23.9519260725,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,327571.937479,166464.210082,69871.8262162,60492.2073687,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161355148996,8.55068772371,1.79582433369,16.2534362852,0.346883253311,12.4972067691,3.13086488811,21.9292566518,0.185210147662,7.14639007805,1.73040768699,12.7562221501,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,1991578.26942,1068130.87313,284196.377341,313728.103166,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21293251402,42.0367834668,9.32622779926,73.4017399414,1.57859632768,35.4717140169,9.61821790585,57.3880369484,0.925695144797,23.3591130574,5.97522990025,38.724916455,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,1091906.45826,554880.700272,232906.087387,201640.691229,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464167408305,15.847036246,3.25136786418,27.4006508625,0.956840091507,22.8855129348,5.62488965612,36.9586111556,0.514185682632,13.1194685511,3.1131655367,21.5001328934,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,1991578.26942,1068130.87313,284196.377341,313728.103166,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836452822235,32.5232735211,6.32417235616,58.3249262391,1.132728327,28.4244486313,6.84925482035,47.051676382,0.658370493899,18.517187348,4.2001453172,31.4287771556,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,3.71053943741e+11,4521413.55074,922594.400576,3378872.98408,2110599.24887,1808565.42029,198.250934568,1234.21062407,16732.0779488,81432.9204804,5.94752803705,3467.64814785,12788.8741366,49485.2042269,123716.897775,104.029444435,1040.2512284,3983.11294276,30107.6612723,93263.9549928,31.2075368521,6654.26714861,20179.5681818,67081.1209041,143774.258875,199.628014458,0.183168657073,3.10399184754,0.939243123358,5.90446583479,0.189044536927,4.55806958588,1.18112073466,9.43057866479,0.337075266493,5.94251918147,1.76445782468,11.4332670746,,,,,,,,,,,,,,,,,,,,,,,,
W1,1,,936572.665777,330191.651379,565363.508281,313494.802651,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951318838846,1.52896004804,0.474813353368,2.86174858487,0.36686336525,5.50105750889,1.76927745688,10.0624783093,0.182807830556,2.75890977855,0.88440264396,5.05781794415,,,,,,,,,,,,,,,,,,,,,,,,
W2,0,3.00376735114e+11,3660188.669,754611.834785,2535628.62032,1687519.04851,1464075.4676,165.568079676,1725.52171155,14726.5845714,73168.2301356,4.96704239029,6704.20114207,21387.9816797,89440.4370506,174667.366012,201.126034262,1834.1380078,10411.7704475,42324.4542721,110515.239631,55.0241402341,12344.949795,37819.200868,118947.211112,205038.753397,370.348493851,0.298778925818,11.6042272153,3.22569312847,21.2656061053,0.233719833596,14.9114982284,3.45011754588,29.8537531299,0.537129010206,21.8538963735,5.95664086629,40.4788040297,,,,,,,,,,,,,,,,,,,,,,,,
W2,1,,1046536.349,481372.034888,349779.0876,241910.504346,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116334845431,5.08077827894,1.3453356116,9.55456360665,0.349938793679,11.9896070037,3.52359207196,21.2780256548,0.178803640717,6.31567578067,1.83050867733,11.3015258155,,,,,,,,,,,,,,,,,,,,,,,,
