bldg_count,bldg_cost,Collapse_count_High,Collapse_count_Moderate,Collapse_count_Low,Collapse_count_Precode,Complete_count_High,Complete_count_Moderate,Complete_count_Low,Complete_count_Precode,Pop_V,Pop_VI,Pop_VII,Pop_VIII,Pop_IX,Pop_X,Affected Population,Fatalities_High,Fatalities_Moderate,Fatalities_Low,Fatalities_Precode,Code,Deaths,Collapse,Year
5409720.16384,1.10988409864e+12,668.446337709,3847.93947397,11705.9553764,17322.9482415,8346.5771836,48572.858952,144913.807054,224612.909399,48386377.4159,29864514.357,18410644.8653,13498889.131,733832.13352,0.0,9039032.48962,171.801511521,977.403554005,3028.34276191,4464.39430954,Akinada,2,,2001
6647017.15169,1.36373387469e+12,617.591930402,2437.47639732,5739.52185922,7888.36168408,8730.10859268,35270.2104301,81518.9839263,115847.366497,63022108.2397,7753693.37449,8190770.14607,3852666.3195,2183123.29318,0.0,11400440.9867,113.108974227,448.985703146,1067.013413,1459.13409536,Chuetsu1,68,,2004
3699394.38912,7.589854711e+11,12.5474921686,141.212097934,760.675954919,1406.6600366,142.629388197,1607.90267673,8258.12825583,15965.6016386,9276475.53519,9027078.9328,4708321.37421,132882.197999,0.0,0.0,6107030.38325,3.4006560143,37.1655220758,204.904469761,381.904039071,Chuetsu2,15,342.0,2007
4600313.37658,9.43822325514e+11,95.9390327455,885.032461014,3850.59610417,6494.34530119,1140.12319942,10402.0140295,43248.2899703,76048.2078848,24941938.7014,19222976.1994,10316420.7598,3156891.78675,0.0,0.0,7866048.36199,25.4900998632,229.754166483,1021.21570594,1729.28275581,Fukuoka,1,,2005
17529754.7463,3.59648844242e+12,62.8501116102,542.370885142,2298.42833372,3953.01924242,989.548464922,8153.39123048,31768.7188642,56650.3428125,193316627.96,30540485.8311,12331768.3177,2789402.22784,46376.423757,0.0,28130371.8291,15.53429813,125.977551295,524.142591492,888.459741834,Hamadori,4,,2011
3517747.62224,7.2171795041e+11,40.1829785365,324.897966987,1259.27187057,2089.28749971,562.25006944,4583.40835576,17150.9478783,29945.8045179,20470647.7302,9677547.83941,2276423.5269,994393.639165,8989.86833931,0.0,8587664.51214,13.7278243856,109.923143503,439.516252216,726.164014298,Hokkaido,1,141.0,2003
3175411.56631,6.51482645559e+11,762.020176255,2928.41022919,6556.43788232,8898.27324627,12374.7673961,48554.5325479,107154.325033,150502.998474,15279756.0453,12842235.4923,4821413.3686,2247459.89368,1678697.45224,0.0,5740134.39997,160.266277649,611.827495557,1388.11653956,1878.17846051,Iwate,23,,2008
16104661.5409,3.30410949491e+12,27291.1862234,82411.0603312,154963.818221,192003.851675,361995.845314,1123310.46437,2124014.01968,2727405.42189,232567882.589,103104768.832,113452543.019,119780000.443,129666154.337,12212378.566,39773059.3425,6704.68444078,20417.003851,38550.6579094,47558.8738731,Kobe,5062,104906.0,1995
792048.662736,1.6250049716e+11,0.228160966144,1.5218000878,4.51762074432,7.23449825401,6.38490302896,43.3546066885,128.241358487,209.632153142,319687.572771,2491.12831487,2461.59991457,2844.15140404,3.2441038074,0.0,1447976.06169,0.0503301978974,0.321782030286,0.983198486884,1.47535675519,Kouzu,1,,2000
6510168.03797,1.33565725508e+12,2044.62521022,6901.36391428,14362.0966069,18860.6016282,27360.9486835,95760.8201528,199913.350183,272250.990018,70703581.6013,55301484.2591,18182029.3481,8473046.99911,7026611.82674,168741.881604,15959839.5046,523.461393761,1806.85440589,3861.04035257,5096.04357273,Kumamoto,41,90.0,2016
1924402.09623,3.94819550975e+11,3180.52093838,4909.58398575,6708.54904756,7859.28740662,52752.3377802,87575.1163404,123053.630237,147763.017548,4549305.65752,2604762.40222,678682.459434,788557.849788,141784.149881,429331.061833,4715690.51209,837.39936935,1393.49601451,2078.92062949,2488.71555687,Kushiro,2,,1993
545321.890688,1.1188085091e+11,129.616224584,586.943605517,1478.29706094,2041.75352585,1657.70711191,7728.5999543,19409.2228242,28075.2731504,1630381.56411,840690.627653,631921.809293,518863.368068,134610.864813,0.0,979193.217199,22.1183699149,101.729470664,260.497106084,359.324724668,MiddleNagano,1,,2011
3235278.05012,6.63765140109e+11,635.178591678,3240.74853159,8936.06555728,12817.1448111,8774.10878702,45157.1949075,122165.172783,183607.940975,23029710.6147,19152776.6752,10263217.4254,8460498.36242,981441.991048,7344.70696981,7859352.72817,185.222469981,940.055881145,2629.06527125,3765.36112028,Miyagi,4,,2011
4643938.52327,9.52772669552e+11,94.998228484,497.521751154,1479.47189186,2251.71785461,1715.86884533,8523.88457844,23211.4442094,35892.803706,54556372.9137,12800573.6438,4765369.31475,2480161.33281,456386.70438,0.0,11401556.7211,37.0428225567,178.714708337,510.862405159,753.409522749,Nagano,3,,2011
1759371.11594,3.60961004644e+11,0.756879528324,10.9996226225,80.2079808502,177.763657444,16.2777912427,201.972322661,1154.51751515,2525.57666733,6395633.61,2656333.38539,435147.876516,25356.1552709,0.0,0.0,3036145.82932,0.305385144859,3.6541285785,22.8837409714,47.0291286699,Noto,1,649.0,2007
29788747.6842,6.11160214792e+12,108964.927819,293879.018208,500109.852696,592690.761955,1470522.68866,4091975.5452,7088163.91255,8728807.62809,220964106.107,136233362.714,103081882.76,190951351.326,408018324.272,61188214.85,53575180.6009,26716.3578964,71507.419959,121842.126789,142519.929445,Kanto,11086,,1923
