bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,547683.448895,248816.339048,190825.225743,129587.956244,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21816758003,40.4295449351,10.5182228882,65.5627248578,1.51379015555,50.2951123295,12.5992985489,84.0125438187,0.897216871692,29.802146138,7.53321407281,49.4402217084,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,367901.288895,209882.534697,20974.0524799,45835.7178796,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34482336644,41.69500561,10.8609495024,64.1971694968,0.134391343733,4.16667940988,1.08536008093,6.41537326597,0.293692586242,9.10566720994,2.37189539385,14.0198580791,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,93527266110.0,1139660.29869,225433.407924,1034934.74227,551325.618751,455864.119474,228.847982705,1662.04970621,9634.4480073,25902.2476552,29.7502377517,7127.06050878,19238.6461078,33559.9371891,44092.4929557,926.517866141,1847.34438922,8098.10688908,19238.6461078,35410.9651568,240.154770599,11005.1961187,25902.2476552,41704.1013972,52228.8228979,1430.67549543,1.49587500496,46.4326263881,12.0433283723,71.7117989845,6.63255854621,205.637627579,53.5644294423,316.6223236,3.61840738102,112.276160225,29.1600493293,173.237326595,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,457792.368895,229349.436873,105899.639111,87711.8370617,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58909118043,49.3948007109,12.746418556,76.5643902292,1.20002506454,37.7575204171,9.31083756113,60.3681525122,0.819147946245,25.669038948,6.42781174313,40.6235367057,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,273841.724447,124408.169524,95412.6128715,64793.9781219,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341735292115,18.0641289041,4.3873151744,31.1282952146,0.440347704171,22.1021088234,5.25125315572,39.0899085974,0.258808213195,13.1479845153,3.14035724157,23.1116700918,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,164305.034668,74644.9017145,57247.5677229,38876.3868732,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212101217133,9.4441217243,2.2470275787,16.4359956773,0.269555071401,11.6123821034,2.68936842182,20.8080807811,0.158931034283,6.89982614186,1.60831745256,12.2794565967,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,915584.73779,458698.873745,211799.278223,175423.674123,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75699030954,43.8198117398,11.9156064874,68.5001604496,1.31186665058,33.7784365294,8.72753956649,54.657820829,0.898918383509,22.8999490513,6.0195395891,36.6386379275,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,547683.448895,248816.339048,190825.225743,129587.956244,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608302195068,17.2962427867,4.0529051187,27.6967967228,0.756320909739,21.3478525587,4.85074997238,35.0690066201,0.448212821703,12.6730876515,2.90088310908,20.6946064358,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,915584.73779,458698.873745,211799.278223,175423.674123,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22865205168,35.4182225113,8.37035599624,57.1187168421,0.928364418816,26.9478393352,6.10792491616,44.8890196365,0.633588431574,18.3487118771,4.2181582229,30.2394216308,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,1.91587765287e+11,2334559.52358,490351.898207,1384376.40543,1051773.1008,933823.809431,201.811938506,1301.93181197,16977.3343666,68306.3704809,6.05435815517,3684.3431146,13176.9643466,45027.3122453,95306.8160952,110.530293438,1094.44798183,4229.31909011,29101.2814029,76216.7118863,32.8334394548,7015.60536911,20210.0006441,58229.2829574,107032.326858,210.468161073,0.180512383719,3.22232968352,0.959731892977,6.11216531825,0.35245372451,6.72946460559,1.98121070719,12.6916459257,0.360450704388,6.50888643854,1.93466713079,12.3337553275,,,,,,,,,,,,,,,,,,,,,,,,
W1,1,,686506.995556,200754.426933,517943.140781,269591.002245,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0835523092763,1.46461673551,0.437635179124,2.78258372735,0.273734396497,4.65506124666,1.39865057581,8.86832387956,0.138577252722,2.36418284103,0.709918776707,4.50266427937,,,,,,,,,,,,,,,,,,,,,,,,
W2,0,1.64346406611e+11,2002614.66668,426370.606603,1039660.71187,886625.675482,801045.866673,157.543864322,1737.67612005,14732.9549511,62684.3539911,4.72631592967,6831.58427484,20986.187942,74009.6151778,125479.318148,204.947528245,1849.30366573,10535.6344345,39116.2962076,87809.6050394,55.479109972,12431.1073403,35386.5932821,93092.9161282,141700.170828,372.93322021,0.276548974892,11.6401575489,3.17651321306,21.1889390583,0.436398513768,19.8276255255,5.43823190154,35.4554648016,0.534600611507,22.7499836543,6.21296708948,41.304076399,,,,,,,,,,,,,,,,,,,,,,,,
W2,1,,599950.703115,234093.495155,305526.236531,179047.379523,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128896097399,5.56602499995,1.52157068514,10.0705578669,0.263487985125,10.6898003928,2.90964051348,19.6339507575,0.141779270841,5.81030368153,1.58263358938,10.6453776618,,,,,,,,,,,,,,,,,,,,,,,,
