bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,622126.811051,252083.449787,293399.181726,176662.378859,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8839561917,59.6006527121,18.1884125255,98.1809949002,12.4593916761,96.4816618745,42.280272734,136.600459567,6.32154348789,54.0620614014,22.318654562,78.9300217237,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,331581.678206,189162.705273,18903.4714745,41310.7665426,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56730393326,54.9866691241,12.1334962931,93.765815545,0.156624347022,5.49494642597,1.21252865744,9.37023720866,0.342279556612,12.0084001118,2.64980368083,20.4772801809,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,86403432732.6,1052854.06119,209163.097597,932905.630469,506884.745444,421141.624475,363.792876683,2080.47028152,13758.7595038,49027.2098873,47.2930739688,9642.84793722,32927.297002,69818.2670752,101317.097918,1253.57023184,2304.99083743,11190.615923,32927.297002,75151.9639791,299.648808866,16171.9513432,49027.2098873,93956.874703,127020.358467,2102.35367461,2.48323173137,63.1344526505,15.3029839883,105.551727847,7.74721632622,271.236114509,59.883900176,462.474807019,5.45165304695,151.238212487,35.6613280796,254.380717555,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,476854.244628,220623.07753,156151.3266,108986.572701,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57231751864,69.558523517,18.5380575794,113.712884389,8.903622375,69.0655788487,29.1528305834,96.3905811689,4.6553534656,43.3545642704,16.4269403465,63.386307242,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,311063.405525,126041.724894,146699.590863,88331.1894295,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4454934307,27.0815616364,8.39261203195,45.9091968374,4.96764184544,49.0525276357,21.3353220066,70.4454113513,2.50260298047,26.928515596,11.1263988088,39.8870689184,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,186638.043315,75625.0349361,88019.7545179,52998.7136577,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809671164808,14.0452872753,4.19293458835,24.3446418587,2.72029296354,24.5350574248,10.4491755015,35.8310190794,1.37356692665,13.5555630839,5.46355044938,20.459938754,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,953708.489257,441246.15506,312302.653201,217973.145402,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59006670998,62.49013353,17.0074359579,104.268920143,8.40542040634,59.1445066754,25.2767718683,84.2300971699,4.4325312751,37.6327927026,14.4045480431,56.2379886349,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,622126.811051,252083.449787,293399.181726,176662.378859,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94040539211,25.6208693525,7.43921492534,41.0320258699,6.22219566571,43.6234568947,18.2863571507,60.3631097146,3.15709882685,24.2140615041,9.57893030606,34.4714409036,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,953708.489257,441246.15506,312302.653201,217973.145402,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7596533023,49.5897201055,12.4441410687,84.3041430215,6.86322476652,50.7261928391,20.5414924854,72.5259158925,3.5895458701,31.5830151654,11.467685113,47.475663161,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,2.23296707891e+11,2720943.35048,585577.064149,1251087.47986,1187618.95498,1088377.34019,1524.97753461,4834.55468352,28258.4340214,107209.066188,45.7493260384,9355.9007019,23078.8670374,68770.2278031,157475.338451,280.677021057,4341.79993774,10247.3429913,45096.8433929,121334.762503,130.253998132,14478.468046,32678.3115865,90000.2008457,181104.999237,434.354041379,1.41955718797,8.49192087721,3.98538802626,13.0072319524,0.48194430978,7.56433128038,2.29368050719,14.7073409588,2.44509121119,15.4230872087,7.02457003677,24.154721378,,,,,,,,,,,,,,,,,,,,,,,,
