bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,2695193.34889,1424588.39246,437045.216176,444726.98507,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3609371758,1837.39198578,514.630272973,2847.34077988,14.5861144758,371.907938808,108.224617188,574.674294503,17.5798940342,486.639025557,138.141370646,753.375285895,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,2375968.42731,1355456.72422,135453.960041,296014.778453,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2399058005,2515.16220612,695.565641619,3750.93354904,9.21774947972,251.346040693,69.5095010722,374.839560709,20.1440405969,549.279936359,151.902827751,819.15692598,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,5.90197571788e+11,7191750.26625,1416682.79708,6682860.63954,3495134.5099,2876700.1065,14840.9000756,101195.446827,535987.062099,1248143.58409,1929.31700983,405563.431225,984911.793932,1501919.4213,1771625.5164,52723.2460593,112053.905861,456715.843625,984911.793932,1555547.09349,14567.0077619,604989.175732,1248143.58409,1717731.79149,1926750.69268,78648.5928452,96.0132710817,2614.47935883,723.311087201,3898.98746954,454.764724189,12400.2652048,3429.28775314,18492.8697942,237.190689448,6461.66125632,1787.43228723,9636.35967425,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,2535580.8881,1390022.55834,286249.588108,370370.881762,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6780877322,2546.06909398,704.762516942,3796.88497821,15.4919087235,386.179285264,109.631448827,575.305564162,23.2377777223,615.765117602,171.686635348,918.005089243,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,1347596.67444,712294.196232,218522.608088,222363.492535,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0807908532,842.68675088,218.111330326,1394.60803887,4.31811156645,171.823361703,46.6627723993,281.702102167,5.08726904935,223.757032595,58.9076765498,369.102603894,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,808558.004666,427376.517739,131113.564853,133418.095521,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1495743181,437.057837507,111.293600491,727.30150158,2.62699758975,88.8696585222,23.7125282571,146.788728274,3.12085697983,115.939519651,30.0139887737,192.435409101,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,5071161.7762,2780045.11669,572499.176217,740741.763523,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.406465842,2235.47083372,653.922024921,3344.02631231,16.7370439639,338.784468358,101.262138691,507.243106091,25.3130206673,540.518224872,159.092549495,808.765197568,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,2695193.34889,1424588.39246,437045.216176,444726.98507,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6161211408,795.696030103,200.243100238,1225.34378606,7.27545268438,161.51940285,42.5464450676,247.312911283,8.77082776446,210.952044652,53.948689498,324.214270605,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,5071161.7762,2780045.11669,572499.176217,740741.763523,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.3489059409,1836.18640859,465.594528954,2844.35580858,11.9575976442,278.72979014,72.7458896926,430.933417925,17.9436791672,444.181641466,113.567723517,687.683837894,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,9.05692030141e+11,11036153.3328,2225877.07269,8918406.186,5222469.18891,4414461.33313,7141.81946359,45062.4972964,516024.774959,1658013.2312,214.254583908,123447.917121,409647.743062,1199494.70277,2090616.96268,3703.43751363,38024.3882457,140880.326772,831517.872652,1794697.80087,1140.73164737,227797.658145,603550.334881,1470159.96117,2249722.62982,6833.92974436,5.89749340474,99.7578008035,30.841358161,183.216496606,24.9579385301,432.179460203,132.389806097,796.935265645,14.0629952646,239.582188908,73.8616152643,440.562251107,,,,,,,,,,,,,,,,,,,,,,,,
